Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,3.90,98.79,3.90,98.79,58 B,20 B,78 B,75 B,13 B
12M 2014,4.50,99.72,4.50,99.72,96 B,24 B,120 B,118 B,42 B
12M 2015,6.16,129.92,6.16,129.92,78 B,16 B,94 B,89 B,219 B
12M 2016,2.25,222.28,2.25,222.28,44 B,4 B,48 B,45 B,282 B
12M 2017,2.28,225.70,2.28,225.65,55 B,8 B,64 B,61 B,204 B
12M 2018,3.06,228.95,3.06,228.90,77 B,124 B,201 B,158 B,265 B
12M 2019,2.04,230.50,2.04,230.45,43 B,121 B,164 B,118 B,180 B
12M 2020,2.92,229.66,2.92,229.61,39 B,121 B,161 B,159 B,186 B
12M 2021,1.63,233.52,1.63,233.47,40 B,7 B,47 B,39 B,54 B
12M 2022,1.07,239.51,1.07,239.46,39 B,8 B,47 B,45 B,126 B
12M 2023,3.06,104.54,3.06,104.51,59 B,9 B,68 B,67 B,95 B
12M 2024,5.13,106.15,5.14,106.13,62 B,11 B,73 B,71 B,93 B
