Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,50720539334.000000,-24063364962.000000,26657174372.000000,,26657174372.000000,-12315499593.000000,,,,-10932118768.000000,-1383380825.000000,,-12315499593.000000,14341674779.000000,-16946534118.000000,-3212700998.000000,-13733833120.000000,-16946534118.000000,-2604859339.000000,-5353212927.000000,,-2528331051.000000,-2824881876.000000,-5353212927.000000,-7958072266.000000,,-7958072266.000000,,33560997011.000000,-7958072267.000000,-7816652100.000000,-141420167.000000,-7958072267.000000,33560997011.000000,33702417178.000000,-141420167.000000,33560997011.000000
12M 2014,44485466213.000000,-17011122016.000000,27474344197.000000,,27474344197.000000,-13205812144.000000,,,,-12175341767.000000,-1030470377.000000,,-13205812144.000000,14268532053.000000,-9883245086.000000,-15791197307.000000,5907952221.000000,-9883245086.000000,4385286967.000000,-1961612051.000000,,,-1961612051.000000,-1961612051.000000,2423674916.000000,,2423674916.000000,,2423674916.000000,2423674916.000000,2521171891.000000,-97496975.000000,2423674916.000000,2423674916.000000,2521171891.000000,-97496975.000000,2423674916.000000
12M 2015,238860628545.000000,-40200877108.000000,198659751437.000000,,198659751437.000000,-13483113968.000000,,,,-12862385776.000000,-620728192.000000,,-13483113968.000000,185176637469.000000,-13726128978.000000,-14313759067.000000,587630089.000000,-13726128978.000000,171450508491.000000,-11945369371.000000,,,-11945369371.000000,-11945369371.000000,159505139120.000000,,159505139120.000000,,160165551443.000000,159505139120.000000,82232526308.000000,77272612812.000000,159505139120.000000,160165551443.000000,82892938631.000000,77272612812.000000,160165551443.000000
12M 2016,402073435600.000000,-82670334227.000000,319403101373.000000,,319403101373.000000,-12754044704.000000,,,,-11836232474.000000,-917812230.000000,,-12754044704.000000,306649056669.000000,-9696379031.000000,-10607009079.000000,910630048.000000,-9696379031.000000,296952677638.000000,-20043524906.000000,,,-20043524906.000000,-20043524906.000000,276909152732.000000,,276909152732.000000,,277213933942.000000,276909152732.000000,250754952442.000000,26154200290.000000,276909152732.000000,277213933942.000000,251059733652.000000,26154200290.000000,277213933942.000000
12M 2017,35261236363.000000,-10978310043.000000,24282926320.000000,,24282926320.000000,-12693460460.000000,,,,-11651828960.000000,-1041631500.000000,,-12693460460.000000,11589465860.000000,-1656335244.000000,-1913032022.000000,256696778.000000,-1656335244.000000,9933130616.000000,-1201936259.000000,,,-1201936259.000000,-1201936259.000000,8731194357.000000,,8731194357.000000,,-32262241143.000000,8731194357.000000,8834451044.000000,-103256687.000000,8731194357.000000,-32262241143.000000,-32158984456.000000,-103256687.000000,-32262241143.000000
12M 2018,43232413637.000000,-13481206866.000000,29751206771.000000,,29751206771.000000,-11731436673.000000,,,,-10842011194.000000,-889425479.000000,,-11731436673.000000,18019770098.000000,-10828579206.000000,-11832706755.000000,1004127549.000000,-10828579206.000000,7191190892.000000,-1282933788.000000,,,-1282933788.000000,-1282933788.000000,5908257104.000000,,5908257104.000000,,6746028700.000000,5908257104.000000,5915535637.000000,-7278533.000000,5908257104.000000,6746028700.000000,6753307233.000000,-7278533.000000,6746028700.000000
12M 2019,84249947508.000000,-47767171754.000000,36482775754.000000,,36482775754.000000,-13958410773.000000,,,,-13453467801.000000,-504942972.000000,,-13958410773.000000,22524364981.000000,-17683260377.000000,-18533617026.000000,850356649.000000,-17683260377.000000,4841104604.000000,-2122307029.000000,,,-2122307029.000000,-2122307029.000000,2718797575.000000,,2718797575.000000,,4252461292.000000,2718797575.000000,2718596582.000000,200993.000000,2718797575.000000,4252461292.000000,4252260299.000000,200993.000000,4252461292.000000
12M 2020,51320798915.000000,-20047726784.000000,31273072131.000000,,31273072131.000000,-17682583540.000000,,,,-16888104274.000000,-794479266.000000,,-17682583540.000000,13590488591.000000,-13759219624.000000,-16785208334.000000,3025988710.000000,-13759219624.000000,-168731033.000000,-1313019970.000000,,,-1313019970.000000,-1313019970.000000,-1481751003.000000,,-1481751003.000000,,-729475324.000000,-1481751003.000000,-1480773606.000000,-977397.000000,-1481751003.000000,-729475324.000000,-728497927.000000,-977397.000000,-729475324.000000
12M 2021,52738265883.000000,-19519070726.000000,33219195157.000000,,33219195157.000000,-11599388438.000000,,,,-8477678681.000000,-3121709757.000000,,-11599388438.000000,21619806719.000000,-11698070204.000000,-16351875000.000000,4653804796.000000,-11698070204.000000,9921736515.000000,-1359419402.000000,,,-1359419402.000000,-1359419402.000000,8562317113.000000,,8562317113.000000,,10515563882.000000,8562317113.000000,8558327831.000000,3989282.000000,8562317113.000000,10515563882.000000,10511574600.000000,3989282.000000,10515563882.000000
12M 2022,52372680139.000000,-21536141636.000000,30836538503.000000,,30836538503.000000,-9659420928.000000,,,,-7658329675.000000,-2001091253.000000,,-9659420928.000000,21177117575.000000,-2555592980.000000,-4162082288.000000,1606489308.000000,-2555592980.000000,18621524595.000000,-1327680636.000000,,,-1327680636.000000,-1327680636.000000,17293843959.000000,,17293843959.000000,,16299517330.000000,17293843958.000000,17294596623.000000,-752665.000000,17293843958.000000,16299517329.000000,16299701657.000000,-184328.000000,16299517329.000000
