Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1788082522163.000000,-1343268005895.000000,444814516268.000000,-353346378832.000000,-367863019037.000000,14516640205.000000,-353346378832.000000,91468137436.000000,-14446555967.000000,3578943329.000000,-18025499296.000000,,-14446555967.000000,77021581469.000000,-25061978940.000000,51959602529.000000,,51959602529.000000,51959602529.000000,50461221662.000000,1498380867.000000,51959602529.000000,51959602529.000000,50461221662.000000,1498380867.000000,51959602529.000000
12M 2013,2503599992916.000000,-1844902051712.000000,658697941204.000000,-580013143877.000000,-582764965156.000000,2751821279.000000,-580013143877.000000,78684797327.000000,-6923649156.000000,12021433715.000000,-18945082871.000000,,-6923649156.000000,71761148171.000000,-21568661267.000000,50192486904.000000,,50192486904.000000,50192486904.000000,49870418855.000000,322068049.000000,50192486904.000000,50192486904.000000,49870418855.000000,322068049.000000,50192486904.000000
12M 2014,3340793371873.000000,-2388731054071.000000,952062317802.000000,-818209900035.000000,-783947104458.000000,-34262795577.000000,-818209900035.000000,133852417767.000000,-40346480816.000000,15432527455.000000,-55779008271.000000,,-40346480816.000000,93505936951.000000,-33799163970.000000,59706772981.000000,,59706772981.000000,59706772981.000000,62568928881.000000,-2862155900.000000,59706772981.000000,59706772981.000000,62568928881.000000,-2862155900.000000,59706772981.000000
12M 2015,4144118302585.000000,-2967571739357.000000,1176546563228.000000,-1018480873785.000000,-965324197173.000000,-53156676612.000000,-1018480873785.000000,158065689443.000000,-52319070202.000000,4979577918.000000,-57298648120.000000,,-52319070202.000000,105746619241.000000,-44040542713.000000,61706076528.000000,24426736772.000000,86132813300.000000,61706076528.000000,70396404160.000000,-8690327632.000000,61706076528.000000,86132813300.000000,95105754496.000000,-8972941196.000000,86132813300.000000
12M 2016,5168363067277.000000,-3646195117090.000000,1522167950187.000000,-1300469817095.000000,-1230554558084.000000,-69915259011.000000,-1300469817095.000000,221698133092.000000,-49404324300.000000,2586333426.000000,-51990657726.000000,,-49404324300.000000,172293808792.000000,-73591844049.000000,98701964743.000000,-4610395878.000000,94091568865.000000,98701964743.000000,85900715382.000000,12801249361.000000,98701964743.000000,94091568865.000000,82834707985.000000,11256860880.000000,94091568865.000000
12M 2017,5848006000000.000000,-4196881000000.000000,1651125000000.000000,-1431837000000.000000,-1354134000000.000000,-77703000000.000000,-1431837000000.000000,219288000000.000000,-19249000000.000000,20459000000.000000,-39708000000.000000,,-19249000000.000000,200039000000.000000,-96518000000.000000,103521000000.000000,5978000000.000000,109499000000.000000,103521000000.000000,93566000000.000000,9955000000.000000,103521000000.000000,109499000000.000000,99597000000.000000,9902000000.000000,109499000000.000000
12M 2018,5964650000000.0,-4035795000000.0,1928855000000.0,-1737203000000.0,-1630339000000.0,-106864000000.0,-1737203000000.0,191652000000.0,-25496000000.0,15784000000.0,-41357000000.0,77000000.0,-25496000000.0,166156000000.0,-139763000000.0,26393000000.0,-9478000000.0,16915000000.0,26393000000.0,16182000000.0,10211000000.0,26393000000.0,16915000000.0,6609000000.0,10306000000.0,16915000000.0
12M 2019,7017919000000.000000,-4818022000000.000000,2199897000000.000000,-2300169000000.000000,-1870005000000.000000,-430164000000.000000,-2300169000000.000000,-100272000000.000000,-49264000000.000000,3133000000.000000,-52397000000.000000,,-49264000000.000000,-149536000000.000000,-183462000000.000000,-332998000000.000000,-6439000000.000000,-339437000000.000000,-332998000000.000000,-338772000000.000000,5774000000.000000,-332998000000.000000,-339437000000.000000,-345218000000.000000,5781000000.000000,-339437000000.000000
12M 2020,7110124000000.0,-4779194000000.0,2330930000000.0,-1940338000000.0,-1838747000000.0,-101591000000.0,-1940338000000.0,390592000000.0,-79942000000.0,11251000000.0,-91169000000.0,-24000000.0,-79942000000.0,310650000000.0,-185400000000.0,125250000000.0,-8910000000.0,116340000000.0,125250000000.0,116163000000.0,9087000000.0,125250000000.0,116340000000.0,107137000000.0,9203000000.0,116340000000.0
12M 2021,9381891000000.000000,-5764949000000.000000,3616942000000.000000,-2598239000000.000000,-2418380000000.000000,-179859000000.000000,-2598239000000.000000,1018703000000.000000,-45838000000.000000,19147000000.000000,-64985000000.000000,,-45838000000.000000,972865000000.000000,-272681000000.000000,700184000000.000000,-8612000000.000000,691572000000.000000,700184000000.000000,674117000000.000000,26067000000.000000,700184000000.000000,691572000000.000000,665405000000.000000,26167000000.000000,691572000000.000000
