Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Pihak Ketiga Lainnya,Pembayaran Kepada Manajemen Dan Karyawan,Penerimaan (Pembayaran) Beban Keuangan - Neto,Penerimaan Surat Ketetapan Pajak Lebih Bayar,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Aset Tetap Dan Perangkat Lunak,Perolehan Aset Tetap,Penerimaan Pengembalian Uang Muka Pembelian Aset Tetap,Pembelian Aset Keuangan,"Perolehan Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Perolehan Saham Kepentingan Non Pengendali,Pelunasan Utang Perolehan Saham Entitas Anak Yang Terutang,Akuisisi Entitas Anak Dan Pelunasan Utang Entitas Anak Sebelum Diakuisisi Setelah Dikurango Kas Yang Diperoleh,Perolehan Perangkat Lunak,Pembayaran Dividen,Uang Muka Penambahan Goodwill,Pembayaran Utang Saham Entitas Anak,Uang Muka Akuisisi Saham,Penerimaan Divestasi Entitas Anak,Penempatan Dana Yang Dibatasi Penggunaannya,Penempatan Deposito Berjangka,Penerimaan Jaminan Kinerja Rumah Sakit,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal Setelah Dikurangi Biaya Emisi,Penerimaan,Biaya Emisi Saham,Total Penambahan Setoran Modal Setelah Dikurangi Biaya Emisi,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Penerimaan,Pembayaran,Total Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Pinjaman Bank,Penerimaan,Pembayaran,Total Pinjaman Bank,Utang Sewa Pembiayaan,Pembayaran,Total Utang Sewa Pembiayaan,Dividen,Pembayaran,Total Dividen,Pembayaran Liabilitas Sewa,Pembayaran Restricted Fund,Penerimaan Atas Program Kepemilikan Saham Oleh Manajemen,Perolehan Saham Treasuri,Penerimaan Liabilitas Anjak Piutang,Pembayaran Liabilitas Anjak Piutang,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,203007300458.000000,1717899210398.000000,-1185761503827.000000,,-281533520002.000000,-14446555967.000000,,-33150330144.000000,203007300458.000000,-514660828648.000000,-128786188553.000000,45520996.000000,-394108463782.000000,,,-52811697309.000000,,,,,,,,,,,,61000000000.000000,-514660828648.000000,320450483502.000000,,,,,,641716869459.000000,-313699617537.000000,328017251922.000000,,,-7566768420.000000,-7566768420.000000,,,,,,,,,,,,,320450483502.000000,,8796955312.000000,13324485939.000000,146586517428.000000,168707958679.000000
12M 2013,189449895676.000000,2436892008979.000000,-1804866184158.000000,,-408338251060.000000,-6923649156.000000,,-27314028929.000000,189449895676.000000,-760589631064.000000,-212572886877.000000,701907127.000000,-385554741760.000000,,,-163163909554.000000,,,,,,,,,,,,,-760589631064.000000,903724232215.000000,,1404900000000.000000,-78466324884.000000,1326433675116.000000,,396053813681.000000,-807618736461.000000,-411564922780.000000,,73583300.000000,-11218103421.000000,-11144520121.000000,,,,,,,,,,,,,903724232215.000000,,332584496827.000000,14145381939.000000,168707958679.000000,515437837445.000000
12M 2014,283680074152.000000,3218128438733.000000,-2375426399678.000000,,-531054022103.000000,-5772163585.000000,,-22195779215.000000,283680074152.000000,-510571999068.000000,-50889937133.000000,515630303.000000,-331472153901.000000,,,-83695538337.000000,-45030000000.000000,,,,,,,,,,,,-510571999068.000000,-7514995714.000000,,,-1899274884.000000,-1899274884.000000,75766161883.000000,,,75766161883.000000,,,-81381882713.000000,-81381882713.000000,,,,,,,,,,,,,-7514995714.000000,,-234406920630.000000,-1072146768.000000,515437837445.000000,279958770047.000000
12M 2015,255145682013.000000,3973218027214.000000,-2920990800853.000000,,-731514512613.000000,-10337910182.000000,,-55229121553.000000,255145682013.000000,-352031638242.000000,-68756812851.000000,,-279092825388.000000,,,,,,,,,-4182000003.000000,,,,,,,-352031638242.000000,-23259469741.000000,,,,,,,-3445263207.000000,-3445263207.000000,,,-13802486534.000000,-13802486534.000000,,,,,-6011720000.000000,-6011720000.000000,,,,,,,-23259469741.000000,,-120145425970.000000,34719794.000000,279958770048.000000,159848063872.000000
12M 2016,239865949631.000000,4984847686206.000000,-3753704754939.000000,,-834575925627.000000,-84866914728.000000,,-71834141281.000000,239865949631.000000,-567772769519.000000,-54790432963.000000,167536114.000000,-349276856787.000000,,,,,,,,,,-4020833322.000000,-20000000000.000000,147817439.000000,-140000000000.000000,,,-567772769519.000000,907969357305.000000,,1300612500000.000000,-4198526445.000000,1296413973555.000000,,,-353786423966.000000,-353786423966.000000,,,-14402783035.000000,-14402783035.000000,,-20255409249.000000,-20255409249.000000,,,,,,,,,,907969357305.000000,,580062537417.000000,526241731.000000,159848063872.000000,740436843020.000000
12M 2017,225781000000.000000,5725159000000.000000,-3045016000000.000000,-1479212000000.000000,-884935000000.000000,-787000000.000000,,-89428000000.000000,225781000000.000000,-3077781000000.000000,-1903864000000.000000,1360000000.000000,-957864000000.000000,,,-213392000000.000000,,,,,,,-4021000000.000000,,,,,,-3077781000000.000000,3040021000000.000000,,3088955000000.000000,-7762000000.000000,3081193000000.000000,,,-131000000.000000,-131000000.000000,,1076000000.000000,-8487000000.000000,-7411000000.000000,,-33630000000.000000,-33630000000.000000,,,,,,,,,,3040021000000.000000,,188021000000.000000,1680000000.000000,740437000000.000000,930138000000.000000
12M 2018,203640000000.000000,5701412000000.000000,-3056537000000.000000,-1298575000000.000000,-1014113000000.000000,-5971000000.000000,,-122576000000.000000,203640000000.000000,-944334000000.000000,-20909000000.000000,2182000000.000000,-798399000000.000000,,,-68801000000.000000,-13754000000.000000,,,,,,-44653000000.000000,,,,,,-944334000000.000000,25640000000.000000,,,-1990000000.000000,-1990000000.000000,,,459000000.000000,459000000.000000,,,-9391000000.000000,-9391000000.000000,,-37438000000.000000,-37438000000.000000,,,,,,,,74000000000.000000,,25640000000.000000,,-715054000000.000000,836000000.000000,930138000000.000000,215920000000.000000
12M 2019,651507000000.000000,6918200000000.000000,-3474553000000.000000,-1435386000000.000000,-1155338000000.000000,-24405000000.000000,,-177011000000.000000,651507000000.000000,-529155000000.000000,-46102000000.000000,189000000.000000,-467709000000.000000,,,-3533000000.000000,,,,,,,-12000000000.000000,,,,,,-529155000000.000000,-23929000000.000000,,,,,,,,,,102174000000.000000,-20494000000.000000,81680000000.000000,,-52274000000.000000,-52274000000.000000,,,,,,,,20665000000.000000,-74000000000.000000,-23929000000.000000,,98423000000.000000,-281000000.000000,215920000000.000000,314062000000.000000
12M 2020,1336602000000.000000,7100507000000.000000,-3213467000000.000000,-1093871000000.000000,-1303171000000.000000,-10084000000.000000,,-143312000000.000000,1336602000000.000000,-281670000000.000000,-105326000000.000000,142000000.000000,-258623000000.000000,94737000000.000000,,,,,,,,,,,,,-12600000000.000000,,-281670000000.000000,-462165000000.000000,,,,,,,,,,,-85839000000.000000,-85839000000.000000,,-305627000000.000000,-305627000000.000000,,,,,,,-50034000000.000000,,-20665000000.000000,-462165000000.000000,,592767000000.000000,702000000.000000,314062000000.000000,907531000000.000000
12M 2021,2033133000000.000000,9294651000000.000000,-5101915000000.000000,-687333000000.000000,-1097580000000.000000,-6856000000.000000,,-367834000000.000000,2033133000000.000000,-578375000000.000000,-78558000000.000000,33660000000.000000,-546077000000.000000,,,,,,,,,,,,,,12600000000.000000,,-578375000000.000000,-448024000000.000000,,,,,,,,,,120000000000.000000,-4381000000.000000,115619000000.000000,,-413569000000.000000,-413569000000.000000,,-224591000000.000000,-224591000000.000000,,,3466000000.000000,,71051000000.000000,,-448024000000.000000,,1006734000000.000000,249000000.000000,907531000000.000000,1914514000000.000000
