Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,168707958679.000000,187066776874.000000,3171020453.000000,183895756421.000000,187066776874.000000,75351731878.000000,25610310329.000000,456736777760.000000,,662399000.000000,865292426507.000000,54418415585.000000,6742214109.000000,16308287480.000000,,186065497651.000000,1129489240332.000000,1586226018092.000000,,,267632850077.000000,155526637952.000000,4853583896.000000,33509451861.000000,17811426058.000000,,11218103419.000000,,11897445548.000000,23115548967.000000,32816201343.000000,267632850077.000000,1073952369506.000000,,54753114467.000000,,142736750831.000000,197489865298.000000,798786624559.000000,6653250000.000000,71022629649.000000,1073952369506.000000,1341585219583.000000,,100000000000.000000,-23058434679.000000,156238115976.000000,,,156238115976.000000,11461117212.000000,,244640798509.000000,1586226018092.000000,1000000000.000000
12M 2013,,,515437837445.000000,270802239670.000000,2432208891.000000,268370030779.000000,270802239670.000000,94831081782.000000,26393513392.000000,907464672289.000000,,515189971.000000,1402270240507.000000,180791360696.000000,7332931883.000000,18981601213.000000,,83418540600.000000,1693309864870.000000,2600774537159.000000,,,295920604737.000000,163966851520.000000,4927167196.000000,66910610412.000000,16983882633.000000,,11792174233.000000,,11897445548.000000,23689619781.000000,19442473195.000000,295920604737.000000,665862153443.000000,,42960940232.000000,,387074492750.000000,430035432982.000000,130806709541.000000,11983104371.000000,93036906549.000000,665862153443.000000,961782758180.000000,,115610000000.000000,1289664515321.000000,206108534831.000000,,,206108534831.000000,27608728827.000000,,1638991778979.000000,2600774537159.000000,1156100000.000000
12M 2014,,,279958770048.000000,392646418387.000000,3549747601.000000,389096670786.000000,392646418387.000000,105857883964.000000,62334298264.000000,840797370663.000000,,1341961213.000000,1589306930919.000000,282568092907.000000,9605766175.000000,22442922330.000000,,98022467897.000000,2003288141441.000000,2844085512104.000000,,,478162509982.000000,192762995806.000000,3540195011.000000,145004370941.000000,33130693777.000000,,12435856488.000000,,11897445548.000000,24333302036.000000,79390952411.000000,478162509982.000000,712254450162.000000,,30525083739.000000,,415813668549.000000,446338752288.000000,118909263993.000000,28147868966.000000,118858564915.000000,712254450162.000000,1190416960144.000000,,115610000000.000000,1289664515321.000000,268677463712.000000,,268677463712.000000,268677463712.000000,5464927320.000000,-25748354393.000000,1653668551960.000000,2844085512104.000000,1156100000.000000
12M 2015,,,159848063872.000000,575226876921.000000,10130038169.000000,565096838752.000000,575226876921.000000,140434193057.000000,80583716980.000000,956092850830.000000,,1287224420.000000,1553306654744.000000,288276804990.000000,10704038028.000000,22995423430.000000,,153607151664.000000,2030177297276.000000,2986270148106.000000,,,629788258185.000000,254713743081.000000,2173564967.000000,249661341149.000000,29559388820.000000,,7482980034.000000,,11897445548.000000,19380425582.000000,74299794586.000000,629788258185.000000,616530262057.000000,,23042103703.000000,,354745657192.000000,377787760895.000000,107011818445.000000,31673452294.000000,100057230423.000000,616530262057.000000,1246318520242.000000,,115610000000.000000,1289664515321.000000,364490437227.000000,,,364490437227.000000,-4064970291.000000,-25748354393.000000,1739951627864.000000,2986270148106.000000,1156100000.000000
12M 2016,,,740436843020.000000,775978241129.000000,5454393488.000000,770523847641.000000,775978241129.000000,178381106468.000000,212033702390.000000,1906829893007.000000,,525498069.000000,1693868662869.000000,288276804990.000000,45094906096.000000,35805117323.000000,,245288667725.000000,2308859657072.000000,4215689550079.000000,,,726016673172.000000,314126455716.000000,928373155.000000,234211191714.000000,40313390569.000000,,7482980034.000000,21994996558.000000,11897445548.000000,41375422140.000000,95061839878.000000,726016673172.000000,360602880804.000000,,9884512480.000000,105042006950.000000,197506875.000000,115124026305.000000,95114372903.000000,33521244654.000000,116843236942.000000,360602880804.000000,1086619553976.000000,,130061250000.000000,2570240064693.000000,447325145213.000000,,,447325145213.000000,7191890590.000000,-25748354393.000000,3129069996103.000000,4215689550079.000000,1300612500.000000
12M 2017,,,930138000000.000000,924166000000.000000,799000000.000000,923367000000.000000,924166000000.000000,197431000000.000000,119058000000.000000,2170793000000.000000,,459000000.000000,2631178000000.000000,398440000000.000000,68032000000.000000,39935000000.000000,,2287431000000.000000,5425475000000.000000,7596268000000.000000,,,872198000000.000000,373097000000.000000,1000000000.000000,244996000000.000000,82690000000.000000,,8390000000.000000,27512000000.000000,11897000000.000000,47799000000.000000,122616000000.000000,872198000000.000000,410556000000.000000,,1495000000.000000,145621000000.000000,,147116000000.000000,83217000000.000000,50942000000.000000,129281000000.000000,410556000000.000000,1282754000000.000000,,162576000000.000000,5608921000000.000000,546922000000.000000,,,546922000000.000000,20843000000.000000,-25748000000.000000,6313514000000.000000,7596268000000.000000,1625765625.000000
12M 2018,,,215920000000.000000,1209074000000.000000,742000000.000000,1208332000000.000000,1209074000000.000000,189368000000.000000,152082000000.000000,1766444000000.000000,,,4080094000000.000000,398440000000.000000,97863000000.000000,42170000000.000000,4117000000.000000,1305814000000.000000,5928498000000.000000,7694942000000.000000,,,979930000000.000000,335665000000.000000,,337473000000.000000,72132000000.000000,,1494000000.000000,52263000000.000000,11897000000.000000,65654000000.000000,169006000000.000000,979930000000.000000,398337000000.000000,,,124327000000.000000,71320000000.000000,195647000000.000000,,55723000000.000000,146967000000.000000,398337000000.000000,1378267000000.000000,,162576000000.000000,5608921000000.000000,553531000000.000000,,,553531000000.000000,30181000000.000000,-38534000000.000000,6316675000000.000000,7694942000000.000000,1625765625.000000
12M 2019,,,314062000000.000000,1137690000000.000000,362000000.000000,1137328000000.000000,1137690000000.000000,212220000000.000000,181205000000.000000,1845177000000.000000,,,4170396000000.000000,403976000000.000000,70902000000.000000,41296000000.000000,,1210035000000.000000,5896605000000.000000,7741782000000.000000,,,1370337000000.000000,332905000000.000000,83174000000.000000,529868000000.000000,83380000000.000000,,2665000000.000000,61156000000.000000,11897000000.000000,75718000000.000000,265292000000.000000,1370337000000.000000,383764000000.000000,,14720000000.000000,89749000000.000000,59422000000.000000,163891000000.000000,,59491000000.000000,160382000000.000000,383764000000.000000,1754101000000.000000,,162576000000.000000,5608921000000.000000,208313000000.000000,,,208313000000.000000,46405000000.000000,-38534000000.000000,5987681000000.000000,7741782000000.000000,1625765625.000000
12M 2020,,,907531000000.000000,1098874000000.000000,1489000000.000000,1097385000000.000000,1098874000000.000000,260918000000.000000,154368000000.000000,2421691000000.000000,,,4880079000000.000000,403976000000.000000,101667000000.000000,25104000000.000000,11300000000.000000,583965000000.000000,6006091000000.000000,8427782000000.000000,,,1681474000000.000000,330047000000.000000,,958100000000.000000,109504000000.000000,,4380000000.000000,98556000000.000000,,102936000000.000000,180887000000.000000,1681474000000.000000,727937000000.000000,,10340000000.000000,491515000000.000000,,501855000000.000000,,52857000000.000000,173225000000.000000,727937000000.000000,2409411000000.000000,,162576000000.000000,5608921000000.000000,279834000000.000000,,,279834000000.000000,55608000000.000000,-88568000000.000000,6018371000000.000000,8427782000000.000000,1625765625.000000
12M 2021,,,1914514000000.000000,1159166000000.000000,2075000000.000000,1157091000000.000000,1159166000000.000000,302083000000.000000,169460000000.000000,3545223000000.000000,,,4597054000000.000000,403976000000.000000,115545000000.000000,24208000000.000000,11300000000.000000,607019000000.000000,5759102000000.000000,9304325000000.000000,,,2232850000000.000000,469233000000.000000,120000000000.000000,1094985000000.000000,218793000000.000000,,4887000000.000000,65441000000.000000,,70328000000.000000,259511000000.000000,2232850000000.000000,547533000000.000000,,5452000000.000000,297794000000.000000,,303246000000.000000,,49291000000.000000,194996000000.000000,547533000000.000000,2780383000000.000000,,162576000000.000000,5615950000000.000000,720648000000.000000,,,720648000000.000000,81775000000.000000,-57007000000.000000,6523942000000.000000,9304325000000.000000,1625765625.000000
