Period,Total Pendapatan,Iklan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,4401050000000.000000,130730000000.000000,4270320000000.000000,4401050000000.000000,-3676912000000.000000,-3676912000000.000000,-3676912000000.000000,724138000000.000000,-7130000000.000000,-7130000000.000000,-7130000000.000000,717008000000.000000,-81533000000.000000,50338000000.000000,-131871000000.000000,-81533000000.000000,635475000000.000000,-130940000000.000000,504535000000.000000,,504535000000.000000,1318000000.000000,505853000000.000000,504535000000.000000,460384000000.000000,44151000000.000000,504535000000.000000,505853000000.000000,461456000000.000000,44397000000.000000,505853000000.000000
12M 2023,5230778000000.000000,98547000000.000000,5132231000000.000000,5230778000000.000000,-4177790000000.000000,-4177790000000.000000,-4177790000000.000000,1052988000000.000000,-7100000000.000000,-7100000000.000000,-7100000000.000000,1045888000000.000000,-95495000000.000000,66781000000.000000,-162276000000.000000,-95495000000.000000,950393000000.000000,-208085000000.000000,742308000000.000000,,742308000000.000000,-7656000000.000000,734652000000.000000,742308000000.000000,687762000000.000000,54546000000.000000,742308000000.000000,734652000000.000000,680179000000.000000,54473000000.000000,734652000000.000000
12M 2024,5711782000000.000000,93897000000.000000,5617885000000.000000,5711782000000.000000,-4674762000000.000000,-4674762000000.000000,-4674762000000.000000,1037020000000.000000,18890000000.000000,18890000000.000000,18890000000.000000,1055910000000.000000,-57082000000.000000,86275000000.000000,-143357000000.000000,-57082000000.000000,998828000000.000000,-196284000000.000000,802544000000.000000,,802544000000.000000,9701000000.000000,812245000000.000000,802544000000.000000,728950000000.000000,73594000000.000000,802544000000.000000,812245000000.000000,738278000000.000000,73967000000.000000,812245000000.000000
