Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2022,,,2048962000000.000000,69346000000.000000,69231000000.000000,115000000.000000,69346000000.000000,96395000000.000000,21411000000.000000,2236114000000.000000,,3942447000000.000000,218815000000.000000,362170000000.000000,4523432000000.000000,6759546000000.000000,,,2466284000000.000000,2466284000000.000000,2466284000000.000000,1640613000000.000000,,1640613000000.000000,1640613000000.000000,4106897000000.000000,,600080000000.000000,1830000000.000000,1737554000000.000000,120016000000.000000,1617538000000.000000,1737554000000.000000,169889000000.000000,143296000000.000000,2652649000000.000000,6759546000000.000000,75010000000.000000
12M 2023,,,2686818000000.000000,51166000000.000000,51166000000.000000,,51166000000.000000,93189000000.000000,26449000000.000000,2857622000000.000000,,4154568000000.000000,77628000000.000000,280313000000.000000,4512509000000.000000,7370131000000.000000,,,670956000000.000000,670956000000.000000,670956000000.000000,1739839000000.000000,3515000000.000000,1736324000000.000000,1739839000000.000000,2410795000000.000000,,666760000000.000000,2107285000000.000000,1817733000000.000000,120016000000.000000,1697717000000.000000,1817733000000.000000,224262000000.000000,143296000000.000000,4959336000000.000000,7370131000000.000000,83345000000.000000
12M 2024,,,2024824000000.000000,75035000000.000000,75035000000.000000,,75035000000.000000,,153577000000.000000,2253436000000.000000,,4396843000000.000000,81624000000.000000,276607000000.000000,4755074000000.000000,7008510000000.000000,,,695563000000.000000,695563000000.000000,695563000000.000000,1712245000000.000000,832000000.000000,1711413000000.000000,1712245000000.000000,2407808000000.000000,,666760000000.000000,2107285000000.000000,1472526000000.000000,133352000000.000000,1339174000000.000000,1472526000000.000000,210835000000.000000,143296000000.000000,4600702000000.000000,7008510000000.000000,83345000000.000000
