Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2022,0.00,33.10,0.00,33.10,,,,"(2,049 B)",(230 B)
12M 2023,4.75,56.81,4.75,56.81,,,,"(2,687 B)","2,187 B"
12M 2024,3.84,52.67,3.84,52.67,,,,"(2,025 B)","1,558 B"
