Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Penerimaan Dari Pengembalian Pajak Penghasilan,Adjusment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset,Perolehan Aset Tetap,Uang Muka Sewa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Atas Penerbitan Saham,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Pembelian Saham Tresuri,Pembayaran Liabilitas Sewa,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2022,1303720000000.000000,4366063000000.000000,26561000000.000000,-2657150000000.000000,-431708000000.000000,,-46000000.000000,,,,1303720000000.000000,-100084000000.000000,,-100084000000.000000,,-100084000000.000000,-244454000000.000000,,1697415000000.000000,,,-172518000000.000000,-1769351000000.000000,-244454000000.000000,959182000000.000000,1089780000000.000000,2048962000000.000000
12M 2023,1792741000000.000000,5242432000000.000000,69554000000.000000,-3035105000000.000000,-582757000000.000000,128850000000.000000,-4017000000.000000,-26216000000.000000,,,1792741000000.000000,-817649000000.000000,,-817649000000.000000,,-817649000000.000000,-337236000000.000000,2172135000000.000000,1099400000000.000000,-2796100000000.000000,,-212571000000.000000,-600100000000.000000,-337236000000.000000,637856000000.000000,2048962000000.000000,2686818000000.000000
12M 2024,1643741000000.000000,5702189000000.000000,87399000000.000000,-3347231000000.000000,-644394000000.000000,,-154222000000.000000,,,,1643741000000.000000,-907776000000.000000,2429000000.000000,-910078000000.000000,-127000000.000000,-907776000000.000000,-1397959000000.000000,,,,,-227080000000.000000,-1170879000000.000000,-1397959000000.000000,-661994000000.000000,2686818000000.000000,2024824000000.000000
