Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2022,75.01 B,6.14,0.00,0.00,"1,385.72 B",6.81%,18.54%,33.40%,5.44
12M 2023,83.34 B,8.25,32.73,4.30,"1,743.98 B",9.33%,14.52%,19.03%,6.45
12M 2024,83.34 B,8.75,23.09,2.95,"1,816.64 B",10.40%,16.61%,16.23%,7.37
