Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Pembayaran Bunga,Provisi Dan Komisi Selain Kredit,Pembayaran Kepada Karyawan,Penerimaan Lainnya,Hasil Penjualan Agunan Yang Diambil Alih,Pengeluaran Lainnya,Penerimaan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Perubahan Aset Dan Liabilitas Yang Digunakan Untuk Operasi:,Penempatan Pada Bank Lain,Efek-Efek,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Tagihan Akseptasi,Tagihan Derivatif,Kredit Yang Diberikan,Agunan Yang Diambil Alih,Aset Lain-Lain,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Akseptasi,Utang Pajak,Liabilitas Lain-Lain,Total Perubahan Aset Dan Liabilitas Yang Digunakan Untuk Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Efek-Efek,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Hasil Penjualan Aset Tetap,Penempatan Pada Efek-Efek Yang Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Pencairan Pada Efek-Efek Yang Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Penerbitan Modal Saham,Penambahan Modal Saham,Pembayaran Liabilitas Sewa,Pembayaran Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,417567000000.000000,41785000000.000000,-17795000000.000000,957000000.000000,-16808000000.000000,-10595000000.000000,,,346000000.000000,-404000000.000000,,,-77321000000.000000,,,,,-250752000000.000000,,-4316000000.000000,,749345000000.000000,3000000000.000000,,,,125000000.000000,,420081000000.000000,417567000000.000000,5097000000.000000,4501000000.000000,-1656000000.000000,,2252000000.000000,,,,5097000000.000000,122425000000.000000,122425000000.000000,,,,122425000000.000000,545089000000.000000,126857000000.000000,,671946000000.000000
12M 2013,-387711000000.000000,144856000000.000000,-80304000000.000000,12001000000.000000,-35130000000.000000,-36602000000.000000,,,,-415000000.000000,,,-573760000000.000000,-879504000000.000000,,,,-826537000000.000000,,-13679000000.000000,108000000.000000,1760680000000.000000,138464000000.000000,,,,1362000000.000000,749000000.000000,-392117000000.000000,-387711000000.000000,-12242000000.000000,1393000000.000000,-13635000000.000000,,,,,,-12242000000.000000,803996000000.000000,808436000000.000000,,,-4440000000.000000,803996000000.000000,404043000000.000000,671946000000.000000,,1075989000000.000000
12M 2014,617137000000.000000,370809000000.000000,-217114000000.000000,11816000000.000000,-62460000000.000000,-90692000000.000000,,,,-1250000000.000000,,-242428000000.000000,-209246000000.000000,497890000000.000000,,,,-1163823000000.000000,,7083000000.000000,-133000000.000000,1740576000000.000000,-29102000000.000000,,,,-1283000000.000000,6494000000.000000,606028000000.000000,617137000000.000000,-15817000000.000000,,-20050000000.000000,,4233000000.000000,,,,-15817000000.000000,129387000000.000000,130745000000.000000,,,-1358000000.000000,129387000000.000000,730707000000.000000,1075989000000.000000,,1806696000000.000000
12M 2015,163264000000.000000,493463000000.000000,-289687000000.000000,10790000000.000000,-88814000000.000000,-108317000000.000000,,,,-3306000000.000000,,126123000000.000000,-199454000000.000000,381614000000.000000,,,,-1078699000000.000000,,-817000000.000000,264000000.000000,348487000000.000000,567704000000.000000,,,,-2563000000.000000,6476000000.000000,149135000000.000000,163264000000.000000,-39773000000.000000,,-34767000000.000000,-5006000000.000000,,,,,-39773000000.000000,,,,,,,123491000000.000000,1806696000000.000000,414000000.000000,1930601000000.000000
12M 2016,516430000000.000000,560183000000.000000,-270360000000.000000,51040000000.000000,-121737000000.000000,-295037000000.000000,,,,-6186000000.000000,,144980000000.000000,-478846000000.000000,-648862000000.000000,,,,-513307000000.000000,,-44342000000.000000,-264000000.000000,2737643000000.000000,-625098000000.000000,,,,-199000000.000000,26822000000.000000,598527000000.000000,516430000000.000000,-30288000000.000000,,-28877000000.000000,-1411000000.000000,,,,,-30288000000.000000,98234000000.000000,99117000000.000000,,,-883000000.000000,98234000000.000000,584376000000.000000,1930601000000.000000,77000000.000000,2515054000000.000000
12M 2017,800722000000.000000,583212000000.000000,-254277000000.000000,47981000000.000000,-142208000000.000000,-142365000000.000000,,,,-2915000000.000000,,116906000000.000000,-167122000000.000000,-302148000000.000000,,,,-891906000000.000000,,-13554000000.000000,,1939639000000.000000,2497000000.000000,-223000000.000000,,,641000000.000000,26564000000.000000,711294000000.000000,800722000000.000000,-24146000000.000000,,-17099000000.000000,-7054000000.000000,7000000.000000,,,,-24146000000.000000,,,,,,,776576000000.000000,2515054000000.000000,-1646000000.000000,3289984000000.000000
12M 2018,210642000000.000000,745551000000.000000,-308659000000.000000,59394000000.000000,-184841000000.000000,-141502000000.000000,,,,-5057000000.000000,,130317000000.000000,525000000.000000,951010000000.000000,,3194000000.000000,,-1662424000000.000000,,-57283000000.000000,,-786798000000.000000,1297098000000.000000,-3766000000.000000,176855000000.000000,-3194000000.000000,1842000000.000000,-1620000000.000000,45756000000.000000,210642000000.000000,567020000000.000000,,-27060000000.000000,-13836000000.000000,3000000.000000,-546802000000.000000,1154715000000.000000,,567020000000.000000,,,,,,,777662000000.000000,3289984000000.000000,18585000000.000000,4086231000000.000000
12M 2019,-2101098000000.000000,826246000000.000000,-391789000000.000000,62237000000.000000,-260553000000.000000,-98958000000.000000,,,,-5116000000.000000,,-80553000000.000000,,-2754201000000.000000,,1117000000.000000,1111000000.000000,-627101000000.000000,,-54030000000.000000,,335011000000.000000,-261656000000.000000,2285000000.000000,1201529000000.000000,-1117000000.000000,1797000000.000000,2643000000.000000,-2233165000000.000000,-2101098000000.000000,256108000000.000000,,-23764000000.000000,-13205000000.000000,77000000.000000,-143695000000.000000,436695000000.000000,,256108000000.000000,,,,,,,-1844990000000.000000,4346676000000.000000,-25672000000.000000,2476014000000.000000
12M 2020,-839886000000.000000,777807000000.000000,-353648000000.000000,41863000000.000000,-241656000000.000000,,,-86706000000.000000,,-6417000000.000000,,-80622000000.000000,,-969908000000.000000,,,2746000000.000000,-288573000000.000000,,-132905000000.000000,,708217000000.000000,-212043000000.000000,-2370000000.000000,-11573000000.000000,,-443000000.000000,16345000000.000000,-971129000000.000000,-839886000000.000000,4845000000.000000,,-10959000000.000000,-20915000000.000000,6000000.000000,-232670000000.000000,269383000000.000000,,4845000000.000000,-8211000000.000000,,,-8211000000.000000,,-8211000000.000000,-843252000000.000000,2476014000000.000000,9892000000.000000,1642654000000.000000
12M 2021,2691184000000.000000,997644000000.000000,-428834000000.000000,43340000000.000000,-269683000000.000000,,,-206031000000.000000,,-21001000000.000000,,149000000000.000000,-426000000.000000,-1815383000000.000000,,-592000000.000000,217000000.000000,-2382623000000.000000,,-45328000000.000000,,6277233000000.000000,68572000000.000000,3649000000.000000,355161000000.000000,592000000.000000,6686000000.000000,-41009000000.000000,2575749000000.000000,2691184000000.000000,-677411000000.000000,,-25245000000.000000,-45531000000.000000,24000000.000000,-664141000000.000000,57482000000.000000,,-677411000000.000000,-4337000000.000000,5062000000.000000,,-6767000000.000000,-2632000000.000000,-4337000000.000000,2009436000000.000000,1642654000000.000000,2315000000.000000,3654405000000.000000
