Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Utang Pajak,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,4477000000.000000,90667000000.000000,571200000000.000000,,,411606000000.000000,,411606000000.000000,,,,,2034000000.000000,,,2034000000.000000,,137537000000.000000,1217521000000.000000,,,25000000.000000,951504000000.000000,238880000000.000000,712624000000.000000,951504000000.000000,3000000000.000000,,,704000000.000000,424000000.000000,5778000000.000000,961435000000.000000,,199000000000.000000,63425000000.000000,-7249000000.000000,,-7249000000.000000,-7249000000.000000,910000000.000000,256086000000.000000,1217521000000.000000,1999000000.000000
12M 2013,,23584000000.000000,265191000000.000000,753000000000.000000,,,1240058000000.000000,-6039000000.000000,1234019000000.000000,,,,,,16290000000.000000,-1953000000.000000,14337000000.000000,,1587139000000.000000,3877270000000.000000,,,133000000.000000,2712184000000.000000,861575000000.000000,1850609000000.000000,2712184000000.000000,136379000000.000000,,,5789000000.000000,1421000000.000000,12951000000.000000,2868857000000.000000,,414583000000.000000,651838000000.000000,7394000000.000000,200000000.000000,7194000000.000000,7394000000.000000,-65402000000.000000,1008413000000.000000,3877270000000.000000,4145830000.000000
12M 2014,,49797000000.000000,424897000000.000000,1436128000000.000000,,,2403881000000.000000,-11194000000.000000,2392687000000.000000,,,,,,36070000000.000000,-6711000000.000000,29359000000.000000,,1434722000000.000000,5767590000000.000000,,,,4452760000000.000000,1274730000000.000000,3178030000000.000000,4452760000000.000000,107277000000.000000,,,6409000000.000000,2917000000.000000,28803000000.000000,4598166000000.000000,,431133000000.000000,764675000000.000000,22956000000.000000,500000000.000000,22456000000.000000,22956000000.000000,-49340000000.000000,1169424000000.000000,5767590000000.000000,4311330000.000000
12M 2015,,97493000000.000000,386383000000.000000,1139131000000.000000,,,3482580000000.000000,-16316000000.000000,3466264000000.000000,,5006000000.000000,-268000000.000000,4738000000.000000,,70733000000.000000,-17889000000.000000,52844000000.000000,12989000000.000000,1543535000000.000000,6703377000000.000000,,,264000000.000000,4801247000000.000000,930088000000.000000,3871159000000.000000,4801247000000.000000,674980000000.000000,3000000.000000,,4833000000.000000,,32392000000.000000,5513719000000.000000,,431133000000.000000,764675000000.000000,42309000000.000000,800000000.000000,41509000000.000000,42309000000.000000,-48459000000.000000,1189658000000.000000,6703377000000.000000,4311330000.000000
12M 2016,,131226000000.000000,639070000000.000000,1779989000000.000000,,,3995887000000.000000,-19325000000.000000,3976562000000.000000,,6417000000.000000,-968000000.000000,5449000000.000000,,99456000000.000000,-34405000000.000000,65051000000.000000,5405000000.000000,2389492000000.000000,8992244000000.000000,,,,7538890000000.000000,2942359000000.000000,4596531000000.000000,7538890000000.000000,49882000000.000000,,6817000000.000000,4634000000.000000,,60264000000.000000,7660487000000.000000,,443791000000.000000,851134000000.000000,71751000000.000000,1500000000.000000,70251000000.000000,71751000000.000000,-34919000000.000000,1331757000000.000000,8992244000000.000000,4437912300.000000
12M 2017,,182503000000.000000,717723000000.000000,2401939000000.000000,,,4887793000000.000000,-23591000000.000000,4864202000000.000000,,13471000000.000000,-2269000000.000000,11202000000.000000,,116558000000.000000,-55288000000.000000,61270000000.000000,,2779642000000.000000,11018481000000.000000,,,,9478529000000.000000,2507157000000.000000,6971372000000.000000,9478529000000.000000,52379000000.000000,,4311000000.000000,5275000000.000000,8454000000.000000,77587000000.000000,9626535000000.000000,,443791000000.000000,851134000000.000000,105398000000.000000,2500000000.000000,102898000000.000000,105398000000.000000,-8377000000.000000,1391946000000.000000,11018481000000.000000,4437912300.000000
12M 2018,,189028000000.000000,548836000000.000000,3184926000000.000000,,,6548959000000.000000,-64532000000.000000,6484427000000.000000,,27307000000.000000,-5117000000.000000,22190000000.000000,,143567000000.000000,-80073000000.000000,63494000000.000000,5418000000.000000,1295662000000.000000,11793981000000.000000,,,,8691731000000.000000,2233997000000.000000,6457734000000.000000,8691731000000.000000,1349477000000.000000,85000000.000000,1117000000.000000,7190000000.000000,,330004000000.000000,10379604000000.000000,,443791000000.000000,851134000000.000000,149619000000.000000,4000000000.000000,145619000000.000000,149619000000.000000,-30167000000.000000,1414377000000.000000,11793981000000.000000,4437912300.000000
12M 2019,,192441000000.000000,603890000000.000000,1625415000000.000000,,,7140003000000.000000,-33146000000.000000,7106857000000.000000,,40512000000.000000,-9418000000.000000,31094000000.000000,,167149000000.000000,-106444000000.000000,60705000000.000000,,3527101000000.000000,13147503000000.000000,,,,9026742000000.000000,2562256000000.000000,6464486000000.000000,9026742000000.000000,1087821000000.000000,2370000000.000000,,10386000000.000000,7626000000.000000,1548141000000.000000,11683086000000.000000,,443791000000.000000,851134000000.000000,189069000000.000000,6000000000.000000,183069000000.000000,189069000000.000000,-19577000000.000000,1464417000000.000000,13147503000000.000000,4437912300.000000
12M 2020,,150194000000.000000,289860000000.000000,1024534000000.000000,,,7428576000000.000000,-31173000000.000000,7397403000000.000000,,61427000000.000000,-14946000000.000000,46481000000.000000,,233204000000.000000,-140902000000.000000,92302000000.000000,,4737160000000.000000,13737934000000.000000,,,,9734959000000.000000,1983061000000.000000,7751898000000.000000,9734959000000.000000,875778000000.000000,,,24733000000.000000,6587000000.000000,1576023000000.000000,12218080000000.000000,,443791000000.000000,851134000000.000000,226369000000.000000,8500000000.000000,217869000000.000000,226369000000.000000,-1440000000.000000,1519854000000.000000,13737934000000.000000,4437912300.000000
12M 2021,,143898000000.000000,885069000000.000000,2168151000000.000000,,138132000000.000000,9673957000000.000000,-58565000000.000000,9753524000000.000000,,106958000000.000000,-22222000000.000000,84736000000.000000,,463651000000.000000,-167098000000.000000,296553000000.000000,,7410712000000.000000,20742643000000.000000,,,,16012192000000.000000,3948909000000.000000,12063283000000.000000,16012192000000.000000,944350000000.000000,3649000000.000000,592000000.000000,25775000000.000000,7326000000.000000,1984076000000.000000,18977960000000.000000,,443791000000.000000,1044301000000.000000,281010000000.000000,12000000000.000000,269010000000.000000,281010000000.000000,-4419000000.000000,1764683000000.000000,20742643000000.000000,4437912300.000000
12M 2022,,189892000000.000000,1039002000000.000000,1625415000000.000000,,133227000000.000000,12275991000000.000000,-79534000000.000000,12329684000000.000000,,129406000000.000000,-33780000000.000000,95626000000.000000,,497606000000.000000,-194101000000.000000,303505000000.000000,,6533242000000.000000,22116366000000.000000,,,,15075980000000.000000,2902142000000.000000,12173838000000.000000,15075980000000.000000,561234000000.000000,1287000000.000000,,26275000000.000000,9976000000.000000,4569014000000.000000,20243766000000.000000,,460228000000.000000,1062864000000.000000,387189000000.000000,17000000000.000000,370189000000.000000,387189000000.000000,-37681000000.000000,1872600000000.000000,22116366000000.000000,4602279422.000000
12M 2023,,157297000000.000000,1154460000000.000000,2096269000000.000000,,297241000000.000000,14939935000000.000000,-101203000000.000000,15135973000000.000000,,174345000000.000000,-47674000000.000000,126671000000.000000,,936842000000.000000,-234994000000.000000,701848000000.000000,,7249834000000.000000,26622352000000.000000,,,,17875533000000.000000,2589391000000.000000,15286142000000.000000,17875533000000.000000,574934000000.000000,969000000.000000,,42989000000.000000,36816000000.000000,4756096000000.000000,23287337000000.000000,,747844000000.000000,2030965000000.000000,526826000000.000000,22000000000.000000,504826000000.000000,526826000000.000000,29380000000.000000,3335015000000.000000,26622352000000.000000,7478443899.000000
12M 2024,,234765000000.000000,1400001000000.000000,853967000000.000000,,309783000000.000000,19875098000000.000000,-152302000000.000000,20032579000000.000000,,187700000000.000000,-65480000000.000000,122220000000.000000,,987756000000.000000,-283631000000.000000,704125000000.000000,,9978144000000.000000,33325801000000.000000,,,,24393285000000.000000,3644477000000.000000,20748808000000.000000,24393285000000.000000,283512000000.000000,9334000000.000000,,95228000000.000000,18358000000.000000,4877251000000.000000,29676968000000.000000,,747844000000.000000,2030965000000.000000,855951000000.000000,27000000000.000000,828951000000.000000,855951000000.000000,14073000000.000000,3648833000000.000000,33325801000000.000000,7478443899.000000
