Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Provisi Dan Komisi Lainnya,Keuntungan Dari Penjualan Aset-Aset Keuangan,Keuntungan Transaksi Mata Uang Asing,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pembentukan Cadangan Kerugian Penurunan Nilai,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,41340000000.000000,41340000000.000000,41340000000.000000,-17795000000.000000,-17795000000.000000,-17795000000.000000,23545000000.000000,-20920000000.000000,957000000.000000,4501000000.000000,,,-11960000000.000000,-16305000000.000000,,1887000000.000000,-20920000000.000000,2625000000.000000,1345000000.000000,,-433000000.000000,1778000000.000000,1345000000.000000,3970000000.000000,-1174000000.000000,2796000000.000000,910000000.000000,,910000000.000000,3706000000.000000,2796000000.000000,2796000000.000000,,2796000000.000000,3706000000.000000,3706000000.000000,,3706000000.000000
12M 2013,154499000000.000000,154499000000.000000,154499000000.000000,-80441000000.000000,-80441000000.000000,-80441000000.000000,74058000000.000000,-50158000000.000000,12001000000.000000,1393000000.000000,,,-29580000000.000000,-35130000000.000000,,1158000000.000000,-50158000000.000000,23900000000.000000,-4122000000.000000,,-4124000000.000000,2000000.000000,-4122000000.000000,19778000000.000000,-5135000000.000000,14643000000.000000,-66312000000.000000,,-66312000000.000000,-51669000000.000000,14643000000.000000,14643000000.000000,,14643000000.000000,-51669000000.000000,-51669000000.000000,,-51669000000.000000
12M 2014,381585000000.000000,381585000000.000000,381585000000.000000,-223680000000.000000,-223680000000.000000,-223680000000.000000,157905000000.000000,-136742000000.000000,11816000000.000000,,,,-85334000000.000000,-63515000000.000000,,291000000.000000,-136742000000.000000,21163000000.000000,-952000000.000000,,-5155000000.000000,4203000000.000000,-952000000.000000,20211000000.000000,-4649000000.000000,15562000000.000000,16062000000.000000,16062000000.000000,16062000000.000000,31624000000.000000,15562000000.000000,15562000000.000000,,15562000000.000000,31624000000.000000,31624000000.000000,,31624000000.000000
12M 2015,496241000000.000000,496241000000.000000,496241000000.000000,-289109000000.000000,-289109000000.000000,-289109000000.000000,207132000000.000000,-179523000000.000000,10365000000.000000,,424000000.000000,,-102654000000.000000,-88938000000.000000,,1280000000.000000,-179523000000.000000,27609000000.000000,-4894000000.000000,,-5122000000.000000,228000000.000000,-4894000000.000000,22715000000.000000,-4509000000.000000,18206000000.000000,-11017000000.000000,-11017000000.000000,-11017000000.000000,7189000000.000000,18206000000.000000,18206000000.000000,,18206000000.000000,7189000000.000000,7189000000.000000,,7189000000.000000
12M 2016,560183000000.000000,560183000000.000000,560183000000.000000,-270360000000.000000,-270360000000.000000,-270360000000.000000,289823000000.000000,-246670000000.000000,12951000000.000000,,,,-142560000000.000000,-121737000000.000000,,4676000000.000000,-246670000000.000000,43153000000.000000,-3921000000.000000,,-4236000000.000000,315000000.000000,-3921000000.000000,39232000000.000000,-8920000000.000000,30312000000.000000,12670000000.000000,12670000000.000000,12670000000.000000,42982000000.000000,30312000000.000000,30312000000.000000,,30312000000.000000,42982000000.000000,42982000000.000000,,42982000000.000000
12M 2017,620548000000.000000,620548000000.000000,620548000000.000000,-273022000000.000000,-273022000000.000000,-273022000000.000000,347526000000.000000,-297488000000.000000,23398000000.000000,,3052000000.000000,,-180487000000.000000,-156910000000.000000,,13459000000.000000,-297488000000.000000,50038000000.000000,-5443000000.000000,,-4385000000.000000,-1058000000.000000,-5443000000.000000,44595000000.000000,-9610000000.000000,34985000000.000000,25204000000.000000,25204000000.000000,25204000000.000000,60189000000.000000,34985000000.000000,34985000000.000000,,34985000000.000000,60189000000.000000,60189000000.000000,,60189000000.000000
12M 2018,747203000000.000000,747203000000.000000,747203000000.000000,-315463000000.000000,-315463000000.000000,-315463000000.000000,431740000000.000000,-345659000000.000000,59394000000.000000,1250000000.000000,7446000000.000000,,-228904000000.000000,-204754000000.000000,,19909000000.000000,-345659000000.000000,86081000000.000000,-42637000000.000000,,-42366000000.000000,-271000000.000000,-42637000000.000000,43444000000.000000,1304000000.000000,44748000000.000000,-22317000000.000000,-22317000000.000000,-22317000000.000000,22431000000.000000,44748000000.000000,44748000000.000000,,44748000000.000000,22431000000.000000,22431000000.000000,,22431000000.000000
12M 2019,821937000000.000000,821937000000.000000,821937000000.000000,-385728000000.000000,-385728000000.000000,-385728000000.000000,436209000000.000000,-371670000000.000000,62237000000.000000,375000000.000000,9027000000.000000,,-205207000000.000000,-260954000000.000000,,22852000000.000000,-371670000000.000000,64539000000.000000,-534000000.000000,,1414000000.000000,-1948000000.000000,-534000000.000000,64005000000.000000,-18211000000.000000,45794000000.000000,4246000000.000000,4246000000.000000,4246000000.000000,50040000000.000000,45794000000.000000,45794000000.000000,,45794000000.000000,50040000000.000000,50040000000.000000,,50040000000.000000
12M 2020,792351000000.000000,792351000000.000000,792351000000.000000,-360971000000.000000,-360971000000.000000,-360971000000.000000,431380000000.000000,-366110000000.000000,41863000000.000000,29192000000.000000,8703000000.000000,,-209149000000.000000,-253267000000.000000,,16548000000.000000,-366110000000.000000,65270000000.000000,6009000000.000000,,6484000000.000000,-475000000.000000,6009000000.000000,71279000000.000000,-17672000000.000000,53607000000.000000,11519000000.000000,11519000000.000000,11519000000.000000,65126000000.000000,53607000000.000000,53607000000.000000,,53607000000.000000,65126000000.000000,65126000000.000000,,65126000000.000000
12M 2021,956776000000.000000,956776000000.000000,956776000000.000000,-431099000000.000000,-431099000000.000000,-431099000000.000000,525677000000.000000,-400943000000.000000,43340000000.000000,1156000000.000000,2315000000.000000,,-209570000000.000000,-256658000000.000000,,18474000000.000000,-400943000000.000000,124734000000.000000,-38740000000.000000,,-35576000000.000000,-3164000000.000000,-38740000000.000000,85994000000.000000,-21808000000.000000,64186000000.000000,-12524000000.000000,-12524000000.000000,-12524000000.000000,51662000000.000000,64186000000.000000,64186000000.000000,,64186000000.000000,51662000000.000000,51662000000.000000,,51662000000.000000
