Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,,,,,,,,,18.87,16.33,0.06,0.04,,,0.0
12M 2014,,,,,,,,,17.47,17.04,0.08,0.07,,,0.0
12M 2015,,,,,,,,,12.07,10.26,0.08,0.08,,,0.0
12M 2016,,,,,,,,,9.5,9.21,0.07,0.07,,,0.0
12M 2017,,,,,,,,,9.82,10.2,0.06,0.06,,,0.0
12M 2018,,,,,,,,,11.98,11.54,0.07,0.07,,,0.0
12M 2019,,,,,,,,,13.24,13.29,0.07,0.07,,,0.0
12M 2020,,,,,,,,,10.36,8.59,0.06,0.06,,,0.0
12M 2021,,,,,,,,,4.92,5.07,0.06,0.05,,,0.0
12M 2022,,,,,,,,,3.87,3.8,0.05,0.05,,,0.0
12M 2023,,,,,,,,,2.98,2.13,0.06,0.06,,,0.0
12M 2024,,,,,,,,,3.02,3.03,0.07,0.07,,,0.0
