Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,7762280394.000000,384780356.000000,,,384780356.000000,2583322.000000,,,2583322.000000,2435540999.000000,243817391.000000,10829002462.000000,,20858275201.000000,3767590578.000000,2393465792.000000,27019331571.000000,37848334033.000000,,,30780889989.000000,,2160506692.000000,,,2160506692.000000,22854122433.000000,,,22854122433.000000,821699111.000000,2942095086.000000,2002466667.000000,30780889989.000000,405869261.000000,384309346.000000,21559915.000000,405869261.000000,31186759250.000000,,300000000.000000,,6361574783.000000,,6361574783.000000,6361574783.000000,,6661574783.000000,37848334033.000000,300.000000
12M 2021,,,11989903544.000000,505856327.000000,,,505856327.000000,1144998.000000,,,1144998.000000,2175419688.000000,411037900.000000,15083362457.000000,,27368089790.000000,3740261991.000000,5017404833.000000,36125756614.000000,51209119071.000000,,,35609287937.000000,,1459641631.000000,,,1459641631.000000,27524835835.000000,,,27524835835.000000,545181342.000000,5839629129.000000,240000000.000000,35609287937.000000,299452609.000000,263877381.000000,35575228.000000,299452609.000000,35908740546.000000,,300000000.000000,,14999131055.000000,,14999131055.000000,14999131055.000000,1247470.000000,15300378525.000000,51209119071.000000,333.000000
12M 2022,,,1516624220.000000,563415558.000000,,,563415558.000000,4058319.000000,,,4058319.000000,3162711342.000000,2777410742.000000,8024220181.000000,,53930463513.000000,4018239279.000000,10190321349.000000,68139024141.000000,76163244322.000000,,,15787598769.000000,,3267025689.000000,,,3267025689.000000,,,,,1214316810.000000,9486184520.000000,1820071750.000000,15787598769.000000,1097620572.000000,716718860.000000,380901712.000000,1097620572.000000,16885219341.000000,,40000000000.000000,,19274607006.000000,316330000.000000,18958277006.000000,19274607006.000000,3417975.000000,59278024981.000000,76163244322.000000,40000.000000
12M 2023,,,34589982477.000000,528900099.000000,,,528900099.000000,12327000.000000,,,12327000.000000,25221272656.000000,20890079233.000000,81242561465.000000,,78113697428.000000,3304675382.000000,37989726970.000000,119408099780.000000,200650661245.000000,,,22098021336.000000,5000000000.000000,4832270594.000000,,,4832270594.000000,,,,,154571043.000000,11944449703.000000,166729996.000000,22098021336.000000,1309285805.000000,394752884.000000,914532921.000000,1309285805.000000,23407307141.000000,,57142864000.000000,95031213252.000000,25147592420.000000,316330000.000000,24831262420.000000,25147592420.000000,-78315568.000000,177243354104.000000,200650661245.000000,3571429000.000000
