Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,7 B,(9 B),(2 B),-7675746.23
12M 2021,13 B,(10 B),3 B,9556046.46
12M 2022,23 B,(32 B),(10 B),-247279.37
12M 2023,(22 B),(33 B),(55 B),-15.30
