Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,15907886.17,0.00,0.00,9.67 B,12.61%,71.64%,176.55%,336.68
12M 2021,0.00 B,25938607.42,0.00,0.00,15.35 B,16.87%,56.45%,94.84%,374.40
12M 2022,0.00 B,316061.90,0.00,0.00,22.98 B,16.60%,21.33%,42.57%,388.09
12M 2023,3.57 B,1.64,55.49,2.45,20.52 B,2.93%,3.31%,7.05%,210.14
