Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Keuangan,Pembayaran Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham Publik,Biaya Emisi Saham,Peningkatan Modal,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,7177026192.000000,83559821238.000000,-42144725389.000000,-14833922441.000000,,83549658.000000,-19487696874.000000,7177026192.000000,-12363328080.000000,,-5457699041.000000,-2883578018.000000,-4022051021.000000,-12363328080.000000,10322715903.000000,,,,,,,15291589497.000000,-4968873594.000000,10322715903.000000,5136414015.000000,2625866379.000000,7762280394.000000
12M 2021,13394377800.000000,109331773995.000000,-50086411163.000000,-18811275729.000000,,159533977.000000,-27199243280.000000,13394377800.000000,-13583005253.000000,,-9659472825.000000,-3370790923.000000,-552741505.000000,-13583005253.000000,4416250601.000000,,,,,,,8822220783.000000,-4405970182.000000,4416250601.000000,4227623148.000000,7762280394.000000,11989903542.000000
12M 2022,22595369041.000000,128007705565.000000,-49463698373.000000,-22931579597.000000,,66223834.000000,-33083282388.000000,22595369041.000000,-37004043930.000000,,-31489609670.000000,-4517500034.000000,-996934226.000000,-37004043930.000000,3935395565.000000,,,31333000000.000000,,,,1500000000.000000,-28897604435.000000,3935395565.000000,-10473279324.000000,11989903544.000000,1516624220.000000
12M 2023,-21518482721.000000,132578505016.000000,-81415323918.000000,-19926927648.000000,,44311872.000000,-52799048043.000000,-21518482721.000000,-62476028565.000000,-29084080743.000000,-33048274086.000000,-260873736.000000,-82800000.000000,-62476028565.000000,117067869544.000000,100714326000.000000,-3245482248.000000,17142864000.000000,5000000000.000000,,-2543838208.000000,,,117067869544.000000,33073358258.000000,1516624220.000000,34589982478.000000
