Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,7816721848.000000,-5659415562.000000,2157306286.000000,-4543966045.000000,-974722520.000000,-3569243525.000000,-4543966045.000000,-2386659759.000000,76316885.000000,76316885.000000,76316885.000000,-2310342874.000000,,-2310342874.000000,,-2310342874.000000,-42904571.000000,-2353247445.000000,-2310342873.000000,-2287815009.000000,-22527864.000000,-2310342873.000000,-2353247444.000000,-2328634228.000000,-24613216.000000,-2353247444.000000
12M 2020,1942555361.000000,-1418009191.000000,524546170.000000,-3588677568.000000,-389283002.000000,-3199394566.000000,-3588677568.000000,-3064131398.000000,654016119.000000,654016119.000000,654016119.000000,-2410115279.000000,,-2410115279.000000,,-2410115279.000000,121563061.000000,-2288552218.000000,-2410115279.000000,-2408554197.000000,-1561082.000000,-2410115279.000000,-2288552218.000000,-2286494960.000000,-2057258.000000,-2288552218.000000
12M 2021,6107732728.000000,-3948529085.000000,2159203643.000000,-3296676313.000000,-495533590.000000,-2801142723.000000,-3296676313.000000,-1137472670.000000,438974172.000000,438974172.000000,438974172.000000,-698498498.000000,,-698498498.000000,,-698498498.000000,25546768.000000,-672951730.000000,-698498498.000000,-816312321.000000,117813823.000000,-698498498.000000,-672951730.000000,-790269377.000000,117317647.000000,-672951730.000000
12M 2022,9813812959.000000,-6868090664.000000,2945722295.000000,-6525855650.000000,-1164464202.000000,-5361391448.000000,-6525855650.000000,-3580133355.000000,672679041.000000,672679041.000000,672679041.000000,-2907454314.000000,,-2907454314.000000,,-2907454314.000000,45226085.000000,-2862228229.000000,-2907454314.000000,-2748158037.000000,-159296277.000000,-2907454314.000000,-2862228230.000000,-2703866014.000000,-158362216.000000,-2862228230.000000
12M 2023,8395978746.000000,-6129239882.000000,2266738864.000000,-4804832293.000000,-1068215944.000000,-3736616349.000000,-4804832293.000000,-2538093429.000000,71163229.000000,71163229.000000,71163229.000000,-2466930200.000000,,-2466930200.000000,,-2466930200.000000,-16516022.000000,-2483446222.000000,-2466930200.000000,-2120834852.000000,-346095348.000000,-2466930200.000000,-2483446222.000000,-2131441381.000000,-352004841.000000,-2483446222.000000
12M 2024,39353986285.000000,-24361259991.000000,14992726294.000000,-13044766142.000000,-7029125441.000000,-6015640701.000000,-13044766142.000000,1947960152.000000,125246367.000000,125246367.000000,125246367.000000,2073206519.000000,,2073206519.000000,,2073206519.000000,-76110104.000000,1997096415.000000,2073206519.000000,859276140.000000,1213930379.000000,2073206519.000000,1997096415.000000,786570936.000000,1210525479.000000,1997096415.000000
