Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pengembalian Atas Pembayaran Kepada Pemasok,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Penerimaan Dari Lainnya,Pendapatan Keuangan,Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Aset Keuangan Lainnya,Modal Disetor Lainnya Entitas Anak Bagian Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Penerimaan Utang Lain-Lain Pihak Beralsi,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Penerimaan Setoran Modal,Penambahan Investasi Saham,Saham Waran,Pembayaran Biaya Emisi Penerbitan Saham,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-1981551656.000000,7804088493.000000,,-6100860746.000000,-3761096288.000000,,104116614.000000,,-27799729.000000,-1981551656.000000,-896677501.000000,-896677501.000000,,,-896677501.000000,3561806778.000000,,1717767715.000000,,1786000000.000000,308039063.000000,,-191300557.000000,,,-58699443.000000,3561806778.000000,683577621.000000,1403654724.000000,2087232345.000000
12M 2020,-42014473095.000000,2669041723.000000,,-42104472080.000000,,-3233058857.000000,727372340.000000,,-73356221.000000,-42014473095.000000,3750000000.000000,,,3750000000.000000,3750000000.000000,50519583600.000000,,20001960200.000000,,-2620659999.000000,-94781251.000000,34650000000.000000,,233064650.000000,-1650000000.000000,,50519583600.000000,12255110505.000000,2087232345.000000,14342342850.000000
12M 2021,9040961334.000000,6191650913.000000,20000000000.000000,-14484903696.000000,,-3218915091.000000,561261548.000000,,-8132340.000000,9040961334.000000,3050000000.000000,,,3050000000.000000,3050000000.000000,2196783522.000000,,-3094560782.000000,5385862954.000000,,-94781250.000000,,,262600.000000,,,2196783522.000000,14287744856.000000,14342342851.000000,28630087707.000000
12M 2022,-7767985876.000000,12797944553.000000,,-17196247245.000000,,-5529094443.000000,2167990562.000000,,-8579303.000000,-7767985876.000000,-227007000.000000,-227007000.000000,,,-227007000.000000,-15577281268.000000,,-8161518064.000000,-7321202954.000000,,-94781250.000000,,,221000.000000,,,-15577281268.000000,-23572274144.000000,28630087706.000000,5057813562.000000
12M 2023,-9994929647.000000,9392422815.000000,,-13387920391.000000,,-6070595300.000000,87307840.000000,,-16144611.000000,-9994929647.000000,-151376500.000000,-151376500.000000,,,-151376500.000000,5742756401.000000,11163732674.000000,-8659126960.000000,,,-23695313.000000,,,261846000.000000,,3000000000.000000,5742756401.000000,-4403549746.000000,5057813562.000000,654263816.000000
12M 2024,2079058493.000000,35153204598.000000,,-20670013154.000000,,-12529379318.000000,138563389.000000,,-13317022.000000,2079058493.000000,-1270758873.000000,-1270758873.000000,,,-1270758873.000000,-154075939.000000,6048756127.000000,-6202832066.000000,,,,,,,,,-154075939.000000,654223681.000000,654263816.000000,1308487497.000000
