Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Deposito Berjangka,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Pendek,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,2087232345.000000,912250000.000000,,19347811882.000000,21520812736.000000,43868106963.000000,,729178849.000000,1773270806.000000,96353200.000000,,2598802855.000000,46466909818.000000,,,2590896106.000000,,,236272426.000000,236272426.000000,,,,287549748.000000,,,1014565408.000000,94781250.000000,1109346658.000000,957727274.000000,2590896106.000000,8577226224.000000,,5580999999.000000,5580999999.000000,,2394271880.000000,213257813.000000,2607529693.000000,388696532.000000,8577226224.000000,11168122330.000000,,35000000000.000000,1920444425.000000,-2323420419.000000,-2323420419.000000,-2323420419.000000,740976032.000000,-39212550.000000,35298787488.000000,46466909818.000000,35000000.000000
12M 2020,,,14342342851.000000,,,63054486117.000000,20910620209.000000,98307449177.000000,,503218570.000000,1081035641.000000,12000000.000000,,1596254211.000000,99903703388.000000,,,5443220091.000000,,,1133509130.000000,1133509130.000000,,,,79222222.000000,280671311.000000,,3083072541.000000,94781250.000000,3177853791.000000,771963637.000000,5443220091.000000,23896549296.000000,,2960340000.000000,2960340000.000000,,20327724947.000000,118476563.000000,20446201510.000000,490007786.000000,23896549296.000000,29339769387.000000,,68179280500.000000,,-4161340533.000000,-4161340533.000000,-4161340533.000000,4488918774.000000,2057075260.000000,70563934001.000000,99903703388.000000,680000000.000000
12M 2021,,,28630087706.000000,,,72851770644.000000,3007462906.000000,104489321256.000000,,277596891.000000,,12000000.000000,,289596891.000000,104778918147.000000,,,4927120612.000000,,,232461621.000000,232461621.000000,,,,19866524.000000,8765238.000000,,3715364157.000000,94781250.000000,3810145407.000000,855881822.000000,4927120612.000000,26910552664.000000,,8346202954.000000,8346202954.000000,,17892792066.000000,23695313.000000,17916487379.000000,647862331.000000,26910552664.000000,31837673276.000000,,68179482500.000000,,-4977652854.000000,-4977652854.000000,-4977652854.000000,7656236421.000000,2083178804.000000,72941244871.000000,104778918147.000000,680000000.000000
12M 2022,,,5467132948.000000,765530667.000000,,82841478904.000000,1731199835.000000,90805342354.000000,,265173995.000000,,22000000.000000,,287173995.000000,91092516349.000000,,,9369590713.000000,409319386.000000,,104482447.000000,104482447.000000,,,,591380885.000000,60186889.000000,,3574981709.000000,23695313.000000,3598677022.000000,4605544084.000000,9369590713.000000,11643687995.000000,,1025000000.000000,1025000000.000000,,9871656450.000000,,9871656450.000000,747031545.000000,11643687995.000000,21013278708.000000,,68179652500.000000,,-7725810891.000000,-7725810891.000000,-7725810891.000000,7497874206.000000,2127521827.000000,70079237642.000000,91092516350.000000,681796525.000000
12M 2023,,,2805217152.000000,,,86665497131.000000,5787581871.000000,95258296154.000000,,284573553.000000,,14500000.000000,,299073553.000000,95557369707.000000,,,11445829101.000000,2150953336.000000,,,,,,,15610094.000000,63105186.000000,,4774979077.000000,,4774979077.000000,4441181408.000000,11445829101.000000,13253903187.000000,,1025000000.000000,1025000000.000000,,11176264796.000000,,11176264796.000000,1052638391.000000,13253903187.000000,24699732288.000000,,68381072500.000000,,-9846645744.000000,-9846645744.000000,-9846645744.000000,10145869365.000000,2177341298.000000,70857637419.000000,95557369707.000000,683810725.000000
12M 2024,,,3823425140.000000,,,85007059791.000000,7385518340.000000,96216003271.000000,,1419146071.000000,,14500000.000000,,1433646071.000000,97649649342.000000,,,12696350096.000000,2514937643.000000,,1690401884.000000,1690401884.000000,,1475607955.000000,1475607955.000000,356605641.000000,215565186.000000,,6202832066.000000,,6202832066.000000,240399721.000000,12696350096.000000,12123100599.000000,,1025000000.000000,1025000000.000000,,9594335868.000000,,9594335868.000000,1503764731.000000,12123100599.000000,24819450695.000000,,68381072500.000000,,-8987369604.000000,-8987369604.000000,-8987369604.000000,11356394844.000000,2080100907.000000,72830198647.000000,97649649342.000000,683810725.000000
