Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.54,1628.93,0.54,1628.32,621 B,603 B,"1,224 B","1,180 B",30 B
12M 2016,0.55,1647.30,0.55,1646.73,451 B,534 B,984 B,885 B,99 B
12M 2017,0.44,1656.95,0.44,1656.40,480 B,448 B,928 B,883 B,42 B
12M 2018,0.41,1814.59,0.41,1814.03,705 B,396 B,"1,101 B","1,059 B",18 B
12M 2019,0.20,1830.93,0.20,1830.41,556 B,322 B,878 B,814 B,84 B
12M 2020,0.26,2146.15,0.26,2145.59,517 B,269 B,785 B,718 B,30 B
12M 2021,0.47,2402.99,0.47,2402.45,592 B,511 B,"1,103 B","1,083 B",142 B
12M 2022,0.43,2851.41,0.43,2850.84,562 B,475 B,"1,038 B",978 B,266 B
12M 2023,0.27,2698.31,0.27,2697.78,742 B,389 B,"1,131 B","1,080 B",180 B
12M 2024,0.22,2833.14,0.22,2832.62,775 B,296 B,"1,072 B","1,023 B",202 B
