Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,2017466511000.0,-1799004253000.0,218462258000.0,-126361809000.0,-60564719000.0,-50129120000.0,2290974000.0,-17958944000.0,-126361809000.0,92100449000.0,-40961483000.0,-46595842000.0,5634359000.0,-40961483000.0,51138966000.0,-23494252000.0,27644714000.0,53213876000.0,80858590000.0,27644714000.0,27653931000.0,-9217000.0,27644714000.0,80858590000.0,80872382000.0,-13792000.0,80858590000.0
12M 2016,2047218639000.0,-1798077316000.0,249141323000.0,-115641720000.0,-68552358000.0,-65249300000.0,6906928000.0,11253010000.0,-115641720000.0,133499603000.0,-57546992000.0,-58764469000.0,1217477000.0,-57546992000.0,75952611000.0,-23558754000.0,52393857000.0,-34414348000.0,17979509000.0,52393857000.0,52403206000.0,-9349000.0,52393857000.0,17979509000.0,18003926000.0,-24417000.0,17979509000.0
12M 2017,2064857643000.0,-1866026156000.0,198831487000.0,-106265343000.0,-59328526000.0,-53674808000.0,5368377000.0,1369614000.0,-106265343000.0,92566144000.0,-60752646000.0,-61842339000.0,1089693000.0,-60752646000.0,31813498000.0,-18479528000.0,13333970000.0,590328000.0,13924298000.0,13333970000.0,13342446000.0,-8476000.0,13333970000.0,13924298000.0,13910181000.0,14117000.0,13924298000.0
12M 2018,2387420036000.000000,-2165024862000.000000,222395174000.000000,-63897913000.000000,-58364418000.000000,-53570451000.000000,,48036956000.000000,-63897913000.000000,158497261000.000000,-66810371000.000000,-67548839000.000000,738468000.000000,-66810371000.000000,91686890000.000000,-27460619000.000000,64226271000.000000,42994991000.000000,107221262000.000000,64226271000.000000,64236736000.000000,-10465000.000000,64226271000.000000,107221262000.000000,107196354000.000000,24908000.000000,107221262000.000000
12M 2019,2251123299000.000000,-2058903051000.000000,192220248000.000000,-43599500000.000000,-68051143000.000000,-65432774000.000000,,89884417000.000000,-43599500000.000000,148620748000.000000,-70119343000.000000,-70901762000.000000,782419000.000000,-70119343000.000000,78501405000.000000,-24146137000.000000,54355268000.000000,-35886254000.000000,18469014000.000000,54355268000.000000,54364771000.000000,-9503000.000000,54355268000.000000,18469014000.000000,18455137000.000000,13877000.000000,18469014000.000000
12M 2020,2230113093000.000000,-1988124547000.000000,241988546000.000000,-141983160000.000000,-72623992000.000000,-60505222000.000000,,-8853946000.000000,-141983160000.000000,100005386000.000000,-59328450000.000000,-59992085000.000000,663635000.000000,-59328450000.000000,40676936000.000000,25328611000.000000,66005547000.000000,2925421000.000000,68930968000.000000,66005547000.000000,66015377000.000000,-9830000.000000,66005547000.000000,68930968000.000000,68942373000.000000,-11405000.000000,68930968000.000000
12M 2021,2702959888000.0,-2358250702000.0,344709186000.0,-79746072000.0,-145993009000.0,-80066234000.0,7334049000.0,138979122000.0,-79746072000.0,264963114000.0,-43284924000.0,-43781255000.0,496331000.0,-43284924000.0,221678190000.0,-73855954000.0,147822236000.0,16610619000.0,164432855000.0,147822236000.0,147831251000.0,-9015000.0,147822236000.0,164432855000.0,164441640000.0,-8785000.0,164432855000.0
12M 2022,3105631649000.0,-2730610274000.0,375021375000.0,-50674874000.0,-176307644000.0,-86816237000.0,14061006000.0,198388001000.0,-50674874000.0,324346501000.0,-53679606000.0,-54029437000.0,349831000.0,-53679606000.0,270666895000.0,-75137513000.0,195529382000.0,108993395000.0,304522777000.0,195529382000.0,195539417000.0,-10035000.0,195529382000.0,304522777000.0,304543307000.0,-20530000.0,304522777000.0
12M 2023,2723631493000.0,-2498653326000.0,224978167000.0,-196061474000.0,-127901432000.0,-73791605000.0,15672311000.0,-10040748000.0,-196061474000.0,28916693000.0,-70885852000.0,-71359749000.0,473897000.0,-70885852000.0,-41969159000.0,12311756000.0,-29657403000.0,-53964662000.0,-83622065000.0,-29657403000.0,-29647091000.0,-10312000.0,-29657403000.0,-83622065000.0,-83634196000.0,12131000.0,-83622065000.0
12M 2024,3025035536000.0,-2712697106000.0,312338430000.0,-201970807000.0,-154519371000.0,-74660528000.0,16410708000.0,10798384000.0,-201970807000.0,110367623000.0,-75916389000.0,-76403210000.0,486821000.0,-75916389000.0,34451234000.0,-23837551000.0,10613683000.0,71946377000.0,82560060000.0,10613683000.0,10625480000.0,-11797000.0,10613683000.0,82560060000.0,82551291000.0,8769000.0,82560060000.0
