Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,44073695000.000000,4791354000.000000,467422285000.000000,191731000.000000,467230554000.000000,467422285000.000000,1118601000.000000,347086793000.000000,151327549000.000000,1015820277000.000000,,114897797000.000000,1692447314000.000000,412452000.000000,59565292000.000000,1867322855000.000000,2883143132000.000000,,,985625515000.000000,523784596000.000000,,879478000.000000,329457597000.000000,330337075000.000000,13127859000.000000,1259520000.000000,20210244000.000000,,96906221000.000000,96906221000.000000,,985625515000.000000,789951724000.000000,,603264326000.000000,603264326000.000000,164488406000.000000,22198992000.000000,789951724000.000000,1775577239000.000000,,340000000000.000000,303829224000.000000,288314666000.000000,17500000000.000000,270814666000.000000,288314666000.000000,-103472000.000000,175525475000.000000,1107565893000.000000,2883143132000.000000,680000000.000000
12M 2016,,,99933371000.000000,6617525000.000000,356148507000.000000,379678000.000000,355768829000.000000,356148507000.000000,3007692000.000000,271560355000.000000,132878691000.000000,870146141000.000000,,111615102000.000000,1622384162000.000000,386617000.000000,11377168000.000000,1745763049000.000000,2615909190000.000000,,,770887902000.000000,340619871000.000000,,486269000.000000,290530891000.000000,291017160000.000000,7887542000.000000,990423000.000000,20046382000.000000,,110326524000.000000,110326524000.000000,,770887902000.000000,724986119000.000000,,533528308000.000000,533528308000.000000,165118095000.000000,26339716000.000000,724986119000.000000,1495874021000.000000,,340000000000.000000,303829224000.000000,335207639000.000000,20000000000.000000,315207639000.000000,335207639000.000000,-127889000.000000,141126195000.000000,1120035169000.000000,2615909190000.000000,680000000.000000
12M 2017,,,45403333000.000000,6994663000.000000,434994507000.000000,35049000.000000,434959458000.000000,434994507000.000000,8398646000.000000,356153488000.000000,151085791000.000000,1003030428000.000000,,110296813000.000000,1588222494000.000000,374614000.000000,43401484000.000000,1742295405000.000000,2745325833000.000000,,,961284302000.000000,370198838000.000000,,1807000.000000,425291740000.000000,425293547000.000000,29223092000.000000,1425663000.000000,25454396000.000000,,109688766000.000000,109688766000.000000,,961284302000.000000,657429040000.000000,,448378049000.000000,448378049000.000000,177513440000.000000,31537551000.000000,657429040000.000000,1618713342000.000000,,340000000000.000000,303829224000.000000,341203109000.000000,22500000000.000000,318703109000.000000,341203109000.000000,-113772000.000000,141693930000.000000,1126612491000.000000,2745325833000.000000,680000000.000000
12M 2018,,,41825284000.000000,5562665000.000000,540177593000.000000,82286000.000000,540095307000.000000,540177593000.000000,538568000.000000,456765636000.000000,188848344000.000000,1233718090000.000000,,117892528000.000000,1675087492000.000000,384137000.000000,43328245000.000000,1836692402000.000000,3070410492000.000000,,,1215369846000.000000,572326729000.000000,,,467339411000.000000,467339411000.000000,16879423000.000000,1294889000.000000,25196462000.000000,,132332932000.000000,132332932000.000000,,1215369846000.000000,621206893000.000000,,396004428000.000000,396004428000.000000,201511117000.000000,23691348000.000000,621206893000.000000,1836576739000.000000,,340000000000.000000,303829224000.000000,405439845000.000000,25000000000.000000,380439845000.000000,405439845000.000000,-88864000.000000,184653548000.000000,1233833753000.000000,3070410492000.000000,680000000.000000
12M 2019,,,63380838000.000000,4861933000.000000,443914465000.000000,14415000.000000,443900050000.000000,443914465000.000000,43989575000.000000,413150846000.000000,118299580000.000000,1087597237000.000000,,113170721000.000000,1521317226000.000000,353128000.000000,54337444000.000000,1689178519000.000000,2776775756000.000000,,,1003137696000.000000,487564011000.000000,,408449000.000000,403953792000.000000,404362241000.000000,13953946000.000000,1360170000.000000,27528901000.000000,,68368427000.000000,68368427000.000000,,1003137696000.000000,528682269000.000000,,321862022000.000000,321862022000.000000,183404981000.000000,23415266000.000000,528682269000.000000,1531819965000.000000,,340000000000.000000,303829224000.000000,452457640000.000000,27500000000.000000,424957640000.000000,452457640000.000000,-74987000.000000,148743914000.000000,1244955791000.000000,2776775756000.000000,680000000.000000
12M 2020,,,67119163000.000000,3858372000.000000,428181253000.000000,179442000.000000,428001811000.000000,428181253000.000000,1612512000.000000,339834058000.000000,69419578000.000000,910024936000.000000,,109831523000.000000,1555991249000.000000,342458000.000000,68077550000.000000,1734242780000.000000,2644267716000.000000,,,879913552000.000000,421442119000.000000,,,324100781000.000000,324100781000.000000,12423904000.000000,5274840000.000000,21362003000.000000,,95309905000.000000,95309905000.000000,,879913552000.000000,450467405000.000000,,268709311000.000000,268709311000.000000,149889125000.000000,31868969000.000000,450467405000.000000,1330380957000.000000,,306124000000.000000,258138280000.000000,518473017000.000000,30000000000.000000,488473017000.000000,518473017000.000000,-86392000.000000,231237854000.000000,1313886759000.000000,2644267716000.000000,612248000.000000
12M 2021,,,20051316000.000000,16614321000.000000,578808178000.000000,24574000.000000,578783604000.000000,578808178000.000000,1542475000.000000,590164193000.000000,97475575000.000000,1304656058000.000000,,139468903000.000000,1863695431000.000000,330392000.000000,27589565000.000000,2031084291000.000000,3335740349000.000000,,,1162789491000.000000,500779024000.000000,,,507331914000.000000,507331914000.000000,22576982000.000000,10560416000.000000,30338863000.000000,,91202292000.000000,91202292000.000000,,1162789491000.000000,701820052000.000000,,510911566000.000000,510911566000.000000,167906215000.000000,23002271000.000000,701820052000.000000,1864609543000.000000,,306124000000.000000,258138280000.000000,649148726000.000000,32500000000.000000,616648726000.000000,649148726000.000000,-95175000.000000,257814975000.000000,1471130806000.000000,3335740349000.000000,612248000.000000
12M 2022,,,59315275000.000000,12950435000.000000,575823060000.000000,189467000.000000,575633593000.000000,575823060000.000000,7877269000.000000,616626604000.000000,104538376000.000000,1377131019000.000000,,162754291000.000000,1996400411000.000000,346563000.000000,53912475000.000000,2213413740000.000000,3590544759000.000000,,,1110996412000.000000,456200456000.000000,,,507683324000.000000,507683324000.000000,12374212000.000000,2214190000.000000,26394895000.000000,,106129335000.000000,106129335000.000000,,1110996412000.000000,733894916000.000000,,475446640000.000000,475446640000.000000,210862894000.000000,47585382000.000000,733894916000.000000,1844891328000.000000,,306124000000.000000,258138280000.000000,797525667000.000000,35000000000.000000,762525667000.000000,797525667000.000000,-115707000.000000,383981191000.000000,1745653431000.000000,3590544759000.000000,612248000.000000
12M 2023,,,51108424000.000000,15597216000.000000,615402806000.000000,656877000.000000,614745929000.000000,615402806000.000000,8597330000.000000,373581172000.000000,181005906000.000000,1245292854000.000000,,164232154000.000000,1867512866000.000000,322310000.000000,74209194000.000000,2106276524000.000000,3351569378000.000000,,,1065296093000.000000,646060846000.000000,,,271747045000.000000,271747045000.000000,11017298000.000000,4821054000.000000,35516575000.000000,,96133275000.000000,96133275000.000000,,1065296093000.000000,634344011000.000000,,389078000000.000000,389078000000.000000,194220017000.000000,51045994000.000000,634344011000.000000,1699640104000.000000,,306124000000.000000,258138280000.000000,757346251000.000000,36000000000.000000,721346251000.000000,757346251000.000000,-103575000.000000,330424318000.000000,1651929274000.000000,3351569378000.000000,612248000.000000
12M 2024,,,49005032000.000000,14931733000.000000,668712383000.000000,10282000.000000,668702101000.000000,668712383000.000000,1179435000.000000,384255463000.000000,141432759000.000000,1259516805000.000000,,170837233000.000000,1852344114000.000000,319743000.000000,71174009000.000000,2094675099000.000000,3354191904000.000000,,,1057869607000.000000,688991294000.000000,,,228608164000.000000,228608164000.000000,15122426000.000000,505425000.000000,38268082000.000000,,86374216000.000000,86374216000.000000,,1057869607000.000000,561832963000.000000,,296325486000.000000,296325486000.000000,215201399000.000000,50306078000.000000,561832963000.000000,1619702570000.000000,,306124000000.000000,258138280000.000000,770805906000.000000,36000000000.000000,734805906000.000000,770805906000.000000,-94806000.000000,399515954000.000000,1734489334000.000000,3354191904000.000000,612248000.000000
