Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Karyawan Dan Lain-Lain,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Lain-Lain,Pembayaran Kepada Lain-Lain,Total Pembayaran Kepada Pemasok Karyawan Dan Lain-Lain,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Arus Kas Masuk Bersih Pada Tanggal Akuisisi,Penerimaan Dari Penjualan Aset Keuangan Tersedia Untuk Dijual - Reksa Dana,Penerimaan Dividen Dari Perusahaan Asosiasi,Penerimaan Bunga,Penerimaan Dari Penjualan Entitas Anak - Dikurangi Saldo Kas Entitas Anak Yang Dijual,Hasil Penjualan Aset Tetap,Penambahan (Penempatan) Investasi Jangka Pendek,Hasil Penjualan Properti Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Pembayaran Untuk Peningkatan Investasi Di Perusahaan Asosiasi,Pembayaran Untuk Investasi Saham Yang Tidak Memiliki Kuotasi Harga Di Pasar Yang Aktif,Penambahan Aset Bangun Kelola Alih,Pembayaran Untuk Akuisisi Entitas Anak - Dikurangi Saldo Kas Entitas Anak,Kenaikan (Penurunan) Piutang Pihak Berelasi,Kenaikan (Penurunan) Piutang Lain-Lain,Penerimaan Dari Penjualan Investasi Saham Yang Tidak Memiliki Kuotasi Harga Dipasar Yang Aktif,Penjualan Investasi Jangka Panjang,Penambahan Investasi Jangka Panjang,Penerimaan Dari Hasil Penjualan Aset Keuangan Tersedia Untuk Dijual,Penambahan Investasi Keuangan Pada Nilai Wajar,Penerimaan Dari Penjualan Entitas Asosiasi,Pembayaran Atas Penurunan Modal Di Entitas Anak,Pembayaran Untuk Investasi Aset Keuangan Tersedia Untuk Dijual,Pembayaran Uang Muka Pembelian Tanah,Penerimaan Dari Badan Kerjasama,Penambahan Uang Muka Investasi,Penjualan Investasi Obligasi,Penjualan Investasi Saham,Pembayaran Peningkatan Investasi Di Perusahaan Asosisasi,Pencairan Investasi Sementara,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hutang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan (Pembayaran) Hutang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Total Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan Pelaksanaan Warran,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Pembagian Dividen Oleh Perusahaan,Penerimaan Dari Penjualan Treasury Stock,Penerimaan Dari Penerbitan Saham Baru Entitas Anak,Pembagian Dividen Oleh Entitas Anak Kepada Pihak Nonpengendali,Penerimaan Dari Penerbitan Saham,Pembelian Kembali Saham,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Pembayaran Utang Sukuk Ijarah Jangka Pendek,Penerimaan Wesel Bayar,Pembayaran Wesel Bayar,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Dari Penjualan Kepemilikan Entitas Anak Tanpa Kehilangan Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,-44910008923.000000,395424871565.000000,-386027288785.000000,,,,-386027288785.000000,-37459891345.000000,-16847700358.000000,-44910008923.000000,6623894445.000000,,,2399999997.000000,2169409930.000000,,620199100.000000,,,-4608740326.000000,-2567056439.000000,,,-35270000.000000,,,,,,,,,,,,,8282281632.000000,,,,,363070551.000000,6623894445.000000,40588519487.000000,67975810135.000000,,,67975810135.000000,,,,,-13191015996.000000,,,-13191015996.000000,,-411633431.000000,-4291307888.000000,,,-4291307888.000000,,,,-8653333333.000000,,,,,,,-840000000.000000,,,40588519487.000000,2302405009.000000,37582573552.000000,23068806.000000,39908047367.000000
12M 2008,-19214937013.000000,347994780629.000000,-301520970975.000000,,,,-301520970975.000000,-49025412178.000000,-16663334489.000000,-19214937013.000000,-59238071231.000000,,,5854089997.000000,1297088912.000000,,781823857.000000,,,-30278360011.000000,-890013986.000000,,,-2700000.000000,,,,,6000000000.000000,-42000000000.000000,,,,,,,,,,,,,-59238071231.000000,118202917396.000000,,237413533116.000000,-146831703642.000000,90581829474.000000,,,,,29529132500.000000,,,29529132500.000000,,-355146942.000000,3373714515.000000,,-16774845030.000000,3373714515.000000,,,,-4746612151.000000,,,,,,,-180000000.000000,,,118202917396.000000,22975064122.000000,39908047367.000000,842804783.000000,63725916272.000000
12M 2009,21252628323.000000,359571762637.000000,-258653796105.000000,,,,-258653796105.000000,-58116199810.000000,-21549138399.000000,21252628323.000000,-32993395373.000000,,,3040000000.000000,1340908020.000000,,27620762191.000000,,,-31570073018.000000,-6498808566.000000,,,-3600000.000000,,,,,,-26922584000.000000,,,,,,,,,,,,,-32993395373.000000,-11786459746.000000,,246040647124.000000,-253983271628.000000,-7942624504.000000,,,,,-2574015124.000000,,,-2574015124.000000,,-530898668.000000,-168921450.000000,,,-168921450.000000,,,,-570000000.000000,,,,,,,,,,-11786459746.000000,-23527226796.000000,63725916272.000000,-360336914.000000,39838352562.000000
12M 2010,-281183722896.000000,616006346392.000000,-816053026165.000000,,,,-816053026165.000000,-41791126823.000000,-39345916300.000000,-281183722896.000000,-120674350908.000000,,,8910850000.000000,2140758873.000000,29073555841.000000,13345308218.000000,,,-61940224526.000000,-4757326165.000000,-16000000000.000000,,-13250000.000000,-91434023149.000000,,,,,,,,,,,,,,,,,,-120674350908.000000,451312874478.000000,,188444535482.000000,-284433493507.000000,-95988958025.000000,,,,,3899789488.000000,,,3899789488.000000,,-707673346.000000,3179348037.000000,,,3179348037.000000,,,,-12383556676.000000,553313925000.000000,,,,,,,,,451312874478.000000,49454800674.000000,39838352562.000000,-511541282.000000,88781611954.000000
12M 2011,-226548671029.000000,1072911885246.000000,-1158052958289.000000,,,,-1158052958289.000000,-58322013041.000000,-83085584945.000000,-226548671029.000000,-191977448295.000000,,,10445685595.000000,2075370025.000000,,851843619.000000,-1250000000.000000,,-60810400635.000000,-4775309649.000000,-133451663750.000000,,-62973500.000000,-5000000000.000000,,,,,,,,,,,,,,,,,,-191977448295.000000,435796002741.000000,,958275599572.000000,-189195620576.000000,769079978996.000000,,,,,-332452279482.000000,,,-332452279482.000000,,-541714950.000000,,,-289981823.000000,-289981823.000000,,,,,,,,,,,,,,435796002741.000000,17269883417.000000,88781611954.000000,123421293.000000,106174916664.000000
12M 2012,176531408127.000000,1566569634282.000000,-1193921943112.000000,,,,-1193921943112.000000,-120571475558.000000,-75544807485.000000,176531408127.000000,-38747975187.000000,,,30903250000.000000,3882641391.000000,1625000000.000000,1084975529.000000,282666580.000000,,-74632663692.000000,-1893844995.000000,,,,,,,,,,,,,,,,,,,,,,-38747975187.000000,-23340571097.000000,,240823940706.000000,-259429644057.000000,-18605703351.000000,,,,,45014552299.000000,,,45014552299.000000,301875.000000,-1051635415.000000,,,,,-31097562555.000000,,,-17600523950.000000,,,,,,,,,,-23340571097.000000,114442861843.000000,106174916664.000000,1148057467.000000,221765835974.000000
12M 2013,220231834305.000000,2319941511040.000000,-1914422890817.000000,,,,-1914422890817.000000,-71063580138.000000,-114223205780.000000,220231834305.000000,-216476059846.000000,20773180369.000000,227004970.000000,4336000000.000000,12150828320.000000,,1146219453.000000,,,-146663104545.000000,-8446188413.000000,,,,,,,,,,,,,,,,,,,,-100000000000.000000,,-216476059846.000000,290288974672.000000,,166780347470.000000,-172861750740.000000,-6081403270.000000,,,,,-111968199297.000000,,,-111968199297.000000,,-2101452133.000000,,,-117600000.000000,-117600000.000000,-51829270925.000000,,,-3228710281.000000,,-31803991020.000000,494974501598.000000,,,,,,2445100000.000000,290288974672.000000,294044749131.000000,221765835974.000000,9799753899.000000,525610339004.000000
12M 2014,-737126509346.000000,2313835836333.000000,-2773964357277.000000,,,,-2773964357277.000000,-169284366911.000000,-107713621491.000000,-737126509346.000000,-88937102169.000000,401395773.000000,,5196464528.000000,12174497945.000000,10250000000.000000,550835518.000000,944176042.000000,,-93765860454.000000,-2587819114.000000,,,,,,,,,-13136200000.000000,,,,,,,,,35328250.000000,-8999920657.000000,,,-88937102169.000000,849305356094.000000,,126144523105.000000,-90623236903.000000,35521286202.000000,725862367404.000000,,,-39568880350.000000,,,-44965089017.000000,-44965089017.000000,,-4037747308.000000,258770633680.000000,,,258770633680.000000,-81183650642.000000,,,-1093563875.000000,,,,,,,,,,849305356094.000000,23241744579.000000,525610339004.000000,1160541295.000000,550012624878.000000
12M 2015,-1057949545935.000000,1788574668898.000000,-2459122995595.000000,,,,-2459122995595.000000,-263996760833.000000,-123404458405.000000,-1057949545935.000000,-8132253756.000000,,,8260978973.000000,18859451124.000000,,15904025199.000000,,,-47099252147.000000,-4057456905.000000,,,,,,,,,,,,,,,,,,,,,,-8132253756.000000,918450767266.000000,,577098829291.000000,-15623559581.000000,561475269710.000000,765858396147.000000,,,-256547328966.000000,,,-33223539007.000000,-33223539007.000000,,-1482938768.000000,-13100000.000000,,,-13100000.000000,-102670991850.000000,,,-14945000000.000000,,,,,,,,,,918450767266.000000,-147631032425.000000,552207773905.000000,,404576741480.000000
12M 2016,-926263876320.000000,2179714234848.000000,-2506233337681.000000,,,,-2506233337681.000000,-470579436428.000000,-129165337059.000000,-926263876320.000000,-67889877964.000000,1016327890.000000,,8800000000.000000,15401179136.000000,,214325500.000000,,,-48697708726.000000,-32810950933.000000,,,,,,,,,,,,,,-206162231.000000,,,-4718000000.000000,,,-6888888600.000000,,-67889877964.000000,1063425015371.000000,,667031743183.000000,-394660025528.000000,272371717655.000000,907809259771.000000,,,-351944462309.000000,,,34774400118.000000,34774400118.000000,,-2072067114.000000,-7437135500.000000,,,-7437135500.000000,-53829006727.000000,54809025000.000000,,-13533076000.000000,,,590000000000.000000,-346000000000.000000,,9475258576.000000,-30998898099.000000,,,1063425015371.000000,69271261087.000000,404576741480.000000,-505265918.000000,473342736649.000000
