Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Tanah Untuk Dikembangkan,Piutang Lain-Lain,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Obligasi,Wesel Bayar,Utang Pihak Berelasi,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Beban Akrual,Utang Jangka Panjang Dari Pihak Berelasi,Wesel Bayar,Utang Sewa Pembiayaan,Utang Obligasi,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,39908047367.000000,128536470.000000,106741206297.000000,,,106741206297.000000,24455177389.000000,417811225048.000000,,27718459579.000000,616762652150.000000,,,,,,,867362092530.000000,,6406504995.000000,,8731014250.000000,269582332029.000000,108391458297.000000,,15461264134.000000,,123000068829.000000,1398934735064.000000,2015697387214.000000,,,651430636991.000000,194048479919.000000,,7180000000.000000,,45136819454.000000,144516266685.000000,15785625102.000000,20335000414.000000,1043366569.000000,,223385078848.000000,651430636991.000000,238705522025.000000,,,181373460786.000000,,,,,5256076458.000000,52075984781.000000,238705522025.000000,890136159016.000000,,1554878041500.000000,14811926711.000000,-454715104024.000000,1000000000.000000,-455715104024.000000,-454715104024.000000,11251262541.000000,-664898530.000000,1125561228198.000000,2015697387214.000000,3109756083.000000
12M 2008,,,63725916272.000000,79343500.000000,61509339717.000000,,,61509339717.000000,10495494210.000000,597466796221.000000,,27987634709.000000,761264524629.000000,,,,,,,780302690921.000000,,6356504995.000000,,174555830.000000,239665690727.000000,124403284521.000000,,12369011307.000000,,186616178774.000000,1349887917075.000000,2111152441704.000000,,,812142334573.000000,359021055664.000000,,7000000000.000000,,49154723394.000000,167278922243.000000,14003017867.000000,23705490170.000000,688219627.000000,,191290905608.000000,812142334573.000000,155242124730.000000,,,99220000000.000000,,,,,3773587209.000000,52248537521.000000,155242124730.000000,967384459303.000000,,1554878041500.000000,14811926711.000000,-440549781873.000000,1000000000.000000,-441549781873.000000,-440549781873.000000,15341887563.000000,-714091500.000000,1143767982401.000000,2111152441704.000000,3109756083.000000
12M 2009,,,39838352562.000000,79343500.000000,83608852600.000000,,,83608852600.000000,7050685135.000000,662456096793.000000,,30195590321.000000,823228920911.000000,,,,,,,698268072441.000000,,6525426445.000000,,1015077246.000000,229832900597.000000,142580200001.000000,,9276758480.000000,,229399318800.000000,1316897754010.000000,2140126674921.000000,,,789823268014.000000,351078431160.000000,,7000000000.000000,,43518993064.000000,164704905116.000000,20736954649.000000,18323818939.000000,533215053.000000,,183926950033.000000,789823268014.000000,163230573747.000000,,,99220000000.000000,,,,,3758991213.000000,60251582534.000000,163230573747.000000,953053841761.000000,,1554878041500.000000,14811926711.000000,-414937498158.000000,1000000000.000000,-415937498158.000000,-414937498158.000000,33034454607.000000,-714091500.000000,1187072833160.000000,2140126674921.000000,3109756083.000000
12M 2010,,,88781611954.000000,27269587259.000000,413983838432.000000,,,413983838432.000000,149233292680.000000,1172470036795.000000,,433219195615.000000,2284957562735.000000,,,,,,,1753952838868.000000,,3346078408.000000,206303125066.000000,2152767886.000000,189180121643.000000,144366782041.000000,,6184505653.000000,,8795478154.000000,2314281697719.000000,4599239260454.000000,,,812887946032.000000,255089473135.000000,,7000000000.000000,,44796222076.000000,168604694604.000000,57506886250.000000,24292541479.000000,616688162.000000,,254981440326.000000,812887946032.000000,162195395697.000000,,,99220000000.000000,,,,,,62975395697.000000,162195395697.000000,975083341729.000000,,2591463402500.000000,1051397287711.000000,-64445576029.000000,1000000000.000000,-65445576029.000000,-64445576029.000000,45740804543.000000,,3624155918725.000000,4599239260454.000000,10365853610.000000
12M 2011,,,106174916664.000000,28554879074.000000,325885107430.000000,,,325885107430.000000,129316492421.000000,1579406374198.000000,,454825832247.000000,2624163602034.000000,,,,,,,2454557757980.000000,,3636060231.000000,235091401407.000000,3855036185.000000,184919242752.000000,171634355989.000000,,6184505653.000000,,7867779477.000000,3067746139674.000000,5691909741708.000000,,,1718152965843.000000,1024169452131.000000,,7000000000.000000,,107999005320.000000,199903056986.000000,43073161421.000000,25767730812.000000,1817621759.000000,,308422937414.000000,1718152965843.000000,174754684543.000000,,,99220000000.000000,,,,,,75534684543.000000,174754684543.000000,1892907650386.000000,,2591463402500.000000,1046796281004.000000,80147742156.000000,1000000000.000000,79147742156.000000,80147742156.000000,82524236988.000000,-1929571326.000000,3799002091322.000000,5691909741708.000000,10365853610.000000
12M 2012,,,221765835974.000000,28346977235.000000,183811159621.000000,,,183811159621.000000,43557521320.000000,1653966736464.000000,,430164162337.000000,2561612392951.000000,,,,,,,2835746252402.000000,,3636060231.000000,218194738979.000000,6875287660.000000,174415820047.000000,277684436532.000000,,6184505653.000000,,7401746087.000000,3530138847591.000000,6091751240542.000000,,,1986785049093.000000,1005563748780.000000,,7000000000.000000,,64307110102.000000,247317609285.000000,59630934995.000000,100020641466.000000,1715826342.000000,,501229178123.000000,1986785049093.000000,154030784417.000000,,,99220000000.000000,,,,,,54810784417.000000,154030784417.000000,2140815833510.000000,,2591463546250.000000,1046796439129.000000,230369533234.000000,2000000000.000000,228369533234.000000,230369533234.000000,77987442945.000000,4318445474.000000,3950935407032.000000,6091751240542.000000,10365854185.000000
12M 2013,,,525610339004.000000,,123262737466.000000,,,123262737466.000000,45648352353.000000,524921049201.000000,,115389254534.000000,1334831732558.000000,,95762989680.000000,,,95762989680.000000,1584390610659.000000,3346737357159.000000,,3753660231.000000,168869227502.000000,7027886097.000000,167163718764.000000,409830953848.000000,,6184505653.000000,,401917758854.000000,6191638668447.000000,7526470401005.000000,,,1689759703146.000000,223911674886.000000,,7000000000.000000,,100343953127.000000,152372152774.000000,80892199159.000000,86129330176.000000,3742138312.000000,67408344992.000000,967959909720.000000,1689759703146.000000,1740666192738.000000,,,99220000000.000000,,1367654527.000000,,708162325631.000000,848814620.000000,931067397960.000000,1740666192738.000000,3430425895884.000000,,2591463546250.000000,1039681198109.000000,502251762118.000000,4000000000.000000,498251762118.000000,502251762118.000000,80091664032.000000,-117443665388.000000,4096044505121.000000,7526470401005.000000,10365854185.000000
12M 2014,,,550012624878.000000,,114394384616.000000,,,114394384616.000000,43789602694.000000,1615772771361.000000,,146093081179.000000,2470062464728.000000,,90078706233.000000,,,90078706233.000000,1507369673945.000000,3201589410609.000000,,4203128631.000000,195996248216.000000,2025291782.000000,761068774617.000000,257455209416.000000,,6184505653.000000,,508850596711.000000,6534821545813.000000,9004884010541.000000,,,1801234294094.000000,259432961088.000000,,7000000000.000000,,111280308441.000000,150215080277.000000,83982777414.000000,80084070329.000000,1340101480.000000,184202793654.000000,923696201411.000000,1801234294094.000000,2733483167468.000000,,,99220000000.000000,,1268054460.000000,,1176618825374.000000,,1456376287634.000000,2733483167468.000000,4534717461562.000000,,2591463546250.000000,1066199762357.000000,849272740714.000000,6000000000.000000,843272740714.000000,849272740714.000000,80701650055.000000,-117471150397.000000,4470166548979.000000,9004884010541.000000,10365854185.000000
12M 2015,,,404576741480.000000,,235503840409.000000,,,235503840409.000000,33512273613.000000,2013316627799.000000,,238697934424.000000,2925607417725.000000,,74950451128.000000,,,74950451128.000000,1550677791992.000000,3644191259620.000000,,4216228631.000000,224475426350.000000,4156165664.000000,1117920560876.000000,225290354193.000000,,6184505653.000000,,510901915050.000000,7362964659157.000000,10288572076882.000000,,,3285725170548.000000,820908230798.000000,345070802264.000000,7000000000.000000,,332694828372.000000,67609736037.000000,54364580421.000000,111235663589.000000,1311645671.000000,547599982931.000000,997929700465.000000,3285725170548.000000,2232018222774.000000,50028195051.000000,,99220000000.000000,,1981038293.000000,,1322532703278.000000,,758256286152.000000,2232018222774.000000,5517743393322.000000,,2591463546250.000000,1066199762357.000000,1141402372703.000000,8000000000.000000,1133402372703.000000,1141402372703.000000,89266370416.000000,-117503368166.000000,4770828683560.000000,10288572076882.000000,10365854185.000000
12M 2016,,,473342736649.000000,,165874786460.000000,,,165874786460.000000,35460094026.000000,2067405321757.000000,,292017384000.000000,3034100322892.000000,,77313661550.000000,,,77313661550.000000,1858110169959.000000,4118113742042.000000,,11814664131.000000,219861185692.000000,4580939958.000000,1608376762264.000000,243529148295.000000,,6184505653.000000,,658074834006.000000,8805959613550.000000,11840059936442.000000,,,3292500606947.000000,1093279948453.000000,,208285292054.000000,,191263291117.000000,61645787333.000000,58528364773.000000,160716243913.000000,1291278564.000000,477024406081.000000,1040465994659.000000,3292500606947.000000,3490081305284.000000,199581743071.000000,,99381300000.000000,,558878146.000000,,1939315267309.000000,,1251244116758.000000,3490081305284.000000,6782581912231.000000,,2591463546250.000000,1096320037357.000000,1385153341857.000000,10000000000.000000,1375153341857.000000,1385153341857.000000,77355716913.000000,-92814618166.000000,5057478024211.000000,11840059936442.000000,10365854185.000000
