Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Beban Operasional Lainnya,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba Dari Ventura Bersama,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,326233362553.000000,326233362553.000000,326233362553.000000,-211799204089.000000,-129573399098.000000,-37684670329.000000,-44541134662.000000,-211799204089.000000,114434158464.000000,-80779951158.000000,-12483141971.000000,-68296809187.000000,,-80779951158.000000,33654207306.000000,8881106574.000000,3357124484.000000,2169409930.000000,414557424.000000,-4244356332.000000,-24390338840.000000,,,31574709908.000000,8881106574.000000,42535313880.000000,-16788941086.000000,25746372794.000000,-5316998261.000000,20429374533.000000,,,,,20429374533.000000,25746372794.000000,-5316998261.000000,20429374533.000000,,,,
12M 2008,332218338666.000000,332218338666.000000,332218338666.000000,-202404049908.000000,-122349632499.000000,-34429822650.000000,-45624594759.000000,-202404049908.000000,129814288758.000000,-88899514653.000000,-12729683375.000000,-76169831278.000000,,-88899514653.000000,40914774105.000000,4635584756.000000,6464079549.000000,1297088912.000000,104681716.000000,4742488493.000000,-31169024098.000000,,,23196270184.000000,4635584756.000000,45550358861.000000,-26168127244.000000,19382231617.000000,-5216909466.000000,14165322151.000000,,,,,14165322151.000000,19382231617.000000,-5216909466.000000,14165322151.000000,,,,
12M 2009,386818659740.000000,386818659740.000000,386818659740.000000,-224690707581.000000,-142436053190.000000,-46607838517.000000,-35646815874.000000,-224690707581.000000,162127952159.000000,-100816474275.000000,-10426049453.000000,-90390424822.000000,,-100816474275.000000,61311477884.000000,-2700288797.000000,14165477890.000000,1340908020.000000,19449033283.000000,-42876479.000000,-47266703662.000000,,,9653872151.000000,-2700288797.000000,58611189087.000000,-19810453091.000000,38800735996.000000,-13188452281.000000,25612283715.000000,,,,,25612283715.000000,38800735996.000000,-13188452281.000000,25612283715.000000,,,,
12M 2010,842715805156.000000,842715805156.000000,842715805156.000000,-436448175217.000000,-360994854827.000000,-41976937661.000000,-33476382729.000000,-436448175217.000000,406267629939.000000,-148181132371.000000,-23372333957.000000,-124808798414.000000,,-148181132371.000000,258086497568.000000,170939515607.000000,53156638373.000000,2140758873.000000,251920770.000000,-1024230359.000000,-32541058754.000000,,,148955486704.000000,170939515607.000000,429026013175.000000,-58578634282.000000,370447378893.000000,-19955456764.000000,350491922129.000000,,,,,350491922129.000000,370447378893.000000,-19955456764.000000,350491922129.000000,,,,
12M 2011,939161250098.000000,939161250098.000000,939161250098.000000,-578274894548.000000,-500322325586.000000,-37463852110.000000,-40488716852.000000,-578274894548.000000,360886355550.000000,-173251810380.000000,-26800030515.000000,-146451779865.000000,,-173251810380.000000,187634545170.000000,10928357142.000000,20494448234.000000,2075370025.000000,108250000.000000,-2026655770.000000,-48300574331.000000,,,38577518984.000000,10928357142.000000,198562902312.000000,-51158119914.000000,147404782398.000000,,147404782398.000000,27828674.000000,27828674.000000,27828674.000000,147432611072.000000,147404782398.000000,139992311478.000000,7412470920.000000,147404782398.000000,147432611072.000000,140020140152.000000,7412470920.000000,147432611072.000000
12M 2012,1262035941211.000000,,1262035941211.000000,-765837556938.000000,,,,-765837556938.000000,496198384273.000000,-192534546040.000000,-43447378832.000000,-149087167208.000000,,-192534546040.000000,303663838233.000000,-27423624572.000000,13009596375.000000,3882641391.000000,420566201.000000,-1890924771.000000,-81792350715.000000,,,38946846947.000000,-27423624572.000000,276240213661.000000,-75804487283.000000,200435726378.000000,,200435726378.000000,82227882.000000,82227882.000000,82227882.000000,200517954260.000000,200435726378.000000,181319353633.000000,19116372745.000000,200435726378.000000,200517954260.000000,181401581515.000000,19116372745.000000,200517954260.000000
12M 2013,1510005415515.000000,,1510005415515.000000,-804094534164.000000,,,,-804094534164.000000,705910881351.000000,-305555499441.000000,-86199896729.000000,-219355602712.000000,,-305555499441.000000,400355381910.000000,3393832391.000000,-24986839447.000000,12150828321.000000,584959691.000000,-2293720490.000000,-82029491509.000000,,,99968095825.000000,3393832391.000000,403749214301.000000,-74140672440.000000,329608541861.000000,,329608541861.000000,-82571547.000000,-82571547.000000,-82571547.000000,329525970314.000000,329608541861.000000,323711499809.000000,5897042052.000000,329608541861.000000,329525970314.000000,323628928262.000000,5897042052.000000,329525970314.000000
12M 2014,1833470463312.000000,,1833470463312.000000,-839704127641.000000,,,,-839704127641.000000,993766335671.000000,-395289916623.000000,-73246977615.000000,-322042939008.000000,,-395289916623.000000,598476419048.000000,-70008857669.000000,-12024395739.000000,12174497913.000000,46317542.000000,-235955158.000000,-98745885026.000000,,,28776562799.000000,-70008857669.000000,528467561379.000000,-96050202576.000000,432417358803.000000,,432417358803.000000,-27485009.000000,-27485009.000000,-27485009.000000,432389873794.000000,432417358803.000000,429157772076.000000,3259586727.000000,432417358803.000000,432389873794.000000,429130287067.000000,3259586727.000000,432389873794.000000
12M 2015,2200900470208.000000,,2200900470208.000000,-1158084584962.000000,,,,-1158084584962.000000,1042815885246.000000,-585666515053.000000,-122103564957.000000,-350140299398.000000,-113422650698.000000,-585666515053.000000,457149370193.000000,-37947985463.000000,,18859451124.000000,-86039455.000000,74852754.000000,-89669419835.000000,-7048078380.000000,,39921248329.000000,-37947985463.000000,419201384730.000000,-157189266.000000,419044195464.000000,,419044195464.000000,880708786.000000,880708786.000000,880708786.000000,419924904250.000000,419044195464.000000,401477919700.000000,17566275764.000000,419044195464.000000,419924904250.000000,402347776450.000000,17577127800.000000,419924904250.000000
12M 2016,2276459607316.000000,,2276459607316.000000,-1240056494396.000000,,,,-1240056494396.000000,1036403112920.000000,-632146121504.000000,-127824123808.000000,-397107578528.000000,-107214419168.000000,-632146121504.000000,404256991416.000000,-104970602073.000000,,15401179136.000000,165325500.000000,-5200952440.000000,-173860393610.000000,-2741945741.000000,,61266185082.000000,-104970602073.000000,299286389343.000000,-1935834355.000000,297350554988.000000,,297350554988.000000,-4621375663.000000,-4621375663.000000,-4621375663.000000,292729179325.000000,297350554988.000000,298891746733.000000,-1541191745.000000,297350554988.000000,292729179325.000000,295086465079.000000,-2357285754.000000,292729179325.000000
