Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,2.24,358.33,2.27,353.36,202 B,181 B,384 B,344 B,(35 B)
12M 2008,0.95,362.87,0.96,358.89,367 B,99 B,466 B,402 B,(51 B)
12M 2009,1.49,371.10,1.50,368.12,359 B,99 B,458 B,418 B,33 B
12M 2010,1.23,345.21,1.23,344.62,263 B,99 B,362 B,273 B,"1,472 B"
12M 2011,0.71,358.53,0.71,357.93,"1,033 B",99 B,"1,132 B","1,026 B",906 B
12M 2012,0.90,373.63,0.90,373.03,"1,014 B",99 B,"1,113 B",892 B,575 B
12M 2013,0.81,387.42,0.81,386.82,302 B,809 B,"1,111 B",585 B,(355 B)
12M 2014,1.54,423.45,1.54,422.86,452 B,"1,277 B","1,729 B","1,179 B",669 B
12M 2015,1.08,451.63,1.08,451.04,"1,722 B","1,424 B","3,146 B","2,741 B",(360 B)
12M 2016,1.04,480.44,1.04,479.84,"1,780 B","2,039 B","3,819 B","3,346 B",(258 B)
12M 2017,0.65,542.47,0.65,541.87,"2,394 B","1,452 B","3,847 B","3,097 B",(496 B)
12M 2018,0.55,563.57,0.55,562.97,"2,904 B","1,947 B","4,851 B","3,727 B",48 B
12M 2019,0.44,597.70,0.44,597.10,"1,840 B","2,958 B","4,798 B","3,383 B",630 B
12M 2020,0.44,501.64,0.44,501.04,"2,099 B","2,935 B","5,034 B","3,609 B",200 B
12M 2021,0.31,504.05,0.31,503.46,"2,051 B","2,803 B","4,855 B","3,101 B",180 B
12M 2022,0.35,495.38,0.35,494.79,"1,905 B","3,034 B","4,938 B","3,776 B",268 B
12M 2023,0.39,512.01,0.39,511.41,"1,441 B","3,161 B","4,602 B","3,648 B",582 B
12M 2024,0.30,537.79,0.30,537.19,"1,171 B","2,565 B","3,736 B","2,984 B",287 B
