Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1908002181636.000000,-1937770114065.000000,-29767932429.000000,-170908407107.000000,-95591359921.000000,-75317047186.000000,-170908407107.000000,-200676339536.000000,-262291025555.000000,-163732380281.000000,621894252.000000,,-96045608492.000000,15334489547.000000,-18469420581.000000,-262291025555.000000,-462967365091.000000,95498295870.000000,-367469069221.000000,221487509893.000000,-145981559328.000000,,,-145981559328.000000,-367469069221.000000,221487509893.000000,-145981559328.000000,,,,
12M 2009,1487923132458.000000,-1424653126907.000000,63270005551.000000,-127374530932.000000,-72239738961.000000,-55134791971.000000,-127374530932.000000,-64104525381.000000,40782514468.000000,158079573742.000000,287273000.000000,,-109758820269.000000,-229326515.000000,-7596185490.000000,40782514468.000000,-23322010913.000000,450102950.000000,-22871907963.000000,36058101839.000000,13186193876.000000,,,13186193876.000000,-22871907963.000000,36058101839.000000,13186193876.000000,,,,
12M 2010,1723962951296.000000,-1653591291172.000000,70371660124.000000,-147208038752.000000,-91251030052.000000,-55957008700.000000,-147208038752.000000,-76836378628.000000,-108988250830.000000,-21266045168.000000,156505209.000000,652250165.000000,-84052181918.000000,317892409.000000,-4796671527.000000,-108988250830.000000,-185824629458.000000,-47555248194.000000,-233379877652.000000,132243557773.000000,-101136319879.000000,,,-101136319879.000000,-233379877652.000000,132243557773.000000,-101136319879.000000,,,,
12M 2011,1957035256801.000000,-1918265766345.000000,38769490456.000000,-121639476388.000000,-69991031679.000000,-51648444709.000000,-121639476388.000000,-82869985932.000000,-58633923707.000000,1718216313.000000,119609826.000000,,-80880626992.000000,3174243307.000000,17234633839.000000,-58633923707.000000,-141503909639.000000,20983756365.000000,-120520153274.000000,,-120520153274.000000,-3113448754.000000,-123633602028.000000,-120520153274.000000,-46905579451.000000,-73614573823.000000,-120520153274.000000,-123633602028.000000,-48203266195.000000,-75430335833.000000,-123633602028.000000
12M 2012,1519059182281.000000,-1520036753395.000000,-977571114.000000,-98313310994.000000,-52578402592.000000,-45734908402.000000,-98313310994.000000,-99290882108.000000,-56771909101.000000,26484471322.000000,44909210.000000,255306570.000000,-85259283556.000000,698260863.000000,1004426490.000000,-56771909101.000000,-156062791209.000000,29890296154.000000,-126172495055.000000,,-126172495055.000000,1457321316.000000,-124715173739.000000,-126172495055.000000,-52733431075.000000,-73439063980.000000,-126172495055.000000,-124715173739.000000,-52126017866.000000,-72589155873.000000,-124715173739.000000
12M 2013,1900301509218.000000,-1793410413774.000000,106891095444.000000,-120676564280.000000,-58053318456.000000,-62623245824.000000,-120676564280.000000,-13785468836.000000,-8837525796.000000,88861688196.000000,166745762.000000,373454865.000000,-94231720212.000000,865223123.000000,-4872917530.000000,-8837525796.000000,-22622994632.000000,-27163988581.000000,-49786983213.000000,,-49786983213.000000,-11323618961.000000,-61110602174.000000,-49786983213.000000,-21835665070.000000,-27951318143.000000,-49786983213.000000,-61110602174.000000,-26705466598.000000,-34405135576.000000,-61110602174.000000
12M 2014,2129058000000.000000,-2147359000000.000000,-18301000000.000000,-124535000000.000000,-78208000000.000000,-46327000000.000000,-124535000000.000000,-142836000000.000000,-47269000000.000000,16538000000.000000,286000000.000000,108000000.000000,-109819000000.000000,649000000.000000,44969000000.000000,-47269000000.000000,-190105000000.000000,31834000000.000000,-158271000000.000000,,-158271000000.000000,-6952000000.000000,-165223000000.000000,-158271000000.000000,-71607000000.000000,-86664000000.000000,-158271000000.000000,-165223000000.000000,-74747000000.000000,-90476000000.000000,-165223000000.000000
12M 2015,1891190000000.000000,-1982131000000.000000,-90941000000.000000,-132402000000.000000,-60842000000.000000,-71560000000.000000,-132402000000.000000,-223343000000.000000,-109798000000.000000,31851000000.000000,172000000.000000,,-126406000000.000000,1194000000.000000,-16609000000.000000,-109798000000.000000,-333141000000.000000,69270000000.000000,-263871000000.000000,,-263871000000.000000,-32183000000.000000,-296054000000.000000,-263871000000.000000,-119164000000.000000,-144707000000.000000,-263871000000.000000,-296054000000.000000,-133698000000.000000,-162356000000.000000,-296054000000.000000
12M 2016,1296753000000.000000,-1346218000000.000000,-49465000000.000000,-97663000000.000000,-37332000000.000000,-60331000000.000000,-97663000000.000000,-147128000000.000000,-250681000000.000000,1535000000.000000,39000000.000000,,-152172000000.000000,79000000.000000,-100162000000.000000,-250681000000.000000,-397809000000.000000,41318000000.000000,-356491000000.000000,,-356491000000.000000,-556000000.000000,-357047000000.000000,-356491000000.000000,-161031000000.000000,-195460000000.000000,-356491000000.000000,-357047000000.000000,-161282000000.000000,-195765000000.000000,-357047000000.000000
12M 2017,1640409000000.000000,-1666387000000.000000,-25978000000.000000,-106561000000.000000,-42030000000.000000,-64531000000.000000,-106561000000.000000,-132539000000.000000,-177270000000.000000,1444000000.000000,,,-106626000000.000000,-6160000000.000000,-65928000000.000000,-177270000000.000000,-309809000000.000000,23324000000.000000,-286485000000.000000,,-286485000000.000000,1490244000000.000000,1203759000000.000000,-286485000000.000000,-134750000000.000000,-151735000000.000000,-286485000000.000000,1203759000000.000000,535887000000.000000,667872000000.000000,1203759000000.000000
