Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,51328827018.000000,156298380849.000000,18642099191.000000,137656281658.000000,156298380849.000000,13464679491.000000,,,13464679491.000000,181672890462.000000,209079102713.000000,611843880533.000000,,3412420310.000000,90885871315.000000,1407852711035.000000,62062341913.000000,1564213344573.000000,2176057225106.000000,,,1336374503779.000000,745562099850.000000,284341947306.000000,,,284341947306.000000,155478332559.000000,,,155478332559.000000,862945620.000000,41522825000.000000,,54850651525.000000,,,,54850651525.000000,53755701919.000000,1336374503779.000000,734362817492.000000,1474244923.000000,,535442281700.000000,,,535442281700.000000,,197446290869.000000,734362817492.000000,2070737321271.000000,,767666577000.000000,2050000000.000000,-1025902464966.000000,2000000000.000000,-1027902464966.000000,-1025902464966.000000,95744518758.000000,265761273043.000000,105319903835.000000,2176057225106.000000,1466666577.000000
12M 2009,,,16773938502.000000,115143613234.000000,8633820680.000000,106509792554.000000,115143613234.000000,9432824909.000000,,,9432824909.000000,148981257379.000000,109300622520.000000,399632256544.000000,,3128733575.000000,93820162561.000000,1273909526675.000000,32907670316.000000,1403766093127.000000,1803398349671.000000,,,973841543846.000000,212242988989.000000,137409343596.000000,,,137409343596.000000,73505144040.000000,,,73505144040.000000,3070445360.000000,37485009726.000000,,490618844800.000000,,,,490618844800.000000,19509767335.000000,973841543846.000000,747108809952.000000,1457048851.000000,,568529274694.000000,,,568529274694.000000,,177122486407.000000,747108809952.000000,1720950353798.000000,,767666577000.000000,2050000000.000000,-1012716271090.000000,2000000000.000000,-1014716271090.000000,-1012716271090.000000,59686416919.000000,265761273043.000000,82447995872.000000,1803398349670.000000,1466666577.000000
12M 2010,,,12479789772.000000,150815724864.000000,296438302.000000,150519286562.000000,150815724864.000000,1717422201.000000,,,1717422201.000000,126266464882.000000,95474351737.000000,386753753456.000000,,,24747640825.000000,1438993600592.000000,32439086143.000000,1496180327560.000000,1882934081016.000000,,,891432903987.000000,350332499969.000000,159871574445.000000,,,159871574445.000000,40454284602.000000,,,40454284602.000000,745907792.000000,41424089095.000000,,278253664038.000000,,,,278253664038.000000,20350884046.000000,891432903987.000000,804079368809.000000,1202613778.000000,,599233859322.000000,30500000000.000000,,629733859322.000000,,173142895709.000000,804079368809.000000,1695512272796.000000,,767666577000.000000,2050000000.000000,-1113852590969.000000,2000000000.000000,-1115852590969.000000,-1113852590969.000000,124770731154.000000,406787091035.000000,187421808220.000000,1882934081016.000000,1466666577.000000
12M 2011,,,5103933551.000000,120333088484.000000,708825888.000000,119624262596.000000,120333088484.000000,25354271135.000000,7192800000.000000,18161471135.000000,25354271135.000000,188582846942.000000,115208542955.000000,454582683067.000000,,,45943280936.000000,1329031428401.000000,18837429812.000000,1393812139149.000000,1848394822216.000000,,,978511549980.000000,456221154403.000000,,863974179.000000,202042215259.000000,202906189438.000000,44725745952.000000,,,44725745952.000000,758890905.000000,47987361623.000000,,188107250760.000000,,,,188107250760.000000,37804956899.000000,978511549980.000000,806095066044.000000,604630000.000000,,604317975602.000000,30500000000.000000,,634817975602.000000,,170672460442.000000,806095066044.000000,1784606616024.000000,,767666577000.000000,2050000000.000000,-1160758170420.000000,2000000000.000000,-1162758170420.000000,-1160758170420.000000,49340395321.000000,405489404291.000000,63788206192.000000,1848394822216.000000,1466666577.000000
12M 2012,,,32460879171.000000,99057911971.000000,962957940.000000,98094954031.000000,99057911971.000000,33465662349.000000,,33465662349.000000,33465662349.000000,189001290132.000000,70257113675.000000,424242857298.000000,,,78883114955.000000,1280337068018.000000,19860267831.000000,1379080450804.000000,1803323308102.000000,,,842155819968.000000,428013130045.000000,,143425032.000000,201147487003.000000,201290912035.000000,76808361872.000000,,,76808361872.000000,5205328385.000000,50329213338.000000,,57436800000.000000,,,,57436800000.000000,23072074293.000000,842155819968.000000,1022094455681.000000,604630000.000000,,851414828220.000000,,,851414828220.000000,,170074997461.000000,1022094455681.000000,1864250275649.000000,,767666577000.000000,2050000000.000000,-1213491601495.000000,2000000000.000000,-1215491601495.000000,-1213491601495.000000,-23248760552.000000,406096817500.000000,-60926967547.000000,1803323308102.000000,1466666577.000000
12M 2013,,,12739180105.000000,140596970238.000000,777511932.000000,139819458306.000000,140596970238.000000,7140290128.000000,,,7140290128.000000,262634505894.000000,91188026439.000000,514298972804.000000,,,68083910364.000000,1458413472141.000000,54671068110.000000,1581168450615.000000,2095467423419.000000,,,1071645734597.000000,633220293027.000000,,50913453.000000,223340399979.000000,223391313432.000000,53408615592.000000,,,53408615592.000000,428803335.000000,65088272561.000000,,75157922505.000000,,,,75157922505.000000,20950514145.000000,1071645734597.000000,1127379258543.000000,604630000.000000,,932063686101.000000,23307200000.000000,,955370886101.000000,,171403742442.000000,1127379258543.000000,2199024993140.000000,,767666577000.000000,16094148135.000000,-1235327266565.000000,2000000000.000000,-1237327266565.000000,-1235327266565.000000,-39173896128.000000,387182867837.000000,-103557569721.000000,2095467423419.000000,1466666577.000000
12M 2014,,,20807000000.000000,165100000000.000000,611000000.000000,164489000000.000000,165100000000.000000,8235000000.000000,,,8235000000.000000,303288000000.000000,84287000000.000000,581717000000.000000,,59324000000.000000,102807000000.000000,1234318000000.000000,63138000000.000000,1459587000000.000000,2041304000000.000000,,,1368816000000.000000,868560000000.000000,,,238782000000.000000,238782000000.000000,,,,,405000000.000000,79243000000.000000,,109935000000.000000,,39811000000.000000,,149746000000.000000,32080000000.000000,1368816000000.000000,941268000000.000000,1370000000.000000,,817343000000.000000,58618000000.000000,,875961000000.000000,,63937000000.000000,941268000000.000000,2310084000000.000000,,767667000000.000000,16094000000.000000,-1306934000000.000000,2000000000.000000,-1308934000000.000000,-1306934000000.000000,-78884000000.000000,333277000000.000000,-268780000000.000000,2041304000000.000000,1466666577.000000
12M 2015,,,5296000000.000000,134782000000.000000,949000000.000000,133833000000.000000,134782000000.000000,13764000000.000000,,,13764000000.000000,219446000000.000000,120346000000.000000,493634000000.000000,,81327000000.000000,189374000000.000000,1153797000000.000000,26194000000.000000,1450692000000.000000,1944326000000.000000,,,1429422000000.000000,910836000000.000000,,,313344000000.000000,313344000000.000000,,,,,436000000.000000,104189000000.000000,,1695000000.000000,,71852000000.000000,,73547000000.000000,27070000000.000000,1429422000000.000000,1082830000000.000000,1335000000.000000,,966445000000.000000,32617000000.000000,,999062000000.000000,,82433000000.000000,1082830000000.000000,2512252000000.000000,,767667000000.000000,16094000000.000000,-1428274000000.000000,2000000000.000000,-1430274000000.000000,-1428274000000.000000,-242175000000.000000,318762000000.000000,-567926000000.000000,1944326000000.000000,1466666577.000000
12M 2016,,,6300000000.000000,108739000000.000000,39000000.000000,108700000000.000000,108739000000.000000,7795000000.000000,,,7795000000.000000,208553000000.000000,28922000000.000000,360309000000.000000,,36877000000.000000,229167000000.000000,968943000000.000000,24461000000.000000,1259448000000.000000,1619757000000.000000,,,854929000000.000000,250306000000.000000,,,306947000000.000000,306947000000.000000,,,,,243000000.000000,143573000000.000000,,64262000000.000000,,47078000000.000000,,111340000000.000000,42520000000.000000,854929000000.000000,1689801000000.000000,8156000000.000000,,1541625000000.000000,32617000000.000000,,1574242000000.000000,,107403000000.000000,1689801000000.000000,2544730000000.000000,,767667000000.000000,16094000000.000000,-1589305000000.000000,2000000000.000000,-1591305000000.000000,-1589305000000.000000,-437940000000.000000,318511000000.000000,-924973000000.000000,1619757000000.000000,1466666577.000000
12M 2017,,,17551000000.000000,231106000000.000000,81916000000.000000,149190000000.000000,231106000000.000000,7168000000.000000,2519000000.000000,4649000000.000000,7168000000.000000,493209000000.000000,15394000000.000000,764428000000.000000,,53015000000.000000,252555000000.000000,2369969000000.000000,18770000000.000000,2694309000000.000000,3458737000000.000000,,,1643507000000.000000,211507000000.000000,,335382000000.000000,152581000000.000000,487963000000.000000,,63860000000.000000,34326000000.000000,98186000000.000000,69000000.000000,108908000000.000000,,270960000000.000000,39402000000.000000,,,310362000000.000000,426512000000.000000,1643507000000.000000,1466145000000.000000,3713000000.000000,,1150267000000.000000,32617000000.000000,,1182884000000.000000,41886000000.000000,237662000000.000000,1466145000000.000000,3109652000000.000000,,767667000000.000000,16094000000.000000,-1724055000000.000000,2000000000.000000,-1726055000000.000000,-1724055000000.000000,304548000000.000000,984831000000.000000,349085000000.000000,3458737000000.000000,1466666577.000000
