Period,Aset,Aset Lancar,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Aset Tetap,Biaya Pengupasan Tanah Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Goodwill,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Others,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Ketiga,Utang Lembaga Keuangan Lain,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Surat Berharga Jangka Menengah,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,640409500.000000,640409500.000000,640409500.000000,,6651258174.000000,,,6651258174.000000,535010935.000000,871502822.000000,830589184.000000,9528770615.000000,,,,2641132098.000000,,,,,,,2641132098.000000,12169902713.000000,,,6235743834.000000,,2650755976.000000,2650755976.000000,218068188.000000,,218068188.000000,306381504.000000,3060538166.000000,,,,,,,,,,,,,,,,6235743834.000000,64793923.000000,,64793923.000000,,,,,,,,,,,,64793923.000000,6300537757.000000,,3000000000.000000,1393084229.000000,1476280725.000000,66798789.000000,1409481936.000000,1476280725.000000,,,5869364954.000000,12169902711.000000,30000000.000000
12M 2008,,,411763464.000000,411763464.000000,411763464.000000,,6629123337.000000,,,6629123337.000000,535010935.000000,1621200867.000000,2228913809.000000,11426012412.000000,,2533537.000000,,2171537749.000000,,,,,,,2174071286.000000,13600083698.000000,,,7758962083.000000,,2110504767.000000,2110504767.000000,122763899.000000,,122763899.000000,855376049.000000,4670317368.000000,,,,,,,,,,,,,,,,7758962083.000000,,,,,,,,,,,,,,,,7758962083.000000,,3000000000.000000,1393084229.000000,1448037386.000000,82194904.000000,1365842482.000000,1448037386.000000,,,5841121615.000000,13600083698.000000,30000000.000000
12M 2009,,,378602000.000000,,378602000.000000,,7429636000.000000,2725757000.000000,4703879000.000000,7429636000.000000,,2559952000.000000,1585151000.000000,11953341000.000000,,1422000.000000,890951000.000000,1600203000.000000,,,,,,,2492576000.000000,14445917000.000000,,,7208384000.000000,2863330000.000000,,2863330000.000000,1657730000.000000,,1657730000.000000,587063000.000000,2100261000.000000,,,,,,,,,,,,,,,,7208384000.000000,2045718000.000000,1943194000.000000,,,,,,,,,,,,102524000.000000,2045718000.000000,9254102000.000000,,3000000000.000000,1393084000.000000,798731000.000000,88995000.000000,709736000.000000,798731000.000000,,,5191815000.000000,14445917000.000000,30000000.000000
12M 2010,,,36168.000000,,36168.000000,,731285.000000,278796.000000,452489.000000,731285.000000,,304523.000000,108620.000000,1180596.000000,,,99094.000000,125564.000000,,,,,,,224658.000000,1405254.000000,,,726186.000000,275612.000000,,275612.000000,182334.000000,,182334.000000,79848.000000,188392.000000,,,,,,,,,,,,,,,,726186.000000,240880.000000,224060.000000,2765.000000,,,,,,,,,,,14055.000000,240880.000000,967066.000000,,333667.000000,154942.000000,-50421.000000,10742.000000,-61163.000000,-50421.000000,,,438188.000000,1405254.000000,30000000.000000
12M 2011,,,561891.000000,,561891.000000,,152797.000000,100141.000000,52656.000000,152797.000000,,198109.000000,94258.000000,1007055.000000,,12792.000000,,113137.000000,,,,,,,125929.000000,1132984.000000,,,524810.000000,55139.000000,,55139.000000,189437.000000,,189437.000000,73350.000000,56829.000000,,,,100221.000000,,4069.000000,,,,104290.000000,,45765.000000,,45765.000000,,524810.000000,322182.000000,172425.000000,,,,,125275.000000,6269.000000,,,,131544.000000,,18213.000000,322182.000000,846992.000000,,330834.000000,153626.000000,-198468.000000,11137.000000,-209605.000000,-198468.000000,,,285992.000000,1132984.000000,30000000.000000
12M 2012,,,8622284.000000,,8622284.000000,,3586738.000000,,3586738.000000,3586738.000000,2388181.000000,28569120.000000,9928168.000000,53094491.000000,,2480836.000000,1344180.000000,49861075.000000,6812000.000000,70777820.000000,347543893.000000,31498025.000000,,10998217.000000,521316046.000000,574410537.000000,,,57124820.000000,,,,25724047.000000,,25724047.000000,9866235.000000,4717619.000000,,,,162467.000000,,2008074.000000,13460031.000000,,,15630572.000000,,1186347.000000,,1186347.000000,,57124820.000000,231568654.000000,19173761.000000,79551235.000000,,,,251373.000000,8933030.000000,110841040.000000,,,120025443.000000,,12818215.000000,231568654.000000,288693474.000000,,8401985.000000,152934789.000000,86593344.000000,11137.000000,86582207.000000,86593344.000000,37744534.000000,42411.000000,285717063.000000,574410537.000000,756000000.000000
12M 2013,,,26791401.000000,,26791401.000000,,,,,,1856868.000000,40381856.000000,20948928.000000,89979053.000000,,7695449.000000,3038647.000000,158040033.000000,29230000.000000,52433973.000000,422288912.000000,31498025.000000,,11273242.000000,715498281.000000,805477334.000000,,,99499387.000000,,,,33348742.000000,,33348742.000000,5795182.000000,13303973.000000,,,,196302.000000,,11408664.000000,33854539.000000,,,45459505.000000,,1591985.000000,,1591985.000000,,99499387.000000,446590028.000000,70744277.000000,72125399.000000,,,,151428.000000,33969570.000000,213206051.000000,,,247327049.000000,,56393303.000000,446590028.000000,546089415.000000,,8401985.000000,152934789.000000,62398601.000000,11137.000000,62387464.000000,62398601.000000,35612309.000000,40235.000000,259387919.000000,805477334.000000,756000000.000000
12M 2014,,,11327844.000000,,11327844.000000,,,,,,2299624.000000,46138155.000000,9448076.000000,69213699.000000,,717205.000000,4695050.000000,278966130.000000,,75801931.000000,361888253.000000,31498025.000000,,33934606.000000,787501200.000000,856714899.000000,,,179272106.000000,6772679.000000,,6772679.000000,44038848.000000,,44038848.000000,17655138.000000,16647190.000000,,,,108970.000000,,12001991.000000,81604035.000000,,,93714996.000000,,443255.000000,,443255.000000,,179272106.000000,392190048.000000,78718728.000000,69302463.000000,,,,30339.000000,24270320.000000,172292607.000000,,,196593266.000000,,47575591.000000,392190048.000000,571462154.000000,,58830001.000000,102481975.000000,85393619.000000,11137.000000,85382482.000000,85393619.000000,38492596.000000,54554.000000,285252745.000000,856714899.000000,5292000000.000000
12M 2015,,,6202154.000000,,6202154.000000,,,,,,1846119.000000,42156351.000000,18065430.000000,68270054.000000,,,5024151.000000,265724841.000000,,99430196.000000,331269945.000000,31498025.000000,,28219381.000000,761166539.000000,829436593.000000,,,233143268.000000,10639172.000000,,10639172.000000,26188754.000000,,26188754.000000,32212358.000000,19612776.000000,,,17000000.000000,491629.000000,,12721517.000000,109531511.000000,,,139744657.000000,,4745551.000000,,4745551.000000,,233143268.000000,279005058.000000,79232480.000000,70363807.000000,,,,17757.000000,14448277.000000,90108618.000000,,,104574652.000000,,24834119.000000,279005058.000000,512148326.000000,,58830001.000000,102481975.000000,110212509.000000,11137.000000,110201372.000000,110212509.000000,45653304.000000,110478.000000,317288267.000000,829436593.000000,5292000000.000000
12M 2016,,,13095312.000000,,13095312.000000,,2394659.000000,,,2394659.000000,2142047.000000,57695327.000000,13396137.000000,88723482.000000,,,5680708.000000,275614232.000000,,101206751.000000,315507744.000000,31498025.000000,,34708450.000000,764215910.000000,852939392.000000,,,181169518.000000,39451123.000000,,39451123.000000,31266315.000000,,31266315.000000,31504191.000000,19388134.000000,,,,61549.000000,,12022574.000000,41614008.000000,,,53698131.000000,,5861624.000000,,5861624.000000,,181169518.000000,329684005.000000,79875441.000000,74034906.000000,,,,52487.000000,7246652.000000,138923273.000000,,,146222412.000000,,29551246.000000,329684005.000000,510853523.000000,,58830001.000000,102481975.000000,132011938.000000,11137.000000,132000801.000000,132011938.000000,48641847.000000,120108.000000,342085869.000000,852939392.000000,26460000000.000000
