Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Untuk Pemasok, Karyawan Dan Lainnya",Pembayaran Kas Kepada Konsultan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Lainnya,Pembayaran Untuk Beban Usaha,Pendapatan Operasional Lainya,Pembayaran Beban Tenaga Kerja,Pemberian Pinjaman Ke Afiliasi,Pembayaran Beban Umum Dan Administrasi,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Arus Kas Untuk Akuisisi Entitas Anak - Bersih,Penambahan Biaya Pengupasan,Penempatan Deposito Berjangka Yang Dibatasi Pencairannya,Penempatan Deposito Berjangka,Penerimaan Dari Penjualan Investasi,Penerimaan (Pembayaran) Uang Muka Pembelian Aset Tetap,Pembayaran Instrument Lindung Nilai Dan Liabilitas Derivative - Kotor,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pelunasan Pinjaman Kepada Pihak Ketiga,Penarikan (Penemepatan) Investasi,Penambahan Investasi Pada Entitas Anak,Investasi Pada Ventura Bersama,Penerimaan Piutang Dari Pihak Berelasi,Perolehan Aset Tetap,Penambahan Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Penerimaan Atas Penjualan Entitas Anak - Dikurangi Saldo Kas,Rekening Bank Yang Dibatasi Penggunaannya,Pemberian Pinjaman Kepada Pihak Ketiga,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Pinjaman Bank Jangka Panjang,Perolehan Dari Pinjaman Bank Jangka Pendek,Penerimaan Surat Utang Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Perolehan Dari (Pembayaran) Pinjaman Pihak Berelasi,Perolehan,Pembayaran,Total Perolehan Dari (Pembayaran) Pinjaman Pihak Berelasi,Pembayaran Biaya Emisi Saham Bonus,Perolehan Dari Pinjaman Jangka Panjang,Perolehan Dari Utang Lembaga Keuangan Bukan Bank,Pembayaran Utang Lembaga Keuangan Bukan Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Pinjaman Bank Jangka Panjang,Modal Saham,Beban Bunga Dan Keuangan Lainnya,Perolehan Kas Dari Surat Utang Berjangka,Tambahan Modal Disetor,Penerimaan Atas Pinjaman Bank Jangka Panjang,Utang Kepada Pihak Berelasi,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Penerimaan (Pembayaran) Dari Dividen,Penerimaan Atas Obligasi,Pembayaran Atas Utang Obligasi,Penerimaan (Pembayaran) Dari Pinjaman Pihak Ketiga,Penerimaan,(Pembayaran),Total Penerimaan (Pembayaran) Dari Pinjaman Pihak Ketiga,Penerimaan Atas Penjualan Investasi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-111754196.000000,17484623791.000000,-14849554648.000000,,,,,,7052517.000000,-1952415279.000000,,-801460577.000000,,,-111754196.000000,-116891840.000000,,,,,,,,,,,,,,,-116891840.000000,,,,,,,-116891840.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-228646035.000000,640409500.000000,,411763464.000000
12M 2009,-492792876.000000,12162185239.000000,-10197465500.000000,,,,,,182829852.000000,-1844296619.000000,,-796045848.000000,,,-492792876.000000,459631500.000000,,,,,,,,,,,,,,,459631500.000000,,,,,,,459631500.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33161376.000000,411763464.000000,,378602088.000000
12M 2010,-134995673.000000,13728276829.000000,-11208390078.000000,,,,,,87655751.000000,-1912748463.000000,,-829789712.000000,,,-134995673.000000,81580000.000000,,,,,,,,,,,,,,,81580000.000000,,,,,,,81580000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53415674.000000,378602088.000000,,325186414.000000
12M 2011,4350924899.000000,20690838869.000000,-16304300890.000000,,,,,,,,,,-35613080.000000,,4350924899.000000,866971252.000000,,,,,,,,,60650000.000000,,,,,890951152.000000,-84629900.000000,,,,,,,866971252.000000,-447858776.000000,,,,,,,,,,,2044794000.000000,,-1978029035.000000,,,-1978029035.000000,-63657080.000000,,,,,,,-450966661.000000,,,,,,,,,,,-447858776.000000,4770037375.000000,325186414.000000,,5095223789.000000
12M 2012,44573787.000000,169414644.000000,-113190810.000000,,,,,,,,,,-11705622.000000,55575.000000,44573787.000000,-220296361.000000,-134158985.000000,-6812000.000000,-1574000.000000,,,,,-1239947.000000,184113.000000,,,,,,-10332204.000000,-28918230.000000,-37445108.000000,,,,,-220296361.000000,183747987.000000,128458224.000000,,,,,6180531.000000,,6180531.000000,,,413840.000000,-225496.000000,-55139.000000,,,-55139.000000,-480309.000000,-100000000.000000,160852314.000000,-11395978.000000,,,,,,,,,,,,,,,183747987.000000,8025413.000000,561891.000000,34980.000000,8622284.000000
12M 2013,-10005436.000000,113346831.000000,-113154369.000000,,,,,,,,,,-10244749.000000,46851.000000,-10005436.000000,-177800987.000000,,-23887851.000000,746000.000000,,,,,-1003784.000000,497972.000000,,,,,,-69027386.000000,-62336930.000000,-20821221.000000,136886.000000,,-410206.000000,-1694467.000000,-177800987.000000,205986452.000000,259269194.000000,,,,,74186639.000000,,74186639.000000,,,,-275271.000000,,,,,-5273708.000000,-135637333.000000,,-28123172.000000,,,,,,-28160000.000000,,,,70000000.000000,,,70000000.000000,103.000000,205986452.000000,18180029.000000,8622284.000000,-10912.000000,26791401.000000
12M 2014,107542890.000000,280174006.000000,-168123820.000000,,,,,,,,,,-4583234.000000,75938.000000,107542890.000000,-88797691.000000,,,28818.000000,,,,,,23453.000000,,,,-20138.000000,,-46727397.000000,-14267258.000000,-22403997.000000,,-3205977.000000,-568792.000000,-1656403.000000,-88797691.000000,-34240126.000000,56091782.000000,10834747.000000,,,,14342444.000000,-5500000.000000,8842444.000000,-24798.000000,,-193548.000000,,-4062068.000000,,,-4062068.000000,-11491683.000000,-51065598.000000,,-23332404.000000,,,,,,,,,,,10660000.000000,-30500000.000000,-19840000.000000,1000.000000,-34240126.000000,-15494927.000000,26791401.000000,31370.000000,11327844.000000
12M 2015,114089227.000000,291254598.000000,-165994586.000000,,,,,,,,,,-11212969.000000,42184.000000,114089227.000000,-28792837.000000,,,154208.000000,,,,,,1752.000000,,,,,,-5196695.000000,-2517000.000000,-23340157.000000,,3908237.000000,-1474081.000000,-329101.000000,-28792837.000000,-90334149.000000,47955085.000000,61930963.000000,,,,5000000.000000,,5000000.000000,,,-101624.000000,,-58064470.000000,,,-58064470.000000,-12583967.000000,-104019549.000000,,-25450587.000000,,,,,,,,,,,,-5000000.000000,-5000000.000000,,-90334149.000000,-5037759.000000,11327844.000000,-87931.000000,6202154.000000
12M 2016,92227328.000000,232734541.000000,-124533077.000000,,,,,,,,,,-16006019.000000,31883.000000,92227328.000000,-42161069.000000,,,-7212.000000,,,,,,240022.000000,,,,,,-6773761.000000,-11402278.000000,-21528989.000000,,-2032294.000000,,-656557.000000,-42161069.000000,-43189972.000000,36518682.000000,278545871.000000,,,,,,,,,-648312.000000,,-275947429.000000,,,-275947429.000000,-13009795.000000,-34353598.000000,,-23495391.000000,,,,,5000000.000000,,,,,,,-15800000.000000,-15800000.000000,,-43189972.000000,6876287.000000,6202154.000000,16871.000000,13095312.000000
12M 2017,48492367.000000,220350944.000000,-136375675.000000,,,,,,,,,,-35777790.000000,294888.000000,48492367.000000,-72687777.000000,,,-86822.000000,,,,,,274941.000000,2399477.000000,,-1772214.000000,,,-35124786.000000,-11506069.000000,-30742049.000000,36851.000000,-1847814.000000,,5680708.000000,-72687777.000000,42725226.000000,8889000.000000,277942385.000000,,,,,-6619523.000000,-6619523.000000,,,-96887.000000,,-257515993.000000,,,-257515993.000000,-12806401.000000,-44959337.000000,,-27987053.000000,112079035.000000,,,,-5000000.000000,,,,,,,-1200000.000000,-1200000.000000,,42725226.000000,18529816.000000,13095312.000000,-697.000000,31624431.000000
