Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Bunga,Pendapatan Keuangan,Pendapatan Bersih Ventura Bersama,Beban Keuangan,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,17462488955.000000,-16499704384.000000,962784570.000000,-801460577.000000,,-801460577.000000,161323993.000000,7052517.000000,,,,,,,,7052517.000000,7052517.000000,168376510.000000,-32247197.000000,-29713660.000000,-2533537.000000,-32247197.000000,136129312.000000,,,136129312.000000,136129312.000000,,136129312.000000,,,,
12M 2009,14006018767.000000,-13460360607.000000,545658159.000000,-796045848.000000,,-796045848.000000,-250387688.000000,182829853.000000,,,,,,,,182829853.000000,182829853.000000,-67557835.000000,4004611.000000,,4004611.000000,4004611.000000,-63553224.000000,,,-63553224.000000,-63553224.000000,,-63553224.000000,,,,
12M 2010,13814883833.000000,-12943137534.000000,871746299.000000,-829789712.000000,,-829789712.000000,41956586.000000,87655751.000000,,,,,,,,87655751.000000,87655751.000000,129612337.000000,-41445418.000000,-35343146.000000,-6102272.000000,-41445418.000000,88166918.000000,,,88166918.000000,88166918.000000,,88166918.000000,,,,
12M 2011,15501413410.000000,-13697505724.000000,1803907686.000000,-2673817704.000000,-2673817704.000000,-2673817704.000000,-869910018.000000,-617321595.000000,60650000.000000,,3494264.000000,,-418755859.000000,,,-262710000.000000,-617321595.000000,-1487231613.000000,,,,,-1487231613.000000,,-1487231613.000000,-1487231613.000000,-1487231613.000000,,-1487231613.000000,-1487231613.000000,-1487231613.000000,,-1487231613.000000
12M 2012,172848585.000000,-105825327.000000,67023258.000000,-29416064.000000,-29416064.000000,-29416064.000000,37607194.000000,58056849.000000,179371.000000,,55575.000000,,-10816358.000000,,,68638261.000000,58056849.000000,95664043.000000,-7794228.000000,-16442601.000000,8648373.000000,-7794228.000000,87869815.000000,42896.000000,87912711.000000,87869815.000000,86791812.000000,1078003.000000,87869815.000000,87912711.000000,86834223.000000,1078488.000000,87912711.000000
12M 2013,77870619.000000,-74610694.000000,3259925.000000,-31807670.000000,-31807670.000000,-31807670.000000,-28547745.000000,-10349751.000000,408850.000000,,-1553769.000000,,225302.000000,-15494649.000000,,6064515.000000,-10349751.000000,-38897496.000000,12573135.000000,-67314.000000,12640449.000000,12573135.000000,-26324361.000000,1508.000000,-26322853.000000,-26324361.000000,-24194743.000000,-2129618.000000,-26324361.000000,-26322853.000000,-24193252.000000,-2129601.000000,-26322853.000000
12M 2014,280174006.000000,-150748337.000000,129425669.000000,-44003491.000000,-44003491.000000,-44003491.000000,85422178.000000,-39853565.000000,-39660.000000,,384979.000000,-20138.000000,-28172088.000000,,,-12006658.000000,-39853565.000000,45568613.000000,-19690853.000000,-15535545.000000,-4155308.000000,-19690853.000000,25877760.000000,10864.000000,25888624.000000,25877760.000000,22995018.000000,2882742.000000,25877760.000000,25888624.000000,23005759.000000,2882865.000000,25888624.000000
12M 2015,286591579.000000,-137625304.000000,148966275.000000,-47706872.000000,-47706872.000000,-47706872.000000,101259403.000000,-43490398.000000,1752.000000,,416447.000000,,-28315894.000000,,,-15592703.000000,-43490398.000000,57769005.000000,-26497101.000000,-25084425.000000,-1412676.000000,-26497101.000000,31271904.000000,763618.000000,32035522.000000,31271904.000000,24215294.000000,7056610.000000,31271904.000000,32035522.000000,24874814.000000,7160708.000000,32035522.000000
12M 2016,235129200.000000,-96351433.000000,138777767.000000,-54572290.000000,-54572290.000000,-54572290.000000,84205477.000000,-43700581.000000,-203977.000000,,386063.000000,,-29444166.000000,,,-14438501.000000,-43700581.000000,40504896.000000,-18283932.000000,-15297852.000000,-2986080.000000,-18283932.000000,22220964.000000,42878.000000,22263842.000000,22220964.000000,19208224.000000,3012740.000000,22220964.000000,22263842.000000,19228294.000000,3035548.000000,22263842.000000
12M 2017,219406054.000000,-93626710.000000,125779344.000000,-60203379.000000,-60203379.000000,-60203379.000000,65575965.000000,-37596801.000000,-1952059.000000,,294888.000000,,-29575651.000000,,,-6363979.000000,-37596801.000000,27979164.000000,-12081152.000000,-10830551.000000,-1250601.000000,-12081152.000000,15898012.000000,-6089088.000000,9808924.000000,15898012.000000,14451849.000000,1446163.000000,15898012.000000,9808924.000000,8551449.000000,1257475.000000,9808924.000000
