Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,4486419000000.000000,-3773394000000.000000,,713025000000.000000,-441759000000.000000,-463599000000.000000,21840000000.000000,-441759000000.000000,271266000000.000000,-33849000000.000000,44506000000.000000,,22456000000.000000,-100811000000.000000,,-33849000000.000000,237417000000.000000,-66163000000.000000,-61528000000.000000,-4635000000.000000,,-66163000000.000000,171254000000.000000,-43878000000.000000,127376000000.000000,171254000000.000000,171202000000.000000,52000000.000000,171254000000.000000,127376000000.000000,127324000000.000000,52000000.000000,127376000000.000000
12M 2011,6626275000000.000000,-5244558000000.000000,,1381717000000.000000,-661569000000.000000,-718953000000.000000,57384000000.000000,-661569000000.000000,720148000000.000000,-255742000000.000000,-64126000000.000000,261000000.000000,23743000000.000000,-215620000000.000000,,-255742000000.000000,464406000000.000000,-51523000000.000000,-39375000000.000000,-12148000000.000000,,-51523000000.000000,412883000000.000000,,412883000000.000000,412883000000.000000,415740000000.000000,-2857000000.000000,412883000000.000000,412883000000.000000,415740000000.000000,-2857000000.000000,412883000000.000000
12M 2012,886971424.000000,-714703117.000000,,172268307.000000,-116309482.000000,-113909899.000000,-2399583.000000,-116309482.000000,55958825.000000,-32885811.000000,,94174.000000,9741175.000000,-42721160.000000,,-32885811.000000,23073014.000000,-10645279.000000,-6605070.000000,-4040209.000000,,-10645279.000000,12427735.000000,-5660749.000000,6766986.000000,12427735.000000,13637610.000000,-1209875.000000,12427735.000000,6766986.000000,7976861.000000,-1209875.000000,6766986.000000
12M 2013,777019580.000000,-600992390.000000,,176027190.000000,-120307274.000000,-133337453.000000,13030179.000000,-120307274.000000,55719916.000000,-51961404.000000,,1822266.000000,5832218.000000,-59615888.000000,,-51961404.000000,3758512.000000,-1684696.000000,-2564697.000000,880001.000000,,-1684696.000000,2073816.000000,-22697510.000000,-20623694.000000,2073816.000000,4606580.000000,-2532764.000000,2073816.000000,-20623694.000000,-18090930.000000,-2532764.000000,-20623694.000000
12M 2014,723620468.000000,-573730500.000000,,149889968.000000,-215650164.000000,-145838912.000000,-69811252.000000,-215650164.000000,-65760196.000000,-34471043.000000,,640576.000000,5290545.000000,-40402164.000000,,-34471043.000000,-100231239.000000,-16070708.000000,,,,-16070708.000000,-116301947.000000,-1447186.000000,-117749133.000000,-116301947.000000,-113662230.000000,-2639717.000000,-116301947.000000,-117749133.000000,-115109416.000000,-2639717.000000,-117749133.000000
12M 2015,654585884.000000,-527423013.000000,,127162871.000000,-124402990.000000,-102657455.000000,-21745535.000000,-124402990.000000,2759881.000000,-33490892.000000,,885044.000000,4813622.000000,-39189558.000000,,-33490892.000000,-30731011.000000,-14601929.000000,-13522068.000000,,-1079861.000000,-14601929.000000,-45332940.000000,-5874076.000000,-51207016.000000,-45332940.000000,-38052166.000000,-7280774.000000,-45332940.000000,-51207016.000000,-43935166.000000,-7271850.000000,-51207016.000000
12M 2016,590695975.000000,-462785716.000000,,127910259.000000,-85585013.000000,-61589126.000000,-23995887.000000,-85585013.000000,42325246.000000,-27504490.000000,,441323.000000,7075308.000000,-35021121.000000,,-27504490.000000,14820756.000000,-7918635.000000,-6556840.000000,,-1361795.000000,-7918635.000000,6902121.000000,242765.000000,7144886.000000,6902121.000000,12638184.000000,-5736063.000000,6902121.000000,7144886.000000,12887388.000000,-5742502.000000,7144886.000000
12M 2017,690732993.000000,-539337965.000000,,151395028.000000,-96455824.000000,-76060604.000000,-20395220.000000,-96455824.000000,54939204.000000,-43046475.000000,,895457.000000,2469914.000000,-46411846.000000,,-43046475.000000,11892729.000000,-8093967.000000,-7054701.000000,,-1039266.000000,-8093967.000000,3798762.000000,-853507.000000,2945255.000000,3798762.000000,5571770.000000,-1773008.000000,3798762.000000,2945255.000000,4743923.000000,-1798668.000000,2945255.000000
12M 2018,773057131.000000,-598842999.000000,,174214132.000000,-37436129.000000,-65276308.000000,27840179.000000,-37436129.000000,136778003.000000,-43152315.000000,,,3559476.000000,-46711791.000000,,-43152315.000000,93625688.000000,-26398030.000000,-25869745.000000,,-528285.000000,-26398030.000000,67227658.000000,1025239.000000,68252897.000000,67227658.000000,65492582.000000,1735076.000000,67227658.000000,68252897.000000,66497237.000000,1755660.000000,68252897.000000
12M 2019,592394952.000000,-484564191.000000,,107830761.000000,-54283174.000000,-58340764.000000,4057590.000000,-54283174.000000,53547587.000000,-33588395.000000,,,2988439.000000,-36576834.000000,,-33588395.000000,19959192.000000,-16065228.000000,-15120676.000000,,-944552.000000,-16065228.000000,3893964.000000,958740.000000,4852704.000000,3893964.000000,7556445.000000,-3662481.000000,3893964.000000,4852704.000000,8664343.000000,-3811639.000000,4852704.000000
