Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,2728.11,0.00,2728.11,713 B,"1,085 B","1,798 B","1,365 B",(253 B)
12M 2011,3.48,1097.80,4.34,882.09,"1,363 B","3,565 B","4,928 B","3,260 B","1,134 B"
12M 2012,2.48,1211.57,2.62,1145.31,"1,664 B","4,851 B","6,516 B","5,467 B",823 B
12M 2013,2.09,1433.05,2.22,1351.02,"1,965 B","5,542 B","7,507 B","6,408 B",(130 B)
12M 2014,3.26,936.24,3.28,929.54,"1,277 B","6,799 B","8,076 B","6,778 B",123 B
12M 2015,3.55,816.32,3.58,810.91,"2,265 B","6,036 B","8,301 B","6,751 B",(678 B)
12M 2016,2.38,853.26,2.38,853.26,"2,009 B","5,147 B","7,155 B","6,057 B","(1,045 B)"
12M 2017,2.60,883.79,2.60,883.79,191 B,"6,815 B","7,006 B","5,100 B","1,719 B"
12M 2018,1.63,1391.68,1.63,1391.68,91 B,"5,146 B","5,237 B","3,151 B","1,484 B"
12M 2019,1.14,1344.82,1.22,1256.93,535 B,"4,890 B","5,425 B","4,008 B",614 B
12M 2020,0.80,947.47,0.88,860.39,898 B,"5,103 B","6,000 B","4,460 B",726 B
12M 2021,0.79,1792.74,0.83,1711.45,510 B,"4,990 B","5,500 B","2,113 B","2,791 B"
12M 2022,1.05,3116.87,1.08,3025.18,"3,393 B","11,244 B","14,637 B","11,182 B","1,399 B"
12M 2023,0.80,4256.38,0.81,4177.48,"4,742 B","11,318 B","16,059 B","13,148 B",(138 B)
12M 2024,0.72,4937.79,0.73,4849.59,"4,384 B","11,342 B","15,726 B","12,974 B",542 B
