Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Pertambangan,Goodwill,Aset Tak Berwujud,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Total Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Sukuk Ijarah,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Total Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Sukuk Ijarah,Liabilitas Pajak Tangguhan,Utang Usaha,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pemegang Saham,Utang Lain Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,433039000000.000000,985238000000.000000,918142000000.000000,67096000000.000000,985238000000.000000,9950000000.000000,9950000000.000000,,9950000000.000000,301356000000.000000,376611000000.000000,2106194000000.000000,,,134465000000.000000,2107655000000.000000,,,,70222000000.000000,,,,471730000000.000000,2784072000000.000000,4890266000000.000000,,,2359085000000.000000,292208000000.000000,,478751000000.000000,791792000000.000000,1270543000000.000000,,37421000000.000000,1102000000.000000,38523000000.000000,33836000000.000000,282130000000.000000,,131813000000.000000,,,95028000000.000000,194173000000.000000,289201000000.000000,,,421014000000.000000,,,20831000000.000000,2359085000000.000000,1404745000000.000000,,715785000000.000000,,74981000000.000000,294204000000.000000,369185000000.000000,,,,1084970000000.000000,,,34166000000.000000,,56435000000.000000,56435000000.000000,35361000000.000000,,,,,193813000000.000000,1404745000000.000000,3763830000000.000000,,412880000000.000000,,109298000000.000000,,,109298000000.000000,52000000.000000,604206000000.000000,1126436000000.000000,4890266000000.000000,412880000.000000
12M 2011,,,1668670000000.000000,1405596000000.000000,1219389000000.000000,186207000000.000000,1405596000000.000000,161938000000.000000,161938000000.000000,,161938000000.000000,415693000000.000000,616714000000.000000,4268611000000.000000,,,156082000000.000000,4007349000000.000000,,593883000000.000000,,145489000000.000000,,,,711766000000.000000,5614569000000.000000,9883180000000.000000,,,3134821000000.000000,493852000000.000000,,615875000000.000000,779531000000.000000,1395406000000.000000,,46670000000.000000,12889000000.000000,59559000000.000000,55086000000.000000,231911000000.000000,,470526000000.000000,,,197280000000.000000,201759000000.000000,399039000000.000000,,,869565000000.000000,,,29442000000.000000,3134821000000.000000,3725353000000.000000,,2831156000000.000000,,561350000000.000000,172429000000.000000,733779000000.000000,,,,3564935000000.000000,,,33766000000.000000,,,,,,,,,126652000000.000000,3725353000000.000000,6860174000000.000000,,1376583000000.000000,1273719000000.000000,525038000000.000000,,,525038000000.000000,580000000.000000,-152914000000.000000,3023006000000.000000,9883180000000.000000,2753165000.000000
12M 2012,,,108453574.000000,194828398.000000,180206547.000000,14621851.000000,194828398.000000,32773331.000000,32732572.000000,40759.000000,32773331.000000,45961860.000000,79726694.000000,461743857.000000,,6741751.000000,18726072.000000,584130566.000000,111723895.000000,,18865040.000000,,,,,61466550.000000,801653874.000000,1263397731.000000,,,376625187.000000,54009905.000000,,94649369.000000,74452094.000000,169101463.000000,,4959093.000000,2536299.000000,7495392.000000,5228690.000000,13909391.000000,,54820669.000000,,,38166377.000000,25123246.000000,63289623.000000,,,118110292.000000,,,8770054.000000,376625187.000000,540712520.000000,,260659019.000000,,98053149.000000,40348236.000000,138401385.000000,,82109055.000000,,481169459.000000,,20527264.000000,26143034.000000,,,,,,,,,12872763.000000,540712520.000000,917337707.000000,,146554908.000000,121491549.000000,81848231.000000,,,81848231.000000,1110776.000000,-4945440.000000,346060024.000000,1263397731.000000,2753165000.000000
12M 2013,,,90067977.000000,174768269.000000,161611965.000000,13156304.000000,174768269.000000,3231199.000000,3218980.000000,12219.000000,3231199.000000,32086506.000000,74777936.000000,374931887.000000,,7379800.000000,23574643.000000,613638430.000000,107061617.000000,,18516110.000000,,20172026.000000,20172026.000000,20172026.000000,47858020.000000,838200646.000000,1213132533.000000,,,385559961.000000,50597065.000000,,67174813.000000,114740299.000000,181915112.000000,,2156114.000000,12186379.000000,14342493.000000,3160522.000000,15837142.000000,,62750616.000000,,,34982925.000000,12723066.000000,47705991.000000,,,110456607.000000,,,9251020.000000,385559961.000000,505545486.000000,,277148763.000000,,61263594.000000,34381429.000000,95645023.000000,,65236772.000000,,438030558.000000,,16309193.000000,28787248.000000,,9182511.000000,9182511.000000,,,,,,13235976.000000,505545486.000000,891105447.000000,,146554908.000000,121491549.000000,83045567.000000,210278.000000,82835289.000000,83045567.000000,-1421988.000000,-27642950.000000,322027086.000000,1213132533.000000,2753165000.000000
12M 2014,,,104305096.000000,139522510.000000,109992041.000000,29530469.000000,139522510.000000,17951061.000000,17934422.000000,16639.000000,17951061.000000,42356318.000000,52544638.000000,356679623.000000,,7769241.000000,25092415.000000,667070520.000000,20616089.000000,,1483435.000000,,11051547.000000,11051547.000000,11051547.000000,42920006.000000,776003253.000000,1132682876.000000,,,346795399.000000,26106109.000000,,61021888.000000,134106087.000000,195127975.000000,,5780942.000000,1206810.000000,6987752.000000,4860675.000000,21460164.000000,,18678746.000000,17560394.000000,,30387118.000000,9882729.000000,40269847.000000,,,76508987.000000,,,15743737.000000,346795399.000000,582029069.000000,,419265039.000000,,30512241.000000,34278545.000000,64790786.000000,,46479472.000000,,530535297.000000,,15999818.000000,20244787.000000,,,,,700000.000000,,,,14549167.000000,582029069.000000,928824468.000000,,146554908.000000,121491549.000000,-31768308.000000,310278.000000,-32078586.000000,-31768308.000000,-3329605.000000,-29090136.000000,203858408.000000,1132682876.000000,2753165000.000000
12M 2015,,,112355914.000000,141289945.000000,122742687.000000,18547258.000000,141289945.000000,8081013.000000,7954534.000000,126479.000000,8081013.000000,19475950.000000,56992996.000000,338195818.000000,,8051518.000000,18831858.000000,737775247.000000,39468438.000000,,1078908.000000,,14603600.000000,14603600.000000,14603600.000000,31802300.000000,851611869.000000,1189807687.000000,,,387310834.000000,48932765.000000,,42253849.000000,129116952.000000,171370801.000000,,3600639.000000,854489.000000,4455128.000000,3305475.000000,32570846.000000,,78623208.000000,,,23962839.000000,12677513.000000,36640352.000000,,,115263560.000000,,,11412259.000000,387310834.000000,628940641.000000,,339259900.000000,,6544328.000000,35296419.000000,41840747.000000,,41977229.000000,,423077876.000000,,14449993.000000,20049517.000000,,,,,158684349.000000,,,,12678906.000000,628940641.000000,1016251475.000000,,146554908.000000,121491549.000000,-68836201.000000,310278.000000,-69146479.000000,-68836201.000000,10637469.000000,-36291513.000000,173556212.000000,1189807687.000000,2753165000.000000
12M 2016,,,81713191.000000,149815935.000000,128042233.000000,21773702.000000,149815935.000000,2580215.000000,2563883.000000,16332.000000,2580215.000000,25647360.000000,37273366.000000,297030067.000000,,8240191.000000,22837558.000000,657600957.000000,33285913.000000,,,,17213123.000000,17213123.000000,17213123.000000,36974310.000000,776152052.000000,1073182119.000000,,,374836252.000000,43008514.000000,,36850595.000000,132015763.000000,168866358.000000,,3321933.000000,122071.000000,3444004.000000,3827577.000000,39185954.000000,,29742990.000000,43170259.000000,,9155726.000000,9562238.000000,18717964.000000,,,91631213.000000,,14860674.000000,10011958.000000,374836252.000000,539131943.000000,,320073412.000000,,3304373.000000,26660152.000000,29964525.000000,,,,350037937.000000,,,21741689.000000,,,,,118117115.000000,30000000.000000,3001960.000000,,16233242.000000,539131943.000000,913968195.000000,,146554908.000000,120981983.000000,-56198017.000000,310278.000000,-56508295.000000,-56198017.000000,-15626437.000000,-36498513.000000,159213924.000000,1073182119.000000,2753165000.000000
12M 2017,,,140690492.000000,139511402.000000,113422797.000000,26088605.000000,139511402.000000,2062215.000000,2056218.000000,5997.000000,2062215.000000,29952897.000000,27262125.000000,339479131.000000,,8172072.000000,23085255.000000,602810653.000000,27204252.000000,,,,3891605.000000,3891605.000000,3891605.000000,38030838.000000,703194675.000000,1042673806.000000,,,212589704.000000,,,53722601.000000,63243354.000000,116965955.000000,,3395862.000000,172941.000000,3568803.000000,12743526.000000,59713238.000000,,203491.000000,114789.000000,,3301451.000000,9162718.000000,12464169.000000,1276074.000000,,14058523.000000,,39241.000000,5500418.000000,212589704.000000,667761077.000000,,59743067.000000,,,18387159.000000,18387159.000000,13954771.000000,381460304.000000,,473545301.000000,,14453622.000000,5712321.000000,,,,,138026362.000000,15000000.000000,,,21023471.000000,667761077.000000,880350781.000000,,146554908.000000,120981983.000000,-50626247.000000,310278.000000,-50936525.000000,-50626247.000000,-17277259.000000,-37310360.000000,162323025.000000,1042673806.000000,2753165000.000000
12M 2018,,,144052684.000000,123599988.000000,106527452.000000,17072536.000000,123599988.000000,3498387.000000,3034349.000000,464038.000000,3498387.000000,30602252.000000,23489179.000000,325242490.000000,,,11347703.000000,401024694.000000,66852770.000000,,,,1704763.000000,1704763.000000,1704763.000000,45777376.000000,526707306.000000,851949796.000000,,,222796309.000000,,,47861573.000000,91008441.000000,138870014.000000,,2552533.000000,7591477.000000,10144010.000000,5688185.000000,56862299.000000,,,,,,6287897.000000,6287897.000000,,,6287897.000000,,,4943904.000000,222796309.000000,381325050.000000,,,,,14155035.000000,14155035.000000,,341188988.000000,,355344023.000000,,,9722681.000000,,,,,,,,,16258346.000000,381325050.000000,604121359.000000,,146554908.000000,115087198.000000,14866335.000000,310278.000000,14556057.000000,14866335.000000,-16762228.000000,-11917776.000000,247828437.000000,851949796.000000,2753165000.000000
12M 2019,,,101923463.000000,107173558.000000,77698053.000000,29475505.000000,107173558.000000,5723013.000000,3241655.000000,2481358.000000,5723013.000000,29733968.000000,16200971.000000,260754973.000000,,,11035769.000000,369711104.000000,60410357.000000,,17406099.000000,,,,,134910463.000000,593473792.000000,854228765.000000,,,216602636.000000,35000000.000000,,54052985.000000,38862815.000000,92915800.000000,,4620967.000000,6891058.000000,11512025.000000,4382206.000000,51919397.000000,,,,,,3518995.000000,3518995.000000,,7221406.000000,10740401.000000,,,10132807.000000,216602636.000000,392432418.000000,,,,,8424081.000000,8424081.000000,,343337404.000000,6204198.000000,357965683.000000,,,11686550.000000,,,,,,,,,22780185.000000,392432418.000000,609035054.000000,,146554908.000000,115087198.000000,15515749.000000,410278.000000,15105471.000000,15515749.000000,-21154266.000000,-10809878.000000,245193711.000000,854228765.000000,2753165000.000000
