Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Utang Bank Jangka Pendek,Pinjaman Jangka Pendek,Pihak Berelasi,Utang Bank Jangka Pendek,Total Pinjaman Jangka Pendek,Utang Pajak,Others,Total Utang Pajak,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,145511000000.000000,325807000000.000000,,,325807000000.000000,161867000000.000000,73067000000.000000,706252000000.000000,,27316000000.000000,1009836000000.000000,38744000000.000000,1075896000000.000000,1782148000000.000000,,,722542000000.000000,101655000000.000000,,,101655000000.000000,,,,,,,,103054000000.000000,103054000000.000000,,517833000000.000000,722542000000.000000,72073000000.000000,59345000000.000000,12728000000.000000,72073000000.000000,794615000000.000000,,21070000000.000000,1802000000.000000,964407000000.000000,10000000.000000,964397000000.000000,964407000000.000000,254000000.000000,987533000000.000000,1782148000000.000000,21070000.000000
12M 2014,,,146364000000.000000,382051000000.000000,381867000000.000000,184000000.000000,382051000000.000000,226717000000.000000,61362000000.000000,816494000000.000000,,28478000000.000000,1315305000000.000000,70774000000.000000,1414557000000.000000,2231051000000.000000,,,1588801000000.000000,218044000000.000000,,,218044000000.000000,,750000000000.000000,,,,,,61705000000.000000,61705000000.000000,3418000000.000000,555634000000.000000,1588801000000.000000,88453000000.000000,69799000000.000000,18654000000.000000,88453000000.000000,1677254000000.000000,,21070000000.000000,1802000000.000000,530738000000.000000,11000000.000000,530727000000.000000,530738000000.000000,187000000.000000,553797000000.000000,2231051000000.000000,2107000000.000000
12M 2015,,,344615000000.000000,209771000000.000000,208236000000.000000,1535000000.000000,209771000000.000000,131360000000.000000,24209000000.000000,709955000000.000000,,37447000000.000000,1266072000000.000000,87379000000.000000,1390898000000.000000,2100853000000.000000,,,1215227000000.000000,,90077000000.000000,11205000000.000000,101282000000.000000,,,,500000000000.000000,,500000000000.000000,,56622000000.000000,56622000000.000000,3711000000.000000,553612000000.000000,1215227000000.000000,119146000000.000000,105620000000.000000,13526000000.000000,119146000000.000000,1334373000000.000000,,21070000000.000000,1802000000.000000,743397000000.000000,12000000.000000,743385000000.000000,743397000000.000000,211000000.000000,766480000000.000000,2100853000000.000000,2107000000.000000
12M 2016,,,403231000000.000000,289580000000.000000,286846000000.000000,2734000000.000000,289580000000.000000,138137000000.000000,70310000000.000000,901258000000.000000,,38947000000.000000,1278015000000.000000,56818000000.000000,1373780000000.000000,2275038000000.000000,,,1326261000000.000000,,114950000000.000000,4674000000.000000,119624000000.000000,,,,400000000000.000000,,400000000000.000000,,130863000000.000000,130863000000.000000,6083000000.000000,669691000000.000000,1326261000000.000000,128137000000.000000,110687000000.000000,17450000000.000000,128137000000.000000,1454398000000.000000,,21070000000.000000,1802000000.000000,797652000000.000000,13000000.000000,797639000000.000000,797652000000.000000,116000000.000000,820640000000.000000,2275038000000.000000,2107000000.000000
12M 2017,,,223054000000.000000,572397000000.000000,560248000000.000000,12149000000.000000,572397000000.000000,171620000000.000000,109774000000.000000,1076845000000.000000,,37222000000.000000,1364086000000.000000,31925000000.000000,1433233000000.000000,2510078000000.000000,,,1304114000000.000000,,171573000000.000000,21710000000.000000,193283000000.000000,,,,300000000000.000000,,300000000000.000000,,129103000000.000000,129103000000.000000,467387000000.000000,214341000000.000000,1304114000000.000000,141059000000.000000,114608000000.000000,26451000000.000000,141059000000.000000,1445173000000.000000,,21070000000.000000,1802000000.000000,1041602000000.000000,14000000.000000,1041588000000.000000,1041602000000.000000,431000000.000000,1064905000000.000000,2510078000000.000000,2107000000.000000
12M 2018,,,307896000000.000000,605643000000.000000,604963000000.000000,680000000.000000,605643000000.000000,172217000000.000000,143205000000.000000,1228961000000.000000,,57756000000.000000,1524061000000.000000,78723000000.000000,1660540000000.000000,2889501000000.000000,,,1578919000000.000000,,141767000000.000000,6619000000.000000,148386000000.000000,,70000000000.000000,,300000000000.000000,,300000000000.000000,,151359000000.000000,151359000000.000000,694132000000.000000,215042000000.000000,1578919000000.000000,143046000000.000000,98048000000.000000,44998000000.000000,143046000000.000000,1721965000000.000000,,21070000000.000000,1802000000.000000,1144283000000.000000,15000000.000000,1144268000000.000000,1144283000000.000000,381000000.000000,1167536000000.000000,2889501000000.000000,2107000000.000000
12M 2019,,,77797000000.000000,860651000000.000000,858299000000.000000,2352000000.000000,860651000000.000000,165633000000.000000,58721000000.000000,1162802000000.000000,,89330000000.000000,1559289000000.000000,85529000000.000000,1734148000000.000000,2896950000000.000000,,,1588693000000.000000,,128702000000.000000,10341000000.000000,139043000000.000000,,50000000000.000000,,300000000000.000000,,300000000000.000000,,140446000000.000000,140446000000.000000,733057000000.000000,226147000000.000000,1588693000000.000000,162250000000.000000,123463000000.000000,38787000000.000000,162250000000.000000,1750943000000.000000,,21070000000.000000,1802000000.000000,1122660000000.000000,16000000.000000,1122644000000.000000,1122660000000.000000,475000000.000000,1146007000000.000000,2896950000000.000000,2107000000.000000
12M 2020,,,633253000000.000000,336773000000.000000,336035000000.000000,738000000.000000,336773000000.000000,171037000000.000000,48198000000.000000,1189261000000.000000,,93039000000.000000,1479447000000.000000,145678000000.000000,1718164000000.000000,2907425000000.000000,,,1338441000000.000000,,172781000000.000000,1470000000.000000,174251000000.000000,,,,300000000000.000000,,300000000000.000000,,60308000000.000000,60308000000.000000,320000000.000000,803562000000.000000,1338441000000.000000,135578000000.000000,96961000000.000000,38617000000.000000,135578000000.000000,1474019000000.000000,,21070000000.000000,1802000000.000000,1410108000000.000000,26000000.000000,1410082000000.000000,1410108000000.000000,426000000.000000,1433406000000.000000,2907425000000.000000,2107000000.000000
12M 2021,,,638197000000.000000,329199000000.000000,327812000000.000000,1387000000.000000,329199000000.000000,208324000000.000000,65392000000.000000,1241112000000.000000,,97462000000.000000,1406550000000.000000,176893000000.000000,1680905000000.000000,2922017000000.000000,,,1682700000000.000000,,192638000000.000000,,192638000000.000000,,100000000000.000000,,300000000000.000000,,300000000000.000000,,124748000000.000000,124748000000.000000,349000000.000000,964965000000.000000,1682700000000.000000,140160000000.000000,95648000000.000000,44512000000.000000,140160000000.000000,1822860000000.000000,,21070000000.000000,1802000000.000000,1075779000000.000000,36000000.000000,1075743000000.000000,1075779000000.000000,506000000.000000,1099157000000.000000,2922017000000.000000,2107000000.000000
12M 2022,,,842329000000.000000,446937000000.000000,445676000000.000000,1261000000.000000,446937000000.000000,267023000000.000000,92968000000.000000,1649257000000.000000,,140780000000.000000,1468317000000.000000,116148000000.000000,1725245000000.000000,3374502000000.000000,,,2154777000000.000000,,266951000000.000000,2114000000.000000,269065000000.000000,,100000000000.000000,,300000000000.000000,,300000000000.000000,,200434000000.000000,200434000000.000000,20000000.000000,1285258000000.000000,2154777000000.000000,146450000000.000000,100070000000.000000,46380000000.000000,146450000000.000000,2301227000000.000000,,21070000000.000000,1802000000.000000,1049785000000.000000,46000000.000000,1049739000000.000000,1049785000000.000000,618000000.000000,1073275000000.000000,3374502000000.000000,2107000000.000000
