Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Klaim Pengembalian Pajak,Pembayaran Pajak Penghasilan Badan,Pembayaran Penerimaan Kas Lain-Lain,Pembayaran Penalti Cukai,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Set Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Bank,Pembayaran Pinjaman Bank,Penerimaan Utang Berelasi Jangka Pendek,Pembayaran Utang Berelasi Jangka Pendek,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas,Arus Kas Neto Atas Pendirian Entitas Anak,Bisnis Transfer,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,1181049000000.000000,3406595000000.000000,-1902947000000.000000,12582000000.000000,-7006000000.000000,,-345562000000.000000,17387000000.000000,,1181049000000.000000,-479139000000.000000,-487419000000.000000,8280000000.000000,-479139000000.000000,-655528000000.000000,,-150000000000.000000,,,,-505528000000.000000,,,-655528000000.000000,46382000000.000000,99129000000.000000,,145511000000.000000
12M 2014,913005000000.000000,2930391000000.000000,-1649005000000.000000,12042000000.000000,-29449000000.000000,,-339888000000.000000,-11086000000.000000,,913005000000.000000,-442670000000.000000,-444357000000.000000,1687000000.000000,-442670000000.000000,-469895000000.000000,1300000000000.000000,-550000000000.000000,,,,-1219895000000.000000,,,-469895000000.000000,440000000.000000,145511000000.000000,,145951000000.000000
12M 2015,919232000000.000000,2832423000000.000000,-1465336000000.000000,9619000000.000000,-57409000000.000000,,-182909000000.000000,3459000000.000000,-220615000000.000000,919232000000.000000,-180547000000.000000,-181257000000.000000,710000000.000000,-180547000000.000000,-539971000000.000000,,-750000000000.000000,500000000000.000000,,,-289971000000.000000,,,-539971000000.000000,198714000000.000000,145951000000.000000,-50000000.000000,344615000000.000000
12M 2016,1248469000000.000000,3181795000000.000000,-1682179000000.000000,21997000000.000000,-48073000000.000000,25079000000.000000,-252522000000.000000,2372000000.000000,,1248469000000.000000,-167102000000.000000,-169930000000.000000,2828000000.000000,-167102000000.000000,-1022813000000.000000,,,150000000000.000000,-250000000000.000000,,-922813000000.000000,,,-1022813000000.000000,58554000000.000000,344615000000.000000,62000000.000000,403231000000.000000
12M 2017,1331611000000.000000,3106199000000.000000,-1554605000000.000000,19504000000.000000,-29848000000.000000,37544000000.000000,-467798000000.000000,,220615000000.000000,1331611000000.000000,-338349000000.000000,-339723000000.000000,1374000000.000000,-338349000000.000000,-1173439000000.000000,,,,-100000000000.000000,,-1073589000000.000000,150000000.000000,,-1173439000000.000000,-180177000000.000000,403231000000.000000,,223054000000.000000
12M 2018,1412515000000.000000,3599116000000.000000,-1692831000000.000000,41305000000.000000,-34695000000.000000,,-500380000000.000000,,,1412515000000.000000,-275917000000.000000,-275980000000.000000,63000000.000000,-275917000000.000000,-1051756000000.000000,,,2921304000000.000000,-2851304000000.000000,,-1121756000000.000000,,,-1051756000000.000000,84842000000.000000,223054000000.000000,,307896000000.000000
12M 2019,1334524000000.000000,3465660000000.000000,-1663678000000.000000,26594000000.000000,-44558000000.000000,7424000000.000000,-456918000000.000000,,,1334524000000.000000,-320300000000.000000,-322284000000.000000,1984000000.000000,-320300000000.000000,-1244323000000.000000,,,1930000000000.000000,-1950000000000.000000,,-1224323000000.000000,,,-1244323000000.000000,-230099000000.000000,307896000000.000000,,77797000000.000000
12M 2020,872649000000.000000,2455900000000.000000,-1300113000000.000000,27272000000.000000,-63736000000.000000,,-246674000000.000000,,,872649000000.000000,-252694000000.000000,-255406000000.000000,2712000000.000000,-252694000000.000000,-64499000000.000000,,,1500000000000.000000,-1550000000000.000000,-13999000000.000000,-500000000.000000,,,-64499000000.000000,555456000000.000000,77797000000.000000,,633253000000.000000
12M 2021,1168005000000.000000,2437862000000.000000,-1084469000000.000000,12864000000.000000,-26086000000.000000,2488000000.000000,-174654000000.000000,,,1168005000000.000000,-252315000000.000000,-252366000000.000000,51000000.000000,-252315000000.000000,-910746000000.000000,,,1150000000000.000000,-1050000000000.000000,-13624000000.000000,-997122000000.000000,,,-910746000000.000000,4944000000.000000,633253000000.000000,,638197000000.000000
12M 2022,1490060000000.000000,3023818000000.000000,-1251912000000.000000,11062000000.000000,-18737000000.000000,49351000000.000000,-323522000000.000000,,,1490060000000.000000,-318730000000.000000,-318737000000.000000,7000000.000000,-318730000000.000000,-967198000000.000000,,,750000000000.000000,-750000000000.000000,-19755000000.000000,-947443000000.000000,,,-967198000000.000000,204132000000.000000,638197000000.000000,,842329000000.000000
12M 2023,1018862000000.000000,3169576000000.000000,-1743065000000.000000,15963000000.000000,-30155000000.000000,38932000000.000000,-432389000000.000000,,,1018862000000.000000,-251545000000.000000,-251884000000.000000,339000000.000000,-251545000000.000000,-811646000000.000000,,-250000000000.000000,500000000000.000000,-300000000000.000000,-16318000000.000000,-745328000000.000000,,,-811646000000.000000,-44329000000.000000,842329000000.000000,,798000000000.000000
12M 2024,1861583000000.000000,3536546000000.000000,-1425385000000.000000,36739000000.000000,-28635000000.000000,72924000000.000000,-330606000000.000000,,,1861583000000.000000,-220900000000.000000,-221029000000.000000,129000000.000000,-220900000000.000000,-1382756000000.000000,,-1000000000000.000000,850000000000.000000,,-20502000000.000000,-1229961000000.000000,,17707000000.000000,-1382756000000.000000,257927000000.000000,798000000000.000000,,1055927000000.000000
