Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Lainnya,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Kenaikan Aset Lain-Lain,Penurunan Piutang Lain-Lain,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Entitas Non Pengendali,Penerimaan Utang Bank Jangka Panjang,Pembayaran Pinjaman Pihak Ketiga,Pembayaran Utang Pembiayaan,Pembayaran Utang Jangka Panjang,Penerimaan Setoran Modal Melalui Penawaran Umum Perdana Dikurangi Biaya Emisi Saham,Penurunan Utang Kepada Pihak Berelasi,Penerimaan Atas Penambahan Pinjaman Kepada Pihak Ketiga-Neto,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,"Dampak Penyesuaian Proforma Dari Transaksi Kombinasi Bisnis, Entitas Sepengendali",Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,76706454477.000000,277534011373.000000,-87580946037.000000,-46870443377.000000,-16307211897.000000,-49627259375.000000,-441696210.000000,76706454477.000000,-69468310543.000000,86980500.000000,-1328541163.000000,-67093681415.000000,,-1133068465.000000,,-69468310543.000000,-27662605368.000000,,,,-14478112592.000000,,,-13184492776.000000,,-27662605368.000000,-20424461434.000000,23868798934.000000,,-12604760.000000,3431732740.000000
12M 2018,31296474094.000000,292941413224.000000,-145048472368.000000,-44277877186.000000,-28296011067.000000,-42882966107.000000,-1139612402.000000,31296474094.000000,-17611316804.000000,,,-17391965312.000000,,-219351492.000000,,-17611316804.000000,-3658696107.000000,,,-14536000000.000000,-21398695055.000000,,33317687121.000000,-1041688173.000000,,-3658696107.000000,10026461183.000000,3431732740.000000,,17543016.000000,13475736939.000000
12M 2019,98241517377.000000,302005592883.000000,-104749513675.000000,-46913348840.000000,-24322750971.000000,-26383374911.000000,-1395087109.000000,98241517377.000000,-28040065170.000000,,,-50704368297.000000,,1131351492.000000,21532951635.000000,-28040065170.000000,229488981224.000000,,10334920036.000000,-53962375642.000000,-24646738125.000000,-1328291119.000000,,-4101226.000000,299095567300.000000,229488981224.000000,299690433431.000000,13475736939.000000,,-2986728.000000,313163183642.000000
12M 2020,4771274342.000000,327784096119.000000,-172546347774.000000,-56761072711.000000,-28436812777.000000,-63218957086.000000,-2049631429.000000,4771274342.000000,-42895487952.000000,,,-43217831568.000000,,234343616.000000,88000000.000000,-42895487952.000000,-90880589619.000000,506048299086.000000,,-610549300188.000000,-25689250365.000000,-2078452836.000000,,41388114684.000000,,-90880589619.000000,176995196771.000000,313207269273.000000,,1098588.000000,490203564632.000000
12M 2021,-25664955380.000000,339829493601.000000,-227399111543.000000,-58683547284.000000,-29940336737.000000,-47180928961.000000,-2290524456.000000,-25664955380.000000,-65040696104.000000,,,-65070999489.000000,,30303385.000000,,-65040696104.000000,-16715070244.000000,,,,-14636617408.000000,-2078452836.000000,,,,-16715070244.000000,-107420721728.000000,490203564632.000000,,830873.000000,382783673777.000000
12M 2022,-34861888005.000000,364321340535.000000,-255878211399.000000,-69835722333.000000,-34180077449.000000,-38477239049.000000,-811978310.000000,-34861888005.000000,-97906075917.000000,,,-97906075917.000000,,,,-97906075917.000000,-18171660318.000000,,,,-16093207482.000000,-2078452836.000000,,,,-18171660318.000000,-150939624240.000000,382783673777.000000,,7059565.000000,231851109102.000000
12M 2023,-71350778201.000000,317983971410.000000,-245110492453.000000,-66976713842.000000,-36229504810.000000,-41018038506.000000,,-71350778201.000000,-282268527398.000000,,-155780311951.000000,-126704931664.000000,,,216716217.000000,-282268527398.000000,143417776048.000000,,,,-11831134733.000000,-2078452836.000000,152191561668.000000,,5135801949.000000,143417776048.000000,-210201529551.000000,231851109102.000000,,-2118347.000000,21647461204.000000
12M 2024,-43238427513.000000,381839261900.000000,-291673340516.000000,-66827465601.000000,-35815730692.000000,-30761152604.000000,,-43238427513.000000,-304309272252.000000,,-129842943253.000000,-174923183954.000000,,,456854955.000000,-304309272252.000000,326642866459.000000,,338757417682.000000,,-11421733650.000000,-692817573.000000,,,,326642866459.000000,-20904833306.000000,21647461204.000000,,6374779.000000,749002677.000000
