Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,287606884601.000000,-139572177800.000000,148034706801.000000,-114926247569.000000,,-114043484640.000000,-882762929.000000,-114926247569.000000,33108459232.000000,-53088840971.000000,-53088840971.000000,-53088840971.000000,-19980381739.000000,2637248256.000000,-17343133483.000000,,,-17343133483.000000,-9779250.000000,-17352912733.000000,-17343133483.000000,-17329772818.000000,-13360665.000000,-17343133483.000000,-17352912733.000000,-17339471516.000000,-13441217.000000,-17352912733.000000
12M 2018,295852522716.000000,-168550991664.000000,127301531052.000000,-98147558436.000000,,-74678011689.000000,-23469546747.000000,-98147558436.000000,29153972616.000000,-65188702943.000000,-65188702943.000000,-65188702943.000000,-36034730327.000000,7760429736.000000,-28274300591.000000,,,-28274300591.000000,-55631250.000000,-28329931841.000000,-28274300591.000000,-28249800015.000000,-24500576.000000,-28274300591.000000,-28329931841.000000,-28305511736.000000,-24420105.000000,-28329931841.000000
12M 2019,291628419044.000000,-162561190831.000000,129067228213.000000,-60117234128.000000,,-74652828351.000000,14535594223.000000,-60117234128.000000,68949994085.000000,-53931375660.000000,-53931375660.000000,-53931375660.000000,15018618425.000000,-6401088357.000000,8617530068.000000,,,8617530068.000000,-392698500.000000,8224831568.000000,8617530068.000000,8613454886.000000,4075182.000000,8617530068.000000,8224831568.000000,8221026976.000000,3804592.000000,8224831568.000000
12M 2020,335556251700.000000,-219811513461.000000,115744738239.000000,-73981889432.000000,,-81649924313.000000,7668034881.000000,-73981889432.000000,41762848807.000000,-75514860151.000000,-75514860151.000000,-75514860151.000000,-33752011344.000000,8056856677.000000,-25695154667.000000,,,-22516517833.000000,349075740.000000,-22167442093.000000,-22516517833.000000,-19566279044.000000,-2950238789.000000,-22516517833.000000,-22167442093.000000,-19281988990.000000,-2885453103.000000,-22167442093.000000
12M 2021,339306403375.000000,-276063388582.000000,63243014793.000000,-96453717469.000000,,-97310681053.000000,856963584.000000,-96453717469.000000,-33210702676.000000,-42839592803.000000,-42839592803.000000,-42839592803.000000,-76050295479.000000,5541550451.000000,-70508745028.000000,,,-70508745028.000000,982347600.000000,-69526397428.000000,-70508745028.000000,-56671382870.000000,-13837362158.000000,-70508745028.000000,-69526397428.000000,-55809790720.000000,-13716606708.000000,-69526397428.000000
12M 2022,374131420451.000000,-316068184238.000000,58063236213.000000,-114960634305.000000,,-114615849014.000000,-344785291.000000,-114960634305.000000,-56897398092.000000,-42602302688.000000,-42602302688.000000,-42602302688.000000,-99499700780.000000,17885622844.000000,-81614077936.000000,,,-81614077936.000000,-140462400.000000,-81754540336.000000,-81614077936.000000,-66827851096.000000,-14786226840.000000,-81614077936.000000,-81754540336.000000,-66980142672.000000,-14774397664.000000,-81754540336.000000
12M 2023,304556595795.000000,-311759874110.000000,-7203278315.000000,-118203319927.000000,,-119843361741.000000,1640041814.000000,-118203319927.000000,-125406598242.000000,-46222319613.000000,-46222319613.000000,-46222319613.000000,-171628917855.000000,29287762476.000000,-142341155379.000000,,,-142341155379.000000,587206620.000000,-141753948759.000000,-142341155379.000000,-117306657087.000000,-25034498292.000000,-142341155379.000000,-141753948759.000000,-116812239125.000000,-24941709634.000000,-141753948759.000000
12M 2024,372754928587.000000,-356659313342.000000,16095615245.000000,-117589718021.000000,,-119698554755.000000,2108836734.000000,-117589718021.000000,-101494102776.000000,-46346896167.000000,-46346896167.000000,-46346896167.000000,-147840998943.000000,-23652952789.000000,-171493951732.000000,,,-171493951732.000000,6489600.000000,-171487462132.000000,-171493951732.000000,-135062781726.000000,-36431170006.000000,-171493951732.000000,-171487462132.000000,-135029333974.000000,-36458128158.000000,-171487462132.000000
