Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Pemasaran,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,104333358722.000000,-85090577500.000000,19242781222.000000,-11240422315.000000,-2892292214.000000,-8348130101.000000,-11240422315.000000,8002358907.000000,-2417621651.000000,7117615098.000000,-9442666525.000000,,-92570224.000000,-2417621651.000000,5584737256.000000,-3473444030.000000,,,-3473444030.000000,2111293226.000000,-64003150.000000,2047290076.000000,2111293226.000000,2111293226.000000,,2111293226.000000,2047290076.000000,2047290076.000000,,2047290076.000000
12M 2019,105943362738.000000,-85459514274.000000,20483848464.000000,-13140335422.000000,-2408744122.000000,-10731591300.000000,-13140335422.000000,7343513042.000000,-4271668948.000000,9414016396.000000,-7387709648.000000,,-6297975696.000000,-4271668948.000000,3071844094.000000,-847408122.000000,,,-847408122.000000,2224435972.000000,113486875.000000,2337922847.000000,2224435972.000000,2224435972.000000,,2224435972.000000,2337922847.000000,2337922847.000000,,2337922847.000000
12M 2020,82949660203.000000,-79793229216.000000,3156430987.000000,-16982061716.000000,-3656784339.000000,-13325277377.000000,-16982061716.000000,-13825630729.000000,-23767458478.000000,9579051066.000000,-2598660517.000000,,-30747849027.000000,-23767458478.000000,-37593089207.000000,6993467313.000000,,,6993467313.000000,-30599621894.000000,-20062877.000000,-30619684771.000000,-30599621894.000000,-30599621894.000000,,-30599621894.000000,-30619684771.000000,-30619684771.000000,,-30619684771.000000
12M 2021,72426729694.000000,-61630494611.000000,10796235083.000000,-15799165476.000000,-4940594864.000000,-10858570612.000000,-15799165476.000000,-5002930393.000000,7975096799.000000,9516824394.000000,-1606447270.000000,,64719675.000000,7975096799.000000,2972166406.000000,469873052.000000,-174246519.000000,644119571.000000,469873052.000000,3442039458.000000,-9961650.000000,3432077808.000000,3442039458.000000,3442039458.000000,,3442039458.000000,3432077808.000000,3432077808.000000,,3432077808.000000
12M 2022,213082547296.000000,-186882537149.000000,26200010147.000000,-22199001872.000000,-7066617351.000000,-15132384521.000000,-22199001872.000000,4001008275.000000,2948942001.000000,8616869871.000000,-1233491952.000000,,-4434435918.000000,2948942001.000000,6949950276.000000,-839886288.000000,,-839886288.000000,-839886288.000000,6110063988.000000,-8915752.000000,6101148236.000000,6110063988.000000,6110063988.000000,,6110063988.000000,6101148236.000000,6101148236.000000,,6101148236.000000
12M 2023,183089195342.000000,-151819568165.000000,31269627177.000000,-22253995668.000000,-9022909411.000000,-13231086257.000000,-22253995668.000000,9015631509.000000,5291281935.000000,6400826820.000000,-729932790.000000,,-379612095.000000,5291281935.000000,14306913444.000000,-4146916375.000000,,-4146916375.000000,-4146916375.000000,10159997069.000000,-9566626.000000,10150430443.000000,10159997069.000000,10159997069.000000,,10159997069.000000,10150430443.000000,10150430443.000000,,10150430443.000000
12M 2024,119046924411.000000,-98174553840.000000,20872370571.000000,-19493876432.000000,-5272667204.000000,-14221209228.000000,-19493876432.000000,1378494139.000000,937590913.000000,5082984570.000000,-8412525715.000000,,4267132058.000000,937590913.000000,2316085052.000000,605230238.000000,,605230238.000000,605230238.000000,2921315290.000000,34720386.000000,2956035676.000000,2921315290.000000,2921315290.000000,,2921315290.000000,2956035677.000000,2956035677.000000,,2956035677.000000
