Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,220108283.000000,-193866006.000000,26242277.000000,,26242277.000000,-15838847.000000,-12090.000000,,,,,-14501158.000000,,-1325599.000000,-15838847.000000,10403430.000000,170609.000000,-4351.000000,174960.000000,170609.000000,10574039.000000,7225.000000,10581264.000000,,,,,10581264.000000,10574039.000000,7225.000000,10581264.000000,,,,
12M 2009,201466055.000000,-196724324.000000,4741731.000000,,4741731.000000,-10638870.000000,1795679.000000,,,131577.000000,,-11112428.000000,,-1453698.000000,-10638870.000000,-5897139.000000,4864101.000000,-1010590.000000,5874691.000000,4864101.000000,-1033038.000000,-814433.000000,-1847471.000000,,,,,-1847471.000000,-1033038.000000,-814433.000000,-1847471.000000,,,,
12M 2010,230086146.000000,-224810019.000000,5276127.000000,,5276127.000000,-7564590.000000,1557907.000000,,,,,-7677081.000000,,-1445416.000000,-7564590.000000,-2288463.000000,2755804.000000,-452056.000000,3207860.000000,2755804.000000,467341.000000,120787.000000,588128.000000,,,,,588128.000000,467341.000000,120787.000000,588128.000000,,,,
12M 2011,283366897.000000,-290625373.000000,-7258476.000000,,-7258476.000000,-9379138.000000,-4908689.000000,1433147.000000,-907800.000000,,,-3017062.000000,,-1978734.000000,-9379138.000000,-16637614.000000,-7421521.000000,-103438.000000,-7318083.000000,-7421521.000000,-24059135.000000,,-24059135.000000,13392.000000,13392.000000,13392.000000,-24045743.000000,-24059135.000000,-24012349.000000,-46786.000000,-24059135.000000,-24045743.000000,-23994845.000000,-50898.000000,-24045743.000000
12M 2012,334997337.000000,-354629223.000000,-19631886.000000,,-19631886.000000,-33815838.000000,1487507.000000,841194.000000,,-177721.000000,-4696262.000000,-3100148.000000,,-28170408.000000,-33815838.000000,-53447724.000000,12023173.000000,,12023173.000000,12023173.000000,-41424551.000000,,-41424551.000000,1226715.000000,1226715.000000,1226715.000000,-40197836.000000,-41424551.000000,-41028454.000000,-396097.000000,-41424551.000000,-40197836.000000,-39881717.000000,-316119.000000,-40197836.000000
12M 2013,222028647.000000,-232668420.000000,-10639773.000000,-12537194.000000,-23176967.000000,-39157669.000000,545952.000000,47809.000000,2640830.000000,-3482863.000000,,-3725384.000000,-1667098.000000,-33516915.000000,-39157669.000000,-62334636.000000,10590452.000000,,10590452.000000,10590452.000000,-51744184.000000,,-51744184.000000,1096864.000000,1096864.000000,1096864.000000,-50647320.000000,-51744184.000000,-51689270.000000,-54914.000000,-51744184.000000,-50647320.000000,-50664031.000000,16711.000000,-50647320.000000
12M 2014,234664122.000000,-220959170.000000,13704952.000000,-12541196.000000,1163756.000000,5168034.000000,465349.000000,33735.000000,,-89579.000000,,-2422663.000000,-9068.000000,7190260.000000,5168034.000000,6331790.000000,-6033189.000000,,,-6033189.000000,298601.000000,,298601.000000,,,,298601.000000,298601.000000,356705.000000,-58104.000000,298601.000000,298601.000000,356705.000000,-58104.000000,298601.000000
12M 2015,240123973.000000,-216222174.000000,23901799.000000,-10816397.000000,13085402.000000,-7652442.000000,46821.000000,48792.000000,,133634.000000,,-2556932.000000,-926.000000,-5323831.000000,-7652442.000000,5432960.000000,-4967206.000000,,,-4967206.000000,465754.000000,,465754.000000,861970.000000,861970.000000,861970.000000,1112231.000000,465754.000000,476155.000000,-10401.000000,465754.000000,1112231.000000,1122632.000000,-10401.000000,1112231.000000
12M 2016,259095490.000000,-243230891.000000,15864599.000000,-10856121.000000,5008478.000000,-2243603.000000,3671202.000000,61220.000000,,32217.000000,,-5604676.000000,-887.000000,-402679.000000,-2243603.000000,2764875.000000,-2214985.000000,,,-2214985.000000,549890.000000,,549890.000000,-235524.000000,-235524.000000,-235524.000000,373247.000000,549890.000000,524417.000000,25473.000000,549890.000000,373247.000000,347774.000000,25473.000000,373247.000000
12M 2017,242790874.000000,-208407119.000000,34383755.000000,-11290582.000000,23093173.000000,-12265470.000000,818300.000000,74525.000000,,-471192.000000,,-5911000.000000,-815.000000,-6775288.000000,-12265470.000000,10827703.000000,-8058563.000000,,,-8058563.000000,2769140.000000,,2769140.000000,-461703.000000,-461703.000000,-461703.000000,2422863.000000,2769140.000000,2760408.000000,8732.000000,2769140.000000,2422863.000000,2414131.000000,8732.000000,2422863.000000
12M 2018,276097099.000000,-252285530.000000,23811569.000000,-13839998.000000,9971571.000000,-3159189.000000,4607378.000000,99110.000000,,,,-4449378.000000,,-3416299.000000,-3159189.000000,6812382.000000,-4247046.000000,,,-4247046.000000,2565336.000000,,2565336.000000,915021.000000,915021.000000,915021.000000,3251602.000000,2565336.000000,2555651.000000,9685.000000,2565336.000000,3251602.000000,3241917.000000,9685.000000,3251602.000000
12M 2019,344647459.000000,-323927730.000000,20719729.000000,-9964237.000000,10755492.000000,-6747905.000000,-1200307.000000,4561541.000000,,,,-7159436.000000,,-2949703.000000,-6747905.000000,4007587.000000,-233608.000000,,,-233608.000000,3773979.000000,,3773979.000000,-420109.000000,-420109.000000,-420109.000000,3458898.000000,3773979.000000,3765074.000000,8905.000000,3773979.000000,3458898.000000,3449993.000000,8905.000000,3458898.000000
12M 2020,303195141.000000,-295730995.000000,7464146.000000,-9541705.000000,-2077559.000000,2307840.000000,13262251.000000,527082.000000,,,,-10265188.000000,-1082.000000,-1215223.000000,2307840.000000,230281.000000,1417611.000000,,,1417611.000000,1647892.000000,,1647892.000000,874636.000000,874636.000000,874636.000000,2332460.000000,1647892.000000,1639985.000000,7907.000000,1647892.000000,2332460.000000,2324553.000000,7907.000000,2332460.000000
12M 2021,322738740.000000,-287919240.000000,34819500.000000,-10327367.000000,24492133.000000,-14868832.000000,-2012927.000000,185840.000000,,,,-10743197.000000,55.000000,-2298603.000000,-14868832.000000,9623301.000000,-8531049.000000,,,-8531049.000000,1092252.000000,,1092252.000000,470762.000000,470762.000000,470762.000000,1471858.000000,1092252.000000,1086646.000000,5606.000000,1092252.000000,1471858.000000,1466252.000000,5606.000000,1471858.000000
12M 2022,406824600.000000,-406266386.000000,558214.000000,-13304674.000000,-12746460.000000,-4005694.000000,11293273.000000,322035.000000,,49612.000000,,-13239801.000000,81768.000000,-2512581.000000,-4005694.000000,-16752154.000000,27508.000000,,,27508.000000,-16724646.000000,,-16724646.000000,-91139.000000,-91139.000000,-91139.000000,-16804154.000000,-16724646.000000,-16726704.000000,2058.000000,-16724646.000000,-16804154.000000,-16806626.000000,2472.000000,-16804154.000000
