Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Restitusi Pajak,Penerimaan Penghasilan Bunga,Pembayaran Kepada Karyawan,Pembayaran Bunga,Pembayaran Pajak,Pembayaran Biaya Perolehan Pinjaman,"Pembayaran Kepada Pemasok, Subkontraktor Dan Aktivitas Operasional Lainnya",Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Kenaikan (Penurunan) Rekening Bank Yang Dibatasi Penggunaannya,Kenaikan (Penurunan) Kas Yang Dibatasi Penggunaannya,Penambahan Aset Tidak Lancar Lainnya,Investasi Pada Perusahaan Asosiasi,Biaya Pengembangan Tangguhan,Investasi Pada Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Bank,Penambahan Utang Bank,Pembayaran Utang Aset Hak Guna,Pembayaran Liabilitas Sewa,Penerimaan Utang Sewa Pembiayaan,Kenaikan (Penurunan) Utang Kepada Pihak Berelasi,Penerimaan Dari Transaksi Pihak Berelasi,Pembayaran Dari Transaksi Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain - Lain,Penerimaan Utang Lain,Pembayaran Utang Lain,Total Penerimaan (Pembayaran) Utang Lain - Lain,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penerimaan Dari Utang Bank,Penambahan Modal Dari Penerbitan Saham,Penerimaan Dari Pihak Berelasi,Penambahan Modal Dari Pelaksanaan Waran,Pembayaran Utang Lembaga Keuangan Lainnya,Pembayaran Wesel Bayar,Perolehan Wesel Bayar,Pembayaran Biasa Emisi Efek,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,103214708.000000,222840674.000000,21815991.000000,2269594.000000,-17442062.000000,-19137422.000000,-5199800.000000,-1320201.000000,-100612066.000000,,103214708.000000,-86499880.000000,,-69087157.000000,,2578120.000000,,-8970843.000000,-11020000.000000,,,,-86499880.000000,-62694887.000000,-97830000.000000,,,,,,,1895000.000000,,,,,,,-398437.000000,14000000.000000,,,14262255.000000,,-32388270.000000,37764565.000000,,-62694887.000000,-45980059.000000,-12091.000000,88325880.000000,42333730.000000
12M 2009,48493493.000000,201420715.000000,7014584.000000,138929.000000,-19103145.000000,-10940979.000000,-1991556.000000,,-128045055.000000,,48493493.000000,-1386382.000000,509200.000000,-7862574.000000,,11222168.000000,,-5255176.000000,,,,,-1386382.000000,-65118944.000000,-60835000.000000,,,,,,,663995.000000,,,,,,,428356.000000,,,,,,-5376295.000000,,,-65118944.000000,-18011833.000000,-365980.000000,42333730.000000,23955917.000000
12M 2010,25266683.000000,211265420.000000,1672163.000000,194569.000000,-23186813.000000,-8599837.000000,-2496314.000000,,-153582505.000000,,25266683.000000,-19989272.000000,,-7577333.000000,,-12411939.000000,,,,,,,-19989272.000000,-596873.000000,,-26002.000000,-52034813.000000,,,,,9797959.000000,,,,,,,-12891.000000,,63528874.000000,,,-21850000.000000,,,,-596873.000000,4680538.000000,1242409.000000,23955917.000000,29878864.000000
12M 2011,125039937.000000,282625895.000000,8097091.000000,1433147.000000,-26869165.000000,-4396687.000000,-2462754.000000,,-133387590.000000,,125039937.000000,-43118244.000000,,-54141722.000000,,11023478.000000,,,,,,,-43118244.000000,-71154466.000000,,-1770472.000000,-67965187.000000,,,,,-1440774.000000,,,,,,,21967.000000,,,,,,,,,-71154466.000000,10767227.000000,-4891185.000000,29878864.000000,35754906.000000
12M 2012,28948728.000000,315790931.000000,10049206.000000,841194.000000,-32754351.000000,-2446883.000000,-5427601.000000,,-257103768.000000,,28948728.000000,-37392352.000000,4494775.000000,-42538405.000000,,,651278.000000,,,,,,-37392352.000000,-3708837.000000,,-10811414.000000,-1483312.000000,,,,,-8229810.000000,,,,,,,-33816.000000,16849515.000000,,,,,,,,-3708837.000000,-12152461.000000,7246.000000,35754906.000000,23609691.000000
12M 2013,9123863.000000,232452666.000000,11013245.000000,47809.000000,-37857873.000000,-3725384.000000,-15984232.000000,,-176822368.000000,,9123863.000000,-12514337.000000,2498304.000000,-15763397.000000,,,750756.000000,,,,,,-12514337.000000,-9784937.000000,,-7367226.000000,-4897806.000000,,,,,2420651.000000,,,,,,,59444.000000,,,,,,,,,-9784937.000000,-13175411.000000,10144.000000,23609691.000000,10444424.000000
12M 2014,20964921.000000,226199682.000000,31158281.000000,33735.000000,-24496711.000000,-1581293.000000,-4836365.000000,,-205512408.000000,,20964921.000000,-5800453.000000,188123.000000,-5988576.000000,,,,,,,,,-5800453.000000,-12448757.000000,,-2393897.000000,-2615516.000000,,,,,-5863927.000000,,,,,,,-1575417.000000,,,,,,,,,-12448757.000000,2715711.000000,436409.000000,10444422.000000,13596542.000000
12M 2015,27201938.000000,232802197.000000,17070149.000000,48792.000000,-21679863.000000,-1851688.000000,-6403011.000000,,-192784638.000000,,27201938.000000,-16290246.000000,750049.000000,-15699193.000000,,,,,,,-1341102.000000,,-16290246.000000,-8193096.000000,,-4550438.000000,-2980987.000000,,,,,-661671.000000,,,,,,,,,,,,,,,,-8193096.000000,2718596.000000,46821.000000,13596544.000000,16361961.000000
12M 2016,45417820.000000,267959524.000000,27279177.000000,61220.000000,-20527857.000000,-5013729.000000,-4399634.000000,,-219940881.000000,,45417820.000000,-41232620.000000,86705.000000,-41319325.000000,,,,,,,,,-41232620.000000,-2506997.000000,,-11729603.000000,-5019883.000000,14000152.000000,,,,,,,,,,,,,,242337.000000,,,,,,-2506997.000000,1678203.000000,3671202.000000,16361961.000000,21711366.000000
12M 2017,-963029.000000,255007398.000000,18825907.000000,74525.000000,-29975433.000000,-4964237.000000,-1695145.000000,,-238236044.000000,,-963029.000000,-6517828.000000,544894.000000,-7062722.000000,,,,,,,,,-6517828.000000,-4376476.000000,,-20235817.000000,-6473274.000000,1107174.000000,,,,,,,12968968.000000,,,12968968.000000,,,,8256473.000000,,,,,,-4376476.000000,-11857333.000000,818300.000000,21711366.000000,10672333.000000
