Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Wesel Bayar,Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,42333730.000000,17862016.000000,3352536.000000,14509480.000000,17862016.000000,,44341782.000000,66485382.000000,171022910.000000,,502965.000000,437476.000000,11566240.000000,,196067834.000000,157897234.000000,366471749.000000,537494659.000000,,,165459018.000000,5376295.000000,30701282.000000,1337599.000000,7716168.000000,,24000000.000000,,96307500.000000,,20174.000000,,96327674.000000,,165459018.000000,94094259.000000,2671708.000000,6844073.000000,,,82362058.000000,28658.000000,,82390716.000000,2187762.000000,94094259.000000,259553277.000000,,174744781.000000,81673830.000000,21145917.000000,,21145917.000000,21145917.000000,160801.000000,216053.000000,277941382.000000,537494659.000000,15609809800.000000
12M 2009,,,23955917.000000,17907356.000000,1314625.000000,16592731.000000,17907356.000000,,40317228.000000,59247221.000000,141427722.000000,,74609.000000,448616.000000,11566240.000000,,171621343.000000,137050507.000000,320761315.000000,462189037.000000,,,152812892.000000,,24296585.000000,2714042.000000,8756954.000000,1168982.000000,,,94000000.000000,21850000.000000,26329.000000,,115876329.000000,,152812892.000000,34607765.000000,3335703.000000,980522.000000,,,26000000.000000,7061.000000,,26007061.000000,4284479.000000,34607765.000000,187420657.000000,,174744781.000000,81673830.000000,19298446.000000,,19298446.000000,19298446.000000,996930.000000,-1945607.000000,274768380.000000,462189037.000000,15609809820.000000
12M 2010,,,29878864.000000,36728082.000000,,36728082.000000,36728082.000000,,35912278.000000,78294408.000000,180813632.000000,,87500.000000,2675954.000000,16567469.000000,,154039223.000000,108327755.000000,281697901.000000,462511533.000000,,,74545033.000000,,30275593.000000,889144.000000,7682645.000000,8635.000000,12156035.000000,,23525593.000000,,7388.000000,,23532981.000000,,74545033.000000,50150545.000000,977627.000000,,,,44439594.000000,,,44439594.000000,4733324.000000,50150545.000000,124695578.000000,,241169504.000000,78777981.000000,18011753.000000,,18011753.000000,18011753.000000,1395474.000000,-1538757.000000,337815955.000000,462511533.000000,21853733792.000000
12M 2011,,,35754906.000000,45369679.000000,28000.000000,45341679.000000,45369679.000000,45152.000000,30206759.000000,81145750.000000,192522246.000000,,,564289.000000,19446.000000,16372908.000000,194888505.000000,1758510.000000,213603658.000000,406125904.000000,,,77339182.000000,,36762417.000000,355603.000000,17989990.000000,5791.000000,12742498.000000,,,,1582288.000000,,1582288.000000,7900595.000000,77339182.000000,15016510.000000,,5163384.000000,,,,4274130.000000,,4274130.000000,5578996.000000,15016510.000000,92355692.000000,,241169504.000000,78777981.000000,-6000596.000000,,-6000596.000000,-6000596.000000,1344576.000000,-1521253.000000,313770212.000000,406125904.000000,21853733792.000000
12M 2012,,,23609691.000000,65771152.000000,859677.000000,64911475.000000,65771152.000000,78968.000000,32575383.000000,54134749.000000,176169943.000000,,,7424078.000000,17290.000000,12781493.000000,191057837.000000,52025159.000000,263305857.000000,439475800.000000,,,124854809.000000,,86728652.000000,515115.000000,12308611.000000,,4512688.000000,,2390407.000000,,9303674.000000,,11694081.000000,9095662.000000,124854809.000000,41048615.000000,,,,,12975796.000000,19875759.000000,,32851555.000000,8197060.000000,41048615.000000,165903424.000000,,241169504.000000,78777981.000000,-47029050.000000,,-47029050.000000,-47029050.000000,1028457.000000,-374516.000000,273572376.000000,439475800.000000,21853733792.000000
12M 2013,,,10444424.000000,48090958.000000,35298829.000000,12792129.000000,48090958.000000,19524.000000,23140999.000000,59594577.000000,141290482.000000,,,17029498.000000,5997472.000000,,143687876.000000,57752701.000000,224467547.000000,365758029.000000,,,110570095.000000,,78008167.000000,300330.000000,9444484.000000,,6933339.000000,,2269061.000000,,4878124.000000,,7147185.000000,8736590.000000,110570095.000000,33079996.000000,,,,,8199336.000000,16934083.000000,,25133419.000000,7946577.000000,33079996.000000,143650091.000000,,241169504.000000,78777981.000000,-98717227.000000,,-98717227.000000,-98717227.000000,155332.000000,722348.000000,222107938.000000,365758029.000000,21853733792.000000
12M 2014,,,13596544.000000,56403260.000000,47862998.000000,8540262.000000,56403260.000000,1594941.000000,22037319.000000,67159367.000000,160791431.000000,,,10996309.000000,5988404.000000,,127207059.000000,50875804.000000,195067576.000000,355859007.000000,,,114626496.000000,,74340181.000000,472931.000000,12741581.000000,,1313955.000000,,2519293.000000,,14862483.000000,,17381776.000000,8376072.000000,114626496.000000,18825972.000000,,,,,5333588.000000,4365730.000000,,9699318.000000,9126654.000000,18825972.000000,133452468.000000,,241169504.000000,78777981.000000,-98360522.000000,,-98360522.000000,-98360522.000000,97228.000000,722348.000000,222406539.000000,355859007.000000,21853733792.000000
12M 2015,,,16361961.000000,60746976.000000,56833150.000000,3913826.000000,60746976.000000,281906.000000,16042662.000000,41352447.000000,134785952.000000,,,6079920.000000,5987478.000000,,153981489.000000,72140093.000000,238188980.000000,372974932.000000,,,107541041.000000,,74657396.000000,382705.000000,7854588.000000,,652284.000000,,2578641.000000,,16017415.000000,,18596056.000000,5398012.000000,107541041.000000,40677467.000000,,,,,2293253.000000,31597504.000000,,33890757.000000,6786710.000000,40677467.000000,148218508.000000,,241169504.000000,78777981.000000,-96000236.000000,,-96000236.000000,-96000236.000000,86827.000000,722348.000000,224756424.000000,372974932.000000,21853733792.000000
12M 2016,,,21711366.000000,52054373.000000,37713900.000000,14340473.000000,52054373.000000,320661.000000,15108746.000000,39853527.000000,129048673.000000,,,4235767.000000,5986591.000000,,170175439.000000,71893236.000000,252291033.000000,381339706.000000,,,115871191.000000,,74920781.000000,216033.000000,15348740.000000,,608539.000000,,5814569.000000,,13393086.000000,,19207655.000000,5569443.000000,115871191.000000,40338844.000000,324837.000000,,,,8037596.000000,23137837.000000,,31175433.000000,8838574.000000,40338844.000000,156210035.000000,,241169504.000000,78777981.000000,-95652462.000000,,-95652462.000000,-95652462.000000,112300.000000,722348.000000,225129671.000000,381339706.000000,21853733792.000000
12M 2017,,,10672333.000000,42608775.000000,26056299.000000,16552476.000000,42608775.000000,419457.000000,19788228.000000,44171638.000000,117660431.000000,,,173256.000000,5985776.000000,,172109746.000000,105870941.000000,284139719.000000,401800150.000000,,,140872328.000000,,72097877.000000,3955819.000000,17175233.000000,6218128.000000,8963808.000000,,4231930.000000,,19889164.000000,,24121094.000000,8340369.000000,140872328.000000,33375288.000000,324837.000000,3455886.000000,6750840.000000,,6801637.000000,4254135.000000,,11055772.000000,11787953.000000,33375288.000000,174247616.000000,,241169504.000000,78777981.000000,-93238331.000000,,-93238331.000000,-93238331.000000,121032.000000,722348.000000,227552534.000000,401800150.000000,21853733792.000000
12M 2018,,,6265488.000000,47793956.000000,32316463.000000,15477493.000000,47793956.000000,392431.000000,20280877.000000,34252759.000000,108985511.000000,,,302315.000000,5985776.000000,,168585624.000000,131239206.000000,306112921.000000,415098432.000000,,,137066835.000000,,79023579.000000,4116163.000000,23239003.000000,7572836.000000,6221386.000000,,6327108.000000,,5339564.000000,,11666672.000000,5227196.000000,137066835.000000,47227461.000000,324837.000000,7600193.000000,23800624.000000,,1229889.000000,1675065.000000,,2904954.000000,12596853.000000,47227461.000000,184294296.000000,,241169504.000000,78777981.000000,-89996414.000000,,-89996414.000000,-89996414.000000,130717.000000,722348.000000,230804136.000000,415098432.000000,21853733792.000000
12M 2019,,,26509407.000000,64733743.000000,56259716.000000,8474027.000000,64733743.000000,20408804.000000,31744300.000000,61438238.000000,204834492.000000,,,395239.000000,5985776.000000,,177047803.000000,161255287.000000,344684105.000000,549518597.000000,,,197038944.000000,,109575484.000000,6692136.000000,27119587.000000,,5590495.000000,,39703932.000000,,2188485.000000,,41892417.000000,6168825.000000,197038944.000000,118216619.000000,324837.000000,7403491.000000,23800624.000000,,72259091.000000,3490108.000000,,75749199.000000,10938468.000000,118216619.000000,315255563.000000,,241169504.000000,78777981.000000,-86546421.000000,,,-86546421.000000,139622.000000,722348.000000,234263034.000000,549518597.000000,21853733792.000000
12M 2020,,,18795210.000000,57112580.000000,1202691.000000,55909889.000000,57112580.000000,23504268.000000,18071344.000000,103179365.000000,220662767.000000,,,406156.000000,5984694.000000,,184578751.000000,139007196.000000,329976797.000000,550639564.000000,,,197845919.000000,,76408332.000000,5277594.000000,28799214.000000,,4084006.000000,,39081159.000000,,1281515.000000,33984943.000000,74347617.000000,8929156.000000,197845919.000000,83393367.000000,324837.000000,13565325.000000,5660006.000000,,50114354.000000,2313590.000000,,52427944.000000,11415255.000000,83393367.000000,281239286.000000,,241169504.000000,78777981.000000,-50932872.000000,,,-50932872.000000,193326.000000,192339.000000,269400278.000000,550639564.000000,21853733792.000000
12M 2021,,,21969323.000000,56511702.000000,1234405.000000,55277297.000000,56511702.000000,23196934.000000,21153542.000000,40624534.000000,163456035.000000,,,453079.000000,350391.000000,,205983938.000000,193253155.000000,400040563.000000,563496598.000000,,,200569595.000000,,87771568.000000,4758485.000000,30182879.000000,,,,39037834.000000,,7930548.000000,19234044.000000,66202426.000000,11654237.000000,200569595.000000,92074290.000000,674546.000000,16880161.000000,19978816.000000,,28556876.000000,9724862.000000,3425255.000000,41706993.000000,12833774.000000,92074290.000000,292643885.000000,,241169504.000000,78777981.000000,-49466620.000000,,,-49466620.000000,198932.000000,172916.000000,270852713.000000,563496598.000000,21853733792.000000
12M 2022,,,19318721.000000,55850560.000000,3049279.000000,52801281.000000,55850560.000000,16183077.000000,37686980.000000,35283603.000000,164322941.000000,,,357287.000000,432159.000000,,193420612.000000,189438276.000000,383648334.000000,547971275.000000,,,230757234.000000,,72760262.000000,2229832.000000,47329613.000000,,,,38960000.000000,,7861575.000000,47516894.000000,94338469.000000,14099058.000000,230757234.000000,63105796.000000,622974.000000,14369326.000000,23305746.000000,,6945776.000000,3001453.000000,3373499.000000,13320728.000000,11487022.000000,63105796.000000,293863030.000000,,241169504.000000,78777981.000000,-66273246.000000,,,-66273246.000000,201404.000000,232602.000000,254108245.000000,547971275.000000,21853733792.000000
12M 2023,,,386856009000.000000,1774692336000.000000,58398970000.000000,1716293366000.000000,1774692336000.000000,198616211000.000000,412147385000.000000,134477577000.000000,2906789518000.000000,,,5941228000.000000,6641472000.000000,1106339607000.000000,2551778489000.000000,1560128741000.000000,5230829537000.000000,8137619055000.000000,,,4192286412000.000000,,1784505608000.000000,161937579000.000000,851042986000.000000,,,,372695771000.000000,,88346167000.000000,667043404000.000000,1128085342000.000000,266714897000.000000,4192286412000.000000,656017753000.000000,7836975000.000000,220846461000.000000,220717275000.000000,,,51495937000.000000,10542158000.000000,62038095000.000000,144578947000.000000,656017753000.000000,4848304165000.000000,,2185373379000.000000,737708151000.000000,-1093635026000.000000,,,-1093635026000.000000,-2374570000.000000,1462242956000.000000,3289314890000.000000,8137619055000.000000,21853733792.000000
12M 2024,,,346530081000.000000,1614103774000.000000,50530145000.000000,1563573629000.000000,1614103774000.000000,151731928000.000000,402376080000.000000,240524930000.000000,2755266793000.000000,,,6378039000.000000,7096938000.000000,1106339607000.000000,3416602876000.000000,1514670969000.000000,6051088429000.000000,8806355222000.000000,,,3614359748000.000000,,1890311321000.000000,16306854000.000000,453504493000.000000,,,,258088930000.000000,,23301710000.000000,739090901000.000000,1020481541000.000000,233755539000.000000,3614359748000.000000,1881185434000.000000,7836975000.000000,199163747000.000000,130045040000.000000,,1372069472000.000000,9013679000.000000,23818832000.000000,1404901983000.000000,139237689000.000000,1881185434000.000000,5495545182000.000000,,2185373379000.000000,737708151000.000000,-1072160627000.000000,,,-1072160627000.000000,-2353819000.000000,1462242956000.000000,3310810040000.000000,8806355222000.000000,21853733792.000000
