Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pembelian Aset Tetap,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,58261193000.000000,,314057375000.000000,52423222000.000000,261634153000.000000,314057375000.000000,11861030000.000000,11861030000.000000,,11861030000.000000,141987291000.000000,32716946000.000000,558883835000.000000,,,90128697000.000000,8376046000.000000,,16007947000.000000,114512690000.000000,673396525000.000000,,,568547910000.000000,103454460000.000000,,80580285000.000000,300533644000.000000,381113929000.000000,2505747000.000000,,27609798000.000000,27609798000.000000,1871020000.000000,21553379000.000000,,7000000000.000000,580343000.000000,7580343000.000000,22859234000.000000,568547910000.000000,17655442000.000000,,,,2255065000.000000,2255065000.000000,,,15400377000.000000,17655442000.000000,586203352000.000000,,75600000000.000000,3900000000.000000,6593173000.000000,774497000.000000,5818676000.000000,6593173000.000000,,1100000000.000000,87193173000.000000,673396525000.000000,151200000.000000
12M 2009,,,45692060000.000000,,225915753000.000000,48252480000.000000,177663273000.000000,225915753000.000000,9883250000.000000,9883250000.000000,,9883250000.000000,142060270000.000000,36110506000.000000,459661839000.000000,,,83207561000.000000,4401284000.000000,,40110106000.000000,127718951000.000000,587380790000.000000,,,465853474000.000000,104676089000.000000,,70619459000.000000,211991583000.000000,282611042000.000000,2151053000.000000,,26027492000.000000,26027492000.000000,1251432000.000000,14202595000.000000,,,722812000.000000,722812000.000000,34210959000.000000,465853474000.000000,18990046000.000000,,,,998233000.000000,998233000.000000,,,17991813000.000000,18990046000.000000,484843520000.000000,,75600000000.000000,3900000000.000000,22435254000.000000,774497000.000000,21660757000.000000,22435254000.000000,27016000.000000,575000000.000000,102537270000.000000,587380790000.000000,151200000.000000
12M 2010,,,43558249000.000000,,195840754000.000000,51133134000.000000,144707620000.000000,195840754000.000000,7362264000.000000,7362264000.000000,,7362264000.000000,162474328000.000000,59948868000.000000,469184463000.000000,,,79812810000.000000,2475194000.000000,,10526227000.000000,92814231000.000000,561998694000.000000,,,438883543000.000000,85740672000.000000,,50509458000.000000,266850867000.000000,317360325000.000000,674325000.000000,,18895438000.000000,18895438000.000000,791504000.000000,6323579000.000000,,,1002632000.000000,1002632000.000000,8095068000.000000,438883543000.000000,24401434000.000000,,,,1560022000.000000,1560022000.000000,,,22841412000.000000,24401434000.000000,463284977000.000000,,75600000000.000000,3900000000.000000,16878716000.000000,3774497000.000000,13104219000.000000,16878716000.000000,35001000.000000,2300000000.000000,98713717000.000000,561998694000.000000,151200000.000000
12M 2011,,,41545531000.000000,5802151000.000000,163798009000.000000,58686873000.000000,105111136000.000000,163798009000.000000,4042307000.000000,4042307000.000000,,4042307000.000000,260051578000.000000,45883024000.000000,521122600000.000000,,,79980139000.000000,4750216000.000000,,21184980000.000000,105915335000.000000,627037935000.000000,,,467757960000.000000,74046221000.000000,,39271886000.000000,308455550000.000000,347727436000.000000,,,14905242000.000000,14905242000.000000,2265870000.000000,6203742000.000000,,,1545438000.000000,1545438000.000000,21064011000.000000,467757960000.000000,31782952000.000000,,,,2540398000.000000,2540398000.000000,,,29242554000.000000,31782952000.000000,499540912000.000000,,75600000000.000000,3900000000.000000,46580493000.000000,3774497000.000000,42805996000.000000,46580493000.000000,31530000.000000,1385000000.000000,127497023000.000000,627037935000.000000,151200000.000000
12M 2012,,,28091837000.000000,10373509000.000000,217638988000.000000,96436597000.000000,121202391000.000000,217638988000.000000,2005089000.000000,2005089000.000000,,2005089000.000000,324905839000.000000,31677973000.000000,614693235000.000000,,,72163810000.000000,5934139000.000000,,16164002000.000000,94261951000.000000,708955186000.000000,,,531671545000.000000,268191975000.000000,,47676474000.000000,172443879000.000000,220120353000.000000,8445959000.000000,,8670726000.000000,8670726000.000000,5157693000.000000,8550429000.000000,,,1409257000.000000,1409257000.000000,11125153000.000000,531671545000.000000,34407848000.000000,,,,1902273000.000000,1902273000.000000,,,32505575000.000000,34407848000.000000,566079393000.000000,,75600000000.000000,3900000000.000000,61733381000.000000,9774497000.000000,51958884000.000000,61733381000.000000,17412000.000000,1625000000.000000,142875793000.000000,708955186000.000000,151200000.000000
12M 2013,,,5499386000.000000,8611529000.000000,512109793000.000000,107153991000.000000,404955802000.000000,512109793000.000000,1639723000.000000,1639723000.000000,,1639723000.000000,464139560000.000000,37276942000.000000,1029276933000.000000,,,136292370000.000000,10734721000.000000,,63517692000.000000,210544783000.000000,1239821716000.000000,,,1052583258000.000000,724218660000.000000,,77408931000.000000,170637428000.000000,248046359000.000000,,,19102681000.000000,19102681000.000000,2993157000.000000,13354080000.000000,,,1570690000.000000,1570690000.000000,43297631000.000000,1052583258000.000000,39578114000.000000,,,,1834382000.000000,1834382000.000000,,,37743732000.000000,39578114000.000000,1092161372000.000000,,75600000000.000000,3900000000.000000,66155923000.000000,11774497000.000000,54381426000.000000,66155923000.000000,4421000.000000,2000000000.000000,147660344000.000000,1239821716000.000000,151200000.000000
12M 2014,,,3411046000.000000,1433451000.000000,472886670000.000000,110871473000.000000,362015197000.000000,472886670000.000000,1012285000.000000,1012285000.000000,,1012285000.000000,376648221000.000000,17793588000.000000,873185261000.000000,,,121782583000.000000,12922388000.000000,,54585791000.000000,189290762000.000000,1062476023000.000000,,,846116408000.000000,550111604000.000000,,63485240000.000000,77045047000.000000,140530287000.000000,,,97563834000.000000,97563834000.000000,8619360000.000000,20295064000.000000,,,854953000.000000,854953000.000000,28141306000.000000,846116408000.000000,45004561000.000000,,,,1227561000.000000,1227561000.000000,,,43777000000.000000,45004561000.000000,891120969000.000000,,75600000000.000000,3900000000.000000,90004883000.000000,11774497000.000000,78230386000.000000,90004883000.000000,171000.000000,1850000000.000000,171355054000.000000,1062476023000.000000,151200000.000000
12M 2015,,,70944918000.000000,1504562000.000000,464433968000.000000,99619104000.000000,364814864000.000000,464433968000.000000,4655310000.000000,4655310000.000000,,4655310000.000000,341529516000.000000,44424295000.000000,927492569000.000000,,,396189098000.000000,,,34782414000.000000,430971512000.000000,1358464081000.000000,,,883284008000.000000,655410832000.000000,,31747439000.000000,77435442000.000000,109182881000.000000,,,58215398000.000000,58215398000.000000,4291098000.000000,14238849000.000000,,,855891000.000000,855891000.000000,41089059000.000000,883284008000.000000,107423814000.000000,,,,1503522000.000000,1503522000.000000,,54612920000.000000,51307372000.000000,107423814000.000000,990707822000.000000,,75600000000.000000,3900000000.000000,78594589000.000000,12774497000.000000,65820092000.000000,78594589000.000000,-9755000.000000,209671425000.000000,367756259000.000000,1358464081000.000000,151200000.000000
12M 2016,,,160862838000.000000,,526090058000.000000,88753865000.000000,437336193000.000000,526090058000.000000,2254934000.000000,2254934000.000000,,2254934000.000000,389385675000.000000,53141692000.000000,1131735197000.000000,,,408722055000.000000,,,46753324000.000000,455475379000.000000,1587210576000.000000,,,992544784000.000000,632204394000.000000,,48459391000.000000,195297706000.000000,243757097000.000000,,,25377870000.000000,25377870000.000000,8393933000.000000,44572341000.000000,,,1701183000.000000,1701183000.000000,36537966000.000000,992544784000.000000,124327450000.000000,,,,4375548000.000000,4375548000.000000,7769532000.000000,50935596000.000000,61246774000.000000,124327450000.000000,1116872234000.000000,,75600000000.000000,3900000000.000000,178545898000.000000,12774497000.000000,165771401000.000000,178545898000.000000,-8981000.000000,212301425000.000000,470338342000.000000,1587210576000.000000,151200000.000000
12M 2017,,,61241170000.000000,,500982874000.000000,131331510000.000000,369651364000.000000,500982874000.000000,27638302000.000000,1090588000.000000,26547714000.000000,27638302000.000000,567575668000.000000,137019683000.000000,1294457697000.000000,,,567615030000.000000,,,65912625000.000000,633527655000.000000,1927985352000.000000,,,1220226620000.000000,788172194000.000000,,139018138000.000000,198805686000.000000,337823824000.000000,,,22198343000.000000,22198343000.000000,2093436000.000000,36686936000.000000,,,1496541000.000000,1496541000.000000,31755346000.000000,1220226620000.000000,160397250000.000000,,,6345000000.000000,3555218000.000000,9900218000.000000,,77933406000.000000,72563626000.000000,160397250000.000000,1380623870000.000000,,75600000000.000000,3900000000.000000,166328647000.000000,15000000000.000000,151328647000.000000,166328647000.000000,-10288000.000000,301543123000.000000,547361482000.000000,1927985352000.000000,151200000.000000
