Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1131138415000.000000,-1026639982000.000000,104498433000.000000,-49125822000.000000,-25124244000.000000,-24001578000.000000,-49125822000.000000,55372611000.000000,-53638725000.000000,924801000.000000,-203566000.000000,-13930169000.000000,-41935214000.000000,1505423000.000000,-53638725000.000000,1733886000.000000,-1655382000.000000,-1806443000.000000,151061000.000000,-1655382000.000000,78504000.000000,,,78504000.000000,,,,,,78504000.000000,78504000.000000,,78504000.000000,,,,
12M 2009,762976145000.000000,-694318957000.000000,68657188000.000000,-45391461000.000000,-21399742000.000000,-23991719000.000000,-45391461000.000000,23265727000.000000,6565684000.000000,660133000.000000,101950000.000000,-18242898000.000000,16713543000.000000,7332956000.000000,6565684000.000000,29831411000.000000,-13992314000.000000,-10017552000.000000,-3974762000.000000,-13992314000.000000,15839097000.000000,2984000.000000,,15842081000.000000,,,,,,15842081000.000000,15839097000.000000,2984000.000000,15842081000.000000,,,,
12M 2010,830723138000.000000,-784397161000.000000,46325977000.000000,-42807944000.000000,-18445480000.000000,-24362464000.000000,-42807944000.000000,3518033000.000000,-1294892000.000000,525189000.000000,3320458000.000000,-15064441000.000000,7181396000.000000,2742506000.000000,-1294892000.000000,2223141000.000000,-3238679000.000000,-1312589000.000000,-1926090000.000000,-3238679000.000000,-1015538000.000000,-5000000.000000,,-1020538000.000000,,,,,,-1020538000.000000,-1015538000.000000,-5000000.000000,-1020538000.000000,,,,
12M 2011,1267418214000.000000,-1148418143000.000000,119000071000.000000,-59378156000.000000,-27327831000.000000,-32050325000.000000,-59378156000.000000,59621915000.000000,-18349271000.000000,441047000.000000,404212000.000000,-11352468000.000000,-10743029000.000000,2900967000.000000,-18349271000.000000,41272644000.000000,-11574338000.000000,-13849360000.000000,2275022000.000000,-11574338000.000000,29698306000.000000,,,29698306000.000000,-915000000.000000,,,-915000000.000000,28783306000.000000,29698306000.000000,29701777000.000000,-3471000.000000,29698306000.000000,28783306000.000000,28786777000.000000,-3471000.000000,28783306000.000000
12M 2012,1234827852000.000000,-1102089031000.000000,132738821000.000000,-58010284000.000000,-27079201000.000000,-30931083000.000000,-58010284000.000000,74728537000.000000,-25799613000.000000,662703000.000000,414961000.000000,-12152053000.000000,-20843027000.000000,6117803000.000000,-25799613000.000000,48928924000.000000,-17158154000.000000,-18342077000.000000,1183923000.000000,-17158154000.000000,31770770000.000000,,,31770770000.000000,240000000.000000,,240000000.000000,240000000.000000,32010770000.000000,31770770000.000000,31784888000.000000,-14118000.000000,31770770000.000000,32010770000.000000,32024888000.000000,-14118000.000000,32010770000.000000
12M 2013,1490073098000.000000,-1290472448000.000000,199600650000.000000,-65489564000.000000,-30484869000.000000,-35004695000.000000,-65489564000.000000,134111086000.000000,-90675102000.000000,4074407000.000000,388378000.000000,-29460515000.000000,-68770997000.000000,3093625000.000000,-90675102000.000000,43435984000.000000,-8757728000.000000,-13558310000.000000,4800582000.000000,-8757728000.000000,34678256000.000000,,-12124705000.000000,22553551000.000000,375000000.000000,,375000000.000000,375000000.000000,22928551000.000000,22553551000.000000,22566542000.000000,-12991000.000000,22553551000.000000,22928551000.000000,22941542000.000000,-12991000.000000,22928551000.000000
12M 2014,1493012114000.000000,-1324529003000.000000,168483111000.000000,-77292646000.000000,-36474534000.000000,-40818112000.000000,-77292646000.000000,91190465000.000000,-58045559000.000000,249537000.000000,466133000.000000,-39293769000.000000,-9649502000.000000,-9817958000.000000,-58045559000.000000,33144906000.000000,-9300196000.000000,-11487863000.000000,2187667000.000000,-9300196000.000000,23844710000.000000,,,23844710000.000000,-150000000.000000,,-150000000.000000,-150000000.000000,23694710000.000000,23844710000.000000,23848960000.000000,-4250000.000000,23844710000.000000,23694710000.000000,23698960000.000000,-4250000.000000,23694710000.000000
12M 2015,1663335876000.000000,-1478752662000.000000,184583214000.000000,-72152284000.000000,-37847935000.000000,-34304349000.000000,-72152284000.000000,112430930000.000000,-103934597000.000000,130401000.000000,635947000.000000,-39662342000.000000,-38937048000.000000,-26101555000.000000,-103934597000.000000,8496333000.000000,-6031664000.000000,-6183104000.000000,151440000.000000,-6031664000.000000,2464669000.000000,,,2464669000.000000,207969871000.000000,,207969871000.000000,207969871000.000000,210434540000.000000,2464669000.000000,2482658000.000000,-17989000.000000,2464669000.000000,210434540000.000000,210426477000.000000,8063000.000000,210434540000.000000
12M 2016,2037784842000.000000,-1689088200000.000000,348696642000.000000,-110171489000.000000,-58050601000.000000,-52120888000.000000,-110171489000.000000,238525153000.000000,-63099638000.000000,752277000.000000,402341000.000000,-43665435000.000000,-581435000.000000,-20007386000.000000,-63099638000.000000,175425515000.000000,-43002354000.000000,-45935985000.000000,2933631000.000000,-43002354000.000000,132423161000.000000,,,132423161000.000000,398922000.000000,,398922000.000000,398922000.000000,132822083000.000000,132423161000.000000,132422387000.000000,774000.000000,132423161000.000000,132822083000.000000,132821309000.000000,774000.000000,132822083000.000000
12M 2017,2184518893000.000000,-1879070577000.000000,305448316000.000000,-135791152000.000000,-67261537000.000000,-68529615000.000000,-135791152000.000000,169657164000.000000,-58033548000.000000,1319366000.000000,712045000.000000,-48209496000.000000,-550358000.000000,-11305105000.000000,-58033548000.000000,111623616000.000000,-28268246000.000000,-30496360000.000000,2228114000.000000,-28268246000.000000,83355370000.000000,,,83355370000.000000,88247770000.000000,,,88247770000.000000,171603140000.000000,83355370000.000000,83354784000.000000,586000.000000,83355370000.000000,171603140000.000000,171604447000.000000,-1307000.000000,171603140000.000000
