Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penambahan (Pembayaran) Bunga Dan Beban Operasi,Beban Operasi,Pembayaran Pajak,Restitusi Pajak Penghasilan Dan Pajak Pertambahan Nilai,Pengembalian (Penempatan) Uang Jaminan,Selisih Kurs,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Deposito Berjangka,Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Dividen,Pendapatan Investasi,Kenaikan (Penurunan) Piutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Penurunan Hutang Kepada Pihak Yang Mempunyai Hubungan Istimewa (Lain-Lain),Penurunan Aktiva Tidak Lancar Lainnya,Pembayaran Aset Tidak Lancar Lainnya,Kenaikan (Pembayaran) Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Hutang Bank,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Pedek,Penambahan Hutang Bank Jangka Panjang,Pembayaran Hutang Bank Jangka Panjang,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Hutang Lain-Lain,Penambahan (Pembayaran) Hutang Pembelian Aset Tetap,Pembayaran Dividen,Pembayaran Dividen Final 2016,Pembayaran Dividen Final 2017,Pembayaran Dividen Final 2018,Pembayaran Hutang Sewa Guna Usaha,Pembayaran Hutang Pihak Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,103386131000.000000,1029952416000.000000,-860875966000.000000,-32618440000.000000,-13930169000.000000,,-19141710000.000000,,,,103386131000.000000,-22288742000.000000,924801000.000000,,,-8705596000.000000,,,,,,,-14507947000.000000,-22288742000.000000,-24979589000.000000,-19091582000.000000,,,,,-347038000.000000,,-497364000.000000,,,,,,-5043605000.000000,-24979589000.000000,56117800000.000000,2143393000.000000,58261193000.000000
12M 2009,27820836000.000000,851117767000.000000,-759347593000.000000,-34996321000.000000,-18242898000.000000,,-10710119000.000000,,,,27820836000.000000,-30338606000.000000,660133000.000000,,,-6371580000.000000,,,,,,,-24627159000.000000,-30338606000.000000,-10051363000.000000,-7000000000.000000,,,,,-1114363000.000000,,-354694000.000000,,,,,,-1582306000.000000,-10051363000.000000,-12569133000.000000,58261193000.000000,45692060000.000000
12M 2010,7765914000.000000,860798137000.000000,-809977405000.000000,-15870684000.000000,-17716006000.000000,,-9468128000.000000,,,,7765914000.000000,22885938000.000000,525189000.000000,,,-9155330000.000000,,210000000.000000,,,,,31306079000.000000,22885938000.000000,-32785663000.000000,-18935417000.000000,,,,,-1328767000.000000,-6508751000.000000,-1476728000.000000,-4536000000.000000,,,,,,-32785663000.000000,-2133811000.000000,45692060000.000000,43558249000.000000
12M 2011,10549587000.000000,1299460959000.000000,-1022896118000.000000,-81841665000.000000,-20273435000.000000,-53947910000.000000,-109952244000.000000,,,,10549587000.000000,-7365780000.000000,,-3746965000.000000,,-167329000.000000,,,,,,,-3451486000.000000,-7365780000.000000,-3141339000.000000,,,,,,1523182000.000000,-3990196000.000000,-674325000.000000,,,,,,,-3141339000.000000,42468000.000000,41503063000.000000,41545531000.000000
12M 2012,-803205000.000000,1180986873000.000000,-1138497511000.000000,-86412441000.000000,192383521000.000000,-68959132000.000000,-80304515000.000000,,,,-803205000.000000,2544374000.000000,,-4571358000.000000,,7816329000.000000,,,,,,,-700597000.000000,2544374000.000000,-15194863000.000000,,,,,,-774306000.000000,-6234516000.000000,8445959000.000000,-16632000000.000000,,,,,,-15194863000.000000,-13453694000.000000,41545531000.000000,28091837000.000000
12M 2013,-119083783000.000000,1279943783000.000000,-1143598230000.000000,-63675506000.000000,-25715292000.000000,-138750366000.000000,-27288172000.000000,,,,-119083783000.000000,-52169983000.000000,,1571971000.000000,,-39018648000.000000,,,,,,,-14723306000.000000,-52169983000.000000,148661314000.000000,,,163162066000.000000,,,-1914707000.000000,4535787000.000000,,-17121832000.000000,,,,,,148661314000.000000,-22592452000.000000,28091837000.000000,5499385000.000000
12M 2014,42230169000.000000,1448718277000.000000,-1183269007000.000000,-67761235000.000000,-39302549000.000000,-106002193000.000000,-10153124000.000000,,,,42230169000.000000,9064635000.000000,,8722793000.000000,466133000.000000,-4579148000.000000,,,,,,,4454857000.000000,9064635000.000000,-53383144000.000000,,,-51790569000.000000,,,-1592575000.000000,,,,,,,,,-53383144000.000000,-2088340000.000000,5499386000.000000,3411046000.000000
12M 2015,21550154000.000000,1581044029000.000000,-1308846152000.000000,-83205124000.000000,-39434140000.000000,-122423237000.000000,2824580000.000000,-8409802000.000000,,,21550154000.000000,-62989733000.000000,,-50601111000.000000,4750124000.000000,-16994866000.000000,,,,,,,-143880000.000000,-62989733000.000000,108973451000.000000,,,118926826000.000000,,,-881375000.000000,,,-9072000000.000000,,,,,,108973451000.000000,67533872000.000000,3411046000.000000,70944918000.000000
12M 2016,184371203000.000000,1979024193000.000000,-1463403375000.000000,-97465776000.000000,-42193158000.000000,-152724249000.000000,-38246392000.000000,-620040000.000000,,,184371203000.000000,-42053248000.000000,,1504562000.000000,402340000.000000,-34654034000.000000,,,,,,,-9306116000.000000,-42053248000.000000,-52400035000.000000,,,-23206438000.000000,,,-1192526000.000000,,,-28001071000.000000,,,,,,-52400035000.000000,89917920000.000000,70944918000.000000,160862838000.000000
12M 2017,85948536000.000000,2116834064000.000000,-1694971417000.000000,-118666347000.000000,-48209496000.000000,-108284958000.000000,-60753310000.000000,,,,85948536000.000000,-68833048000.000000,,,712045000.000000,-68349222000.000000,,,,,,,-1195871000.000000,-68833048000.000000,-116737156000.000000,,,-24301721000.000000,,,-1715435000.000000,,,-30240000000.000000,-60480000000.000000,,,,,-116737156000.000000,-99621668000.000000,160862838000.000000,61241170000.000000
