Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Penghasilan Bunga,Pembayaran Kas Kepada Pemasok Dan Karyawan Dan Untuk Beban Operasional Lainnya,Pembayaran Karyawan,Pembayaran Untuk:,Beban Bunga,Pajak,Penghasilan (Beban) Lain-Lain - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Penyertaan Saham,Hasil Penjualan Aset Tetap Dan Properti Investasi,Penurunan (Kenaikan) Uang Muka,Penurunan Investasi Pada Entitas Asosiasi,Pendapatan Dividen,Pembayaran Uang Muka Pembelian Aset Tetap,Pembayaran Uang Muka Atas Investasi Saham,Perolehan Aset Tetap,Peningkatan Penyertaan Saham,Kenaikan (Penurunan) Uang Jaminan,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak Guna,Hasil Penjualan Penempatan Jangka Pendek - Bersih,Penjualan Investasi Jangka Pendek,Penurunan (Kenaikan) Penempatan Jangka Pendek,Penerimaan Hasil Penjualan Obligasi Konversi,Penerimaan Hasil Penjualan Properti Investasi,Penurunan (Kenaikan) Piutang - Pihak Berelasi,Pelunasan Pinjaman Pihak Ketiga Jangka Panjang,Penambahan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Utang Bank Dan Cerukan,Perolehan Utang Obligasi,Pembayaran Utang Bank Dan Cerukan,Pembayaran Utang Obligasi,Perolehan Utang Bank Jangka Panjang,Pembayaran Utang Jangka Panjang,Perolehan (Pembayaran) Utang Bank Jangka Panjang - Neto,Pembayaran Dividen Kas Oleh Perusahaan,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Pemegang Saham Non-Pengendali,Perolehan (Pembayaran) Utang Sewa Pembiayaan,Kenaikan Beban Emisi Obligasi Yang Belum Diamortisasi,Penurunan (Kenaikan) Piutang - Pihak Berelasi,Penurunan (Kenaikan) Piutang - Pihak Ketiga,Penurunan (Kenaikan) Utang - Pihak Berelasi,Pembayaran (Kenaikan) Atas Kontrak Berjangka Dan Swap Mata Uang Asing - Neto,Pembelian Kembali Obligasi Yang Diterbitkan,Pembelian Modal Saham Yang Diperoleh Kembali,Peningkatan Penyertaan Modal Oleh Kepentingan Non-Pengendali Pada Entitas Anak,Kenaikan (Penurunan) Kewajiban Derivative,Perolehan (Pembayaran) Utang Pembiayaan Konsumen,Penerbitan Saham Baru Oleh Entitas Anak Kepada Kepentingan Nonpengendali,Pengembalian Modal Saham Pada Entitas Anak Oleh Kepentingan Nonpengendali,Teasury Stock,Beban Obligasi Ditangguhkan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Atas Akuisisi (Penjualan) Entitas Anak,Pengaruh Konsolidasi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-446824000000.000000,4314970000000.000000,,-4208776000000.000000,-204517000000.000000,,-129328000000.000000,-77152000000.000000,-142021000000.000000,-446824000000.000000,-370560000000.000000,,6830000000.000000,-12096000000.000000,,600000000.000000,,,-312319000000.000000,-11343000000.000000,236000000.000000,-7041000000.000000,,,,,1177000000.000000,,-36604000000.000000,,,-370560000000.000000,838287000000.000000,2107286000000.000000,,-1472592000000.000000,-248380000000.000000,,-4299000000.000000,29163000000.000000,-21840000000.000000,-13940000000.000000,-1098000000.000000,,,,-30776000000.000000,,494763000000.000000,,,,,,,,,838287000000.000000,20903000000.000000,,,54737000000.000000,102264000000.000000,,177904000000.000000
12M 2009,970833000000.000000,3825109000000.000000,,-2679494000000.000000,-226498000000.000000,,-138380000000.000000,-70429000000.000000,260525000000.000000,970833000000.000000,-234887000000.000000,,6043000000.000000,-2133000000.000000,,3000000000.000000,,,-159193000000.000000,-21247000000.000000,-172000000.000000,-97537000000.000000,,11658000000.000000,,,,,24694000000.000000,,,-234887000000.000000,-574486000000.000000,757200000000.000000,,-1316905000000.000000,-14475000000.000000,,-16768000000.000000,7610000000.000000,-44460000000.000000,,-1869000000.000000,,,,20520000000.000000,,,,34661000000.000000,,,,,,,-574486000000.000000,161460000000.000000,,,-41368000000.000000,177904000000.000000,,297996000000.000000
12M 2010,-147945000000.000000,3744878000000.000000,,-3487474000000.000000,-211102000000.000000,,-121754000000.000000,-32385000000.000000,-40108000000.000000,-147945000000.000000,-241954000000.000000,,37726000000.000000,-780000000.000000,,1600000000.000000,,,-203877000000.000000,-23273000000.000000,-2143000000.000000,,,18368000000.000000,,-76666000000.000000,2297000000.000000,,4794000000.000000,,,-241954000000.000000,346779000000.000000,1475282000000.000000,,-1204924000000.000000,,,-88662000000.000000,111515000000.000000,-26520000000.000000,,-4756000000.000000,,,,52628000000.000000,,,,32216000000.000000,,,,,,,346779000000.000000,-43120000000.000000,,,-23102000000.000000,297996000000.000000,,231774000000.000000
12M 2011,-137902000000.000000,5221471000000.000000,18964000000.000000,-5134243000000.000000,,,-127023000000.000000,-117071000000.000000,,-137902000000.000000,-184302000000.000000,,16390000000.000000,-12167000000.000000,,1250000000.000000,,,-208810000000.000000,-25165000000.000000,1148000000.000000,-6353000000.000000,,50035000000.000000,,21288000000.000000,7838000000.000000,4662000000.000000,-34418000000.000000,,,-184302000000.000000,194072000000.000000,3738438000000.000000,,-3505999000000.000000,,,-28323000000.000000,72762000000.000000,-26520000000.000000,-14494000000.000000,-18270000000.000000,,,,-13202000000.000000,,-10320000000.000000,,,,,,,,,194072000000.000000,-128132000000.000000,,,-2130000000.000000,231774000000.000000,,101512000000.000000
12M 2012,384252000000.000000,6321242000000.000000,14217000000.000000,-5794910000000.000000,,,-139210000000.000000,-17087000000.000000,,384252000000.000000,-166044000000.000000,58130000000.000000,47789000000.000000,24320000000.000000,,1200000000.000000,,,-261478000000.000000,-84188000000.000000,-59000000.000000,-4105000000.000000,,61972000000.000000,,-9625000000.000000,,,,,,-166044000000.000000,-158619000000.000000,4023434000000.000000,,-4237752000000.000000,,,-35174000000.000000,208043000000.000000,-23400000000.000000,-16317000000.000000,-23635000000.000000,,-17872000000.000000,4436000000.000000,-40382000000.000000,,,,,,,,,,,-158619000000.000000,59589000000.000000,-954000000.000000,,-42550000000.000000,101512000000.000000,,117597000000.000000
12M 2013,191790000000.000000,5535547000000.000000,6702000000.000000,-5159660000000.000000,,,-161893000000.000000,-28906000000.000000,,191790000000.000000,-65273000000.000000,2650000000.000000,19634000000.000000,-32945000000.000000,,2457000000.000000,,,-137220000000.000000,-83126000000.000000,-2666000000.000000,-2230000000.000000,,,,,,168173000000.000000,,,,-65273000000.000000,-66586000000.000000,4554932000000.000000,223868000000.000000,-4837473000000.000000,,,-2716000000.000000,,-24960000000.000000,-27975000000.000000,-23941000000.000000,,71679000000.000000,,,,,,,,,,,,,-66586000000.000000,59931000000.000000,,,-29379000000.000000,117597000000.000000,,148149000000.000000
12M 2014,120418000000.000000,5906072000000.000000,3005000000.000000,-5562219000000.000000,,,-127801000000.000000,-98639000000.000000,,120418000000.000000,-35923000000.000000,176000000000.000000,31502000000.000000,-8414000000.000000,,55557000000.000000,,,-165542000000.000000,-118460000000.000000,-1663000000.000000,-4903000000.000000,,,,,,,,,,-35923000000.000000,-6269000000.000000,2700710000000.000000,,-2561456000000.000000,,,-6346000000.000000,,-48360000000.000000,-13990000000.000000,-22269000000.000000,,-54558000000.000000,,,,,,,,,,,,,-6269000000.000000,78226000000.000000,,,9250000000.000000,148149000000.000000,,235625000000.000000
12M 2015,16749000000.000000,6267528000000.000000,4596000000.000000,-5988423000000.000000,,,-187271000000.000000,-79681000000.000000,,16749000000.000000,-491321000000.000000,,21342000000.000000,-30277000000.000000,,2100000000.000000,,,-484656000000.000000,,4771000000.000000,-4601000000.000000,,,,,,,,,,-491321000000.000000,262016000000.000000,1179049000000.000000,,-690072000000.000000,,,-25634000000.000000,,-26520000000.000000,-20988000000.000000,-6340000000.000000,,-147479000000.000000,,,,,,,,,,,,,262016000000.000000,-212556000000.000000,,,104536000000.000000,228405000000.000000,,120385000000.000000
12M 2016,358134000000.000000,6275662000000.000000,4620000000.000000,-5668743000000.000000,,,-161636000000.000000,-91769000000.000000,,358134000000.000000,-428088000000.000000,,20165000000.000000,-30569000000.000000,,2780000000.000000,,,-427479000000.000000,,-1847000000.000000,-4509000000.000000,,13371000000.000000,,,,,,,,-428088000000.000000,20412000000.000000,1671953000000.000000,,-1914956000000.000000,,,-37032000000.000000,359519000000.000000,,-19345000000.000000,-2535000000.000000,,-47813000000.000000,,,,,,,,,10621000000.000000,,,,20412000000.000000,-49542000000.000000,,,-1701000000.000000,120385000000.000000,,69142000000.000000
12M 2017,74906000000.000000,6749576000000.000000,3306000000.000000,-6461772000000.000000,,,-157854000000.000000,-58350000000.000000,,74906000000.000000,-133580000000.000000,,29786000000.000000,,,3843000000.000000,,,-162498000000.000000,,-1332000000.000000,-3379000000.000000,,,,,,,,,,-133580000000.000000,113434000000.000000,1608322000000.000000,850000000000.000000,-2008243000000.000000,,,-333811000000.000000,21490000000.000000,-18152000000.000000,-33514000000.000000,-6067000000.000000,,31482000000.000000,,,,,,,,,1927000000.000000,,,,113434000000.000000,54760000000.000000,,,1047000000.000000,69142000000.000000,,124949000000.000000
