Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,177904000000.000000,29691000000.000000,663501000000.000000,651047000000.000000,12454000000.000000,663501000000.000000,122879000000.000000,115248000000.000000,7631000000.000000,122879000000.000000,1047306000000.000000,70927000000.000000,2112208000000.000000,,52163000000.000000,,52163000000.000000,52163000000.000000,53934000000.000000,889072000000.000000,38401000000.000000,14126000000.000000,,280106000000.000000,1327802000000.000000,3440010000000.000000,,,1879789000000.000000,1314117000000.000000,,325288000000.000000,73036000000.000000,398324000000.000000,,32061000000.000000,13000000.000000,32074000000.000000,66917000000.000000,48584000000.000000,,,15299000000.000000,4474000000.000000,,19773000000.000000,,1879789000000.000000,605936000000.000000,8389000000.000000,475000000.000000,,494763000000.000000,45421000000.000000,4519000000.000000,,544703000000.000000,52369000000.000000,605936000000.000000,2485725000000.000000,,195000000000.000000,,491499000000.000000,1500000000.000000,489999000000.000000,491499000000.000000,154895000000.000000,112891000000.000000,954285000000.000000,3440010000000.000000,780000000.000000
12M 2009,,,297996000000.000000,16222000000.000000,585257000000.000000,554418000000.000000,30839000000.000000,585257000000.000000,60596000000.000000,43503000000.000000,17093000000.000000,60596000000.000000,445607000000.000000,73533000000.000000,1479211000000.000000,,27469000000.000000,,27469000000.000000,27469000000.000000,45708000000.000000,879817000000.000000,42020000000.000000,283416000000.000000,,323489000000.000000,1601919000000.000000,3081130000000.000000,,,1319201000000.000000,754412000000.000000,,363847000000.000000,48048000000.000000,411895000000.000000,,36983000000.000000,24107000000.000000,61090000000.000000,49520000000.000000,19070000000.000000,,,19404000000.000000,3331000000.000000,,22735000000.000000,479000000.000000,1319201000000.000000,806079000000.000000,245691000000.000000,638000000.000000,,481138000000.000000,32158000000.000000,5548000000.000000,,518844000000.000000,40906000000.000000,806079000000.000000,2125280000000.000000,,195000000000.000000,,532964000000.000000,1700000000.000000,531264000000.000000,532964000000.000000,192507000000.000000,35379000000.000000,955850000000.000000,3081130000000.000000,780000000.000000
12M 2010,,,231774000000.000000,78357000000.000000,742112000000.000000,717933000000.000000,24179000000.000000,742112000000.000000,84173000000.000000,66016000000.000000,18157000000.000000,84173000000.000000,615893000000.000000,81049000000.000000,1833358000000.000000,,22675000000.000000,,22675000000.000000,22675000000.000000,36701000000.000000,1025373000000.000000,40514000000.000000,272775000000.000000,,359743000000.000000,1757781000000.000000,3591139000000.000000,,,1664968000000.000000,1024770000000.000000,,406906000000.000000,132661000000.000000,539567000000.000000,,15634000000.000000,,15634000000.000000,33923000000.000000,20598000000.000000,,,21215000000.000000,9261000000.000000,,30476000000.000000,,1664968000000.000000,905722000000.000000,298319000000.000000,1067000000.000000,,482357000000.000000,53201000000.000000,18611000000.000000,,554169000000.000000,52167000000.000000,905722000000.000000,2570690000000.000000,,195000000000.000000,,593426000000.000000,1900000000.000000,591526000000.000000,593426000000.000000,202499000000.000000,29524000000.000000,1020449000000.000000,3591139000000.000000,780000000.000000
12M 2011,,,101512000000.000000,57115000000.000000,1048774000000.000000,1024716000000.000000,24058000000.000000,1048774000000.000000,138541000000.000000,85783000000.000000,52758000000.000000,138541000000.000000,1009297000000.000000,139179000000.000000,2494418000000.000000,,71499000000.000000,14407000000.000000,57092000000.000000,71499000000.000000,30214000000.000000,813225000000.000000,36083000000.000000,8342000000.000000,,586517000000.000000,1545880000000.000000,4040298000000.000000,,,2403747000000.000000,1259709000000.000000,,664197000000.000000,331021000000.000000,995218000000.000000,,31000000000.000000,18000000.000000,31018000000.000000,46318000000.000000,21371000000.000000,,,32284000000.000000,12371000000.000000,,44655000000.000000,5458000000.000000,2403747000000.000000,682700000000.000000,41696000000.000000,1823000000.000000,,473606000000.000000,84072000000.000000,15632000000.000000,,573310000000.000000,65871000000.000000,682700000000.000000,3086447000000.000000,,195000000000.000000,,643127000000.000000,2100000000.000000,641027000000.000000,643127000000.000000,69997000000.000000,45727000000.000000,953851000000.000000,4040298000000.000000,780000000.000000
12M 2012,,,117597000000.000000,9859000000.000000,941557000000.000000,933166000000.000000,8391000000.000000,941557000000.000000,187755000000.000000,128459000000.000000,59296000000.000000,187755000000.000000,817982000000.000000,88091000000.000000,2162841000000.000000,,84935000000.000000,74964000000.000000,9971000000.000000,84935000000.000000,37001000000.000000,1072211000000.000000,14583000000.000000,10376000000.000000,,672827000000.000000,1891933000000.000000,4054774000000.000000,,,2570964000000.000000,992528000000.000000,,807276000000.000000,85171000000.000000,892447000000.000000,,36315000000.000000,5000000.000000,36320000000.000000,48064000000.000000,28709000000.000000,,474801000000.000000,58342000000.000000,26676000000.000000,,559819000000.000000,13077000000.000000,2570964000000.000000,350263000000.000000,1314000000.000000,5789000000.000000,,,230882000000.000000,29890000000.000000,,260772000000.000000,82388000000.000000,350263000000.000000,2921227000000.000000,,195000000000.000000,4325000000.000000,701166000000.000000,2300000000.000000,698866000000.000000,701166000000.000000,153254000000.000000,79802000000.000000,1133547000000.000000,4054774000000.000000,780000000.000000
12M 2013,,,148149000000.000000,12361000000.000000,1142836000000.000000,1137398000000.000000,5438000000.000000,1142836000000.000000,57476000000.000000,57476000000.000000,,57476000000.000000,891486000000.000000,147711000000.000000,2400019000000.000000,,95830000000.000000,12256000000.000000,83574000000.000000,95830000000.000000,37844000000.000000,1107351000000.000000,12420000000.000000,11567000000.000000,,867004000000.000000,2132016000000.000000,4532035000000.000000,,,2105962000000.000000,709987000000.000000,,1113525000000.000000,19394000000.000000,1132919000000.000000,,96072000000.000000,,96072000000.000000,45067000000.000000,30367000000.000000,,,54141000000.000000,23315000000.000000,1578000000.000000,79034000000.000000,12516000000.000000,2105962000000.000000,1035878000000.000000,1844000000.000000,8033000000.000000,,691433000000.000000,229498000000.000000,9310000000.000000,1291000000.000000,931532000000.000000,94469000000.000000,1035878000000.000000,3141840000000.000000,,195000000000.000000,4325000000.000000,761621000000.000000,2500000000.000000,759121000000.000000,761621000000.000000,167495000000.000000,261754000000.000000,1390195000000.000000,4532035000000.000000,780000000.000000
12M 2014,,,235625000000.000000,12677000000.000000,1127196000000.000000,1118710000000.000000,8486000000.000000,1127196000000.000000,49775000000.000000,49775000000.000000,,49775000000.000000,897319000000.000000,181317000000.000000,2503909000000.000000,,139143000000.000000,13501000000.000000,125642000000.000000,139143000000.000000,33591000000.000000,1146700000000.000000,14332000000.000000,12282000000.000000,,818617000000.000000,2164665000000.000000,4668574000000.000000,,,2085203000000.000000,849241000000.000000,,1021737000000.000000,5352000000.000000,1027089000000.000000,,62212000000.000000,,62212000000.000000,30635000000.000000,20554000000.000000,,,69644000000.000000,8922000000.000000,1084000000.000000,79650000000.000000,15822000000.000000,2085203000000.000000,1025856000000.000000,1011000000.000000,9595000000.000000,,693350000000.000000,209218000000.000000,1434000000.000000,216000000.000000,904218000000.000000,111032000000.000000,1025856000000.000000,3111059000000.000000,,195000000000.000000,4325000000.000000,876170000000.000000,2700000000.000000,873470000000.000000,876170000000.000000,192112000000.000000,289908000000.000000,1557515000000.000000,4668574000000.000000,780000000.000000
12M 2015,,,120385000000.000000,23984000000.000000,1333290000000.000000,1328511000000.000000,4779000000.000000,1333290000000.000000,77389000000.000000,77389000000.000000,,77389000000.000000,899518000000.000000,194636000000.000000,2649202000000.000000,,273244000000.000000,,273244000000.000000,273244000000.000000,48867000000.000000,1575155000000.000000,14061000000.000000,11067000000.000000,,821734000000.000000,2744128000000.000000,5393330000000.000000,,,2727244000000.000000,1338218000000.000000,,1139567000000.000000,6695000000.000000,1146262000000.000000,,84281000000.000000,,84281000000.000000,25515000000.000000,23735000000.000000,,,82921000000.000000,3061000000.000000,923000000.000000,86905000000.000000,22328000000.000000,2727244000000.000000,1046466000000.000000,652000000.000000,9927000000.000000,,694589000000.000000,168669000000.000000,949000000.000000,2016000000.000000,866223000000.000000,169664000000.000000,1046466000000.000000,3773710000000.000000,,195000000000.000000,4325000000.000000,855160000000.000000,2900000000.000000,852260000000.000000,855160000000.000000,200868000000.000000,364267000000.000000,1619620000000.000000,5393330000000.000000,1560000000.000000
12M 2016,,,69142000000.000000,10000000000.000000,1487639000000.000000,1289018000000.000000,198621000000.000000,1487639000000.000000,54057000000.000000,54057000000.000000,,54057000000.000000,778226000000.000000,234413000000.000000,2633477000000.000000,,321331000000.000000,,321331000000.000000,321331000000.000000,84867000000.000000,1844071000000.000000,19780000000.000000,9383000000.000000,,745451000000.000000,3024883000000.000000,5658360000000.000000,,,2676623000000.000000,1113969000000.000000,,1238786000000.000000,10083000000.000000,1248869000000.000000,,72703000000.000000,,72703000000.000000,30552000000.000000,29657000000.000000,,,156643000000.000000,1174000000.000000,1115000000.000000,158932000000.000000,21941000000.000000,2676623000000.000000,1302721000000.000000,926000000.000000,9542000000.000000,,696535000000.000000,416873000000.000000,1826000000.000000,1763000000.000000,1116997000000.000000,175256000000.000000,1302721000000.000000,3979344000000.000000,,195000000000.000000,4424000000.000000,915258000000.000000,3100000000.000000,912158000000.000000,915258000000.000000,237538000000.000000,326796000000.000000,1679016000000.000000,5658360000000.000000,1560000000.000000
12M 2017,,,124949000000.000000,10700000000.000000,1333430000000.000000,1000444000000.000000,332986000000.000000,1333430000000.000000,60257000000.000000,60257000000.000000,,60257000000.000000,884839000000.000000,163554000000.000000,2577729000000.000000,,289327000000.000000,,289327000000.000000,289327000000.000000,93260000000.000000,1952808000000.000000,20319000000.000000,7491000000.000000,,828398000000.000000,3191603000000.000000,5769332000000.000000,,,2638368000000.000000,716048000000.000000,,995168000000.000000,5517000000.000000,1000685000000.000000,,61815000000.000000,,61815000000.000000,36160000000.000000,19976000000.000000,,698482000000.000000,75000000000.000000,3599000000.000000,621000000.000000,777702000000.000000,25982000000.000000,2638368000000.000000,1259882000000.000000,404000000.000000,6806000000.000000,,842349000000.000000,192716000000.000000,1981000000.000000,632000000.000000,1037678000000.000000,214994000000.000000,1259882000000.000000,3898250000000.000000,,195000000000.000000,4424000000.000000,1047004000000.000000,3300000000.000000,1043704000000.000000,1047004000000.000000,237830000000.000000,386824000000.000000,1871082000000.000000,5769332000000.000000,1560000000.000000
