Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Saldo Kas Yang Dikeluarkan Atas Akuisisi Entitas Anak,Penambahan Uang Muka Pembelian Aset,Penerimaan Dari Penjualan Aset Tetap,Penurunan Piutang Dari Pihak Berelasi Neto,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Panjang,Penerimaan Uang Muka Setoran Modal,Pembayaran Liabilitas Sewa,Kenaikan Dari Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Biaya Emisi Saham,Penerimaan Setoran Modal Di Entitas Anak Dari Pemegang Saham Pengendali - Sebelum Akuisisi,Penerimaan Uang Muka Setoran Modal Di Entitas Anak Dari Pemegang Saham Pengendali - Sebelum Akuisisi,Pembayaran Utang Pembiayaan Konsumen Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Periode
12M 2021,-5375687309.000000,108048053170.000000,84068785.000000,-113507809264.000000,,-5375687309.000000,-26177644096.000000,-27313984096.000000,,,150000000.000000,986340000.000000,-26177644096.000000,26639461596.000000,42939000000.000000,,,-14489426543.000000,,-1764483908.000000,,,,,,-45627953.000000,26639461596.000000,-4913869809.000000,16629845139.000000,11715975330.000000
12M 2022,51616551156.000000,284642171126.000000,8634516.000000,-233034254486.000000,,51616551156.000000,-33767013609.000000,-34013955109.000000,,,188000000.000000,58941500.000000,-33767013609.000000,-11855484872.000000,15557820000.000000,,,-25579079279.000000,,-1809862320.000000,,,,,,-24363273.000000,-11855484872.000000,5994052675.000000,11715975330.000000,17710028005.000000
12M 2023,73680309912.000000,480188009859.000000,73753586.000000,-406581453533.000000,,73680309912.000000,-83467227720.000000,-80139417948.000000,,-3331783768.000000,3973996.000000,,-83467227720.000000,18983803418.000000,75193105000.000000,,,-63381175886.000000,,-3349969705.000000,,,,7365653167.000000,3156190842.000000,,18983803418.000000,9196885610.000000,17710028005.000000,26906913615.000000
