Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,11715975330.000000,932569184.000000,,932569184.000000,932569184.000000,562558198.000000,,562558198.000000,562558198.000000,14586274340.000000,9154665499.000000,36952042551.000000,,62300127840.000000,513607333.000000,61300581091.000000,124114316264.000000,161066358815.000000,,,55239259394.000000,,6060548000.000000,12075115228.000000,18135663228.000000,,1898891665.000000,5550020032.000000,7448911697.000000,6846698411.000000,2561806638.000000,20246179420.000000,55239259394.000000,352034902276.000000,,327354176388.000000,,23756599706.000000,351110776094.000000,924126182.000000,352034902276.000000,407274161670.000000,,19741720000.000000,,-265949522855.000000,,,-246207802855.000000,161066358815.000000,8095888.000000
12M 2022,,,17710028005.000000,3064928524.000000,,3064928524.000000,3064928524.000000,523123968.000000,,523123968.000000,523123968.000000,18514380027.000000,4319030246.000000,44131490770.000000,,67107221344.000000,195496655.000000,66550602755.000000,133853320754.000000,177984811524.000000,,,402135858541.000000,,6587834773.000000,22011659326.000000,28599494099.000000,,2528080788.000000,19438384257.000000,21966465045.000000,7824626893.000000,3842481142.000000,339902791362.000000,402135858541.000000,81653334914.000000,,62924000000.000000,,17710828297.000000,80634828297.000000,1018506617.000000,81653334914.000000,483789193455.000000,,19741720000.000000,,-325546101931.000000,,,-305804381931.000000,177984811524.000000,8095888.000000
12M 2023,,,26906913615.000000,5060787332.000000,,5060787332.000000,5060787332.000000,411427510.000000,,411427510.000000,411427510.000000,46832474559.000000,5099937809.000000,84311540825.000000,,119189253594.000000,228813979.000000,135714171205.000000,255132238778.000000,339443779603.000000,,,154814458962.000000,,1010100000.000000,43919095818.000000,44929195818.000000,,2151466983.000000,32100734774.000000,34252201757.000000,15299310820.000000,8290025778.000000,52043724789.000000,154814458962.000000,107144640259.000000,,74082444205.000000,,31166400326.000000,105248844531.000000,1895795728.000000,107144640259.000000,261959099221.000000,,361686572500.000000,32988866421.000000,-324545202007.000000,,7354443468.000000,77484680382.000000,339443779603.000000,144873829.000000
