Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.01 B,-4175.94,-0.00,0.00,,-20.99%,13.73%,-62.97%,-21.19
12M 2022,0.01 B,-7402.70,-0.00,0.00,,-33.67%,19.60%,43.47%,-12.97
12M 2023,0.14 B,7.97,0.00,0.00,,0.34%,1.49%,-0.34%,0.02
