Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1314481033645.000000,-1307200511333.000000,7280522312.000000,-4121357408.000000,-1179676382.000000,-2941681026.000000,-4121357408.000000,3159164904.000000,-103090341.000000,363820545.000000,,,,,,-466910886.000000,-103090341.000000,3056074563.000000,-764697500.000000,2291377063.000000,-779294537.000000,1512082526.000000,-2670750.000000,1509411776.000000,1512082526.000000,64821242.000000,1447261284.000000,1512082526.000000,1509411776.000000,62150492.000000,1447261284.000000,1509411776.000000
12M 2018,2489674657427.000000,-2446994647355.000000,42680010072.000000,-26803779804.000000,-5740299477.000000,-21063480327.000000,-26803779804.000000,15876230268.000000,12203659308.000000,4777171470.000000,-204912210.000000,634448109.000000,,,,6996951939.000000,12203659308.000000,28079889576.000000,-6048753550.000000,22031136026.000000,383995064.000000,22415131090.000000,648072115.000000,23063203205.000000,22415131090.000000,15757529670.000000,6657601420.000000,22415131090.000000,23063203205.000000,15922053636.000000,7141149569.000000,23063203205.000000
12M 2019,6153637893298.000000,-6044380434832.000000,109257458466.000000,-44433957951.000000,-38189412422.000000,-6244545529.000000,-44433957951.000000,64823500515.000000,9765324876.000000,7686094752.000000,-2643400738.000000,858439140.000000,,-3112975795.000000,-34007389.000000,7011174906.000000,9765324876.000000,74588825391.000000,-17351928945.000000,57236896446.000000,34318619.000000,57271215065.000000,-403881921.000000,56867333144.000000,57271215065.000000,35551962191.000000,21719252874.000000,57271215065.000000,56867333144.000000,35453088662.000000,21414244482.000000,56867333144.000000
12M 2020,7597266302278.000000,-7493529427508.000000,103736874770.000000,-42891559871.000000,-37224754145.000000,-5666805726.000000,-42891559871.000000,60845314899.000000,5868677429.000000,16254460201.000000,-9195685657.000000,,,,-1876854236.000000,686757121.000000,5868677429.000000,66713992328.000000,-12403441058.000000,54310551270.000000,,54310551270.000000,118471500.000000,54429022770.000000,54310551270.000000,23949985980.000000,30360565290.000000,54310551270.000000,54429022770.000000,23991187376.000000,30437835394.000000,54429022770.000000
12M 2021,8885891410028.000000,-8765234833769.000000,120656576259.000000,-61148196762.000000,-47431877548.000000,-13716319214.000000,-61148196762.000000,59508379497.000000,289086792774.000000,6765162646.000000,-11140309170.000000,-49304478.000000,,3053328172.000000,-684632697.000000,291142548301.000000,289086792774.000000,348595172271.000000,-10012191692.000000,338582980579.000000,,338582980579.000000,-63197870.000000,338519782709.000000,338582980579.000000,162080420033.000000,176502560546.000000,338582980579.000000,338519782709.000000,162053302596.000000,176466480113.000000,338519782709.000000
12M 2022,9836622374855.000000,-9711958804181.000000,124663570674.000000,-98659948934.000000,-72272683069.000000,-26387265865.000000,-98659948934.000000,26003621740.000000,5109409746.000000,5352615773.000000,-11405463800.000000,90773965.000000,,,1991914375.000000,9079569433.000000,5109409746.000000,31113031486.000000,-7788573984.000000,23324457502.000000,,23324457502.000000,7994921.000000,23332452423.000000,23324457502.000000,23497994037.000000,-173536535.000000,23324457502.000000,23332452423.000000,23448511234.000000,-116058811.000000,23332452423.000000
12M 2023,9526101865748.000000,-9389334011193.000000,136767854555.000000,-118302868693.000000,-92262005347.000000,-26040863346.000000,-118302868693.000000,18464985862.000000,-489257252955.000000,6593865290.000000,-8466935069.000000,-2318856165.000000,,,-310422994.000000,-484754904017.000000,-489257252955.000000,-470792267093.000000,-6965222081.000000,-477757489174.000000,,-477757489174.000000,-559302957.000000,-478316792131.000000,-477757489174.000000,-277235950184.000000,-200521538990.000000,-477757489174.000000,-478316792131.000000,-277380000155.000000,-200936791976.000000,-478316792131.000000
12M 2024,6074313841805.000000,-5943770428505.000000,130543413300.000000,-141754771348.000000,-106811579701.000000,-34943191647.000000,-141754771348.000000,-11211358048.000000,-135829825915.000000,5841192030.000000,-11457280363.000000,-5979532810.000000,-1987275251.000000,,-730297344.000000,-121516632177.000000,-135829825915.000000,-146681428405.000000,-407737313.000000,-147089165718.000000,,-147089165718.000000,3280000711.000000,-143809165007.000000,-147089165718.000000,-70267507795.000000,-76821657923.000000,-147089165718.000000,-143809165007.000000,-69225854856.000000,-74583310151.000000,-143809165007.000000
