Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Operasi,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Pembayaran Pajak,Penerimaan Bunga Bank,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Pembelian Tanah,Penempatan Kas Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Dari Penawaran Umum Perdana,Penerimaan Uang Muka Setoran Modal,Biaya Emisi Saham,Penerimaan Dari Pelaksanaan Waran,Pembayaran Dividen,Penerimaan Utang Pembiayaan Konsumen,Pelunasan Pinjaman Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-1557012575.000000,56019281567.000000,-43149855815.000000,-5372074618.000000,-1371693587.000000,21155275.000000,-162030313.000000,-3728503015.000000,,-3813292069.000000,-1557012575.000000,-4489361102.000000,-1147000000.000000,,-5303915000.000000,1961553898.000000,-4489361102.000000,4610514269.000000,9000000000.000000,-507358198.000000,,,,5946000000.000000,,,,,,,-436500000.000000,,-9391627533.000000,4610514269.000000,-1435859408.000000,-3263625066.000000,-4699484474.000000
12M 2020,20714482634.000000,99777557064.000000,-63065677654.000000,-6219364814.000000,-1683122470.000000,168597323.000000,-407758490.000000,-1735763150.000000,,-6119985175.000000,20714482634.000000,-7091434732.000000,-4065775128.000000,,-3025659604.000000,,-7091434732.000000,-16048355884.000000,,-827010038.000000,,,,,,,,,,,-8736856800.000000,-392077161.000000,-6092411885.000000,-16048355884.000000,-2425307982.000000,-4699484474.000000,-7124792456.000000
12M 2021,20171931972.000000,118683009935.000000,-78906301231.000000,-9170403815.000000,-1228542031.000000,336973269.000000,-143458905.000000,-2431539375.000000,,-6967805875.000000,20171931972.000000,-2198087625.000000,-716597493.000000,,-1481490132.000000,,-2198087625.000000,-20079020079.000000,7593000000.000000,-8086268462.000000,,,,,,,,,,,-1177299426.000000,-550912071.000000,-17857540120.000000,-20079020079.000000,-2105175732.000000,-7124792456.000000,-9229968188.000000
12M 2022,20277561530.000000,149095694050.000000,-97204339291.000000,-8445127254.000000,-12624726915.000000,129204673.000000,196588590.000000,-3256680248.000000,,-7613052075.000000,20277561530.000000,-835784388.000000,-492855973.000000,,-3342928415.000000,3000000000.000000,-835784388.000000,-6447451268.000000,,-1076022489.000000,,,,,,,,,,10350656226.000000,,-731000000.000000,-14991085005.000000,-6447451268.000000,12994325874.000000,-9229968188.000000,3764357686.000000
12M 2023,20492588641.000000,161031174835.000000,-107686062442.000000,-11522582542.000000,-11319237853.000000,141554567.000000,-339844130.000000,-3425241299.000000,,-6387172495.000000,20492588641.000000,-33816200844.000000,,-7500000000.000000,-30155793027.000000,3839592183.000000,-33816200844.000000,40537752525.000000,11293625380.000000,-8655973066.000000,,,70000000000.000000,,-7973000000.000000,16555000.000000,-1833000000.000000,,,,,-1121000000.000000,-21189454789.000000,40537752525.000000,27214140322.000000,3764357687.000000,30978498009.000000
12M 2024,15209227247.000000,184602795882.000000,-112183554902.000000,-44928399406.000000,-4090740518.000000,,-555325587.000000,-3464693427.000000,,-4170854795.000000,15209227247.000000,11796126687.000000,,,-2825201807.000000,14621328494.000000,11796126687.000000,-26646336475.000000,17445987500.000000,,10077512500.000000,-1820462490.000000,,,,1465450.000000,-1913449247.000000,,,,,-1560000000.000000,-48877390188.000000,-26646336475.000000,359017459.000000,30978498009.000000,31337515468.000000
