Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,61512562828.000000,-44904170861.000000,16608391967.000000,-7121811159.000000,-7121811159.000000,-7121811159.000000,9486580808.000000,-1992613209.000000,1961553898.000000,-3813292069.000000,-140875038.000000,-1992613209.000000,7493967599.000000,-1889528639.000000,-1923819000.000000,34290361.000000,-1889528639.000000,5604438960.000000,12959440.000000,12959440.000000,12959440.000000,5617398400.000000,5604438960.000000,5604438960.000000,,5604438960.000000,5617398400.000000,5617398400.000000,,5617398400.000000
12M 2020,91357234375.000000,-69420532285.000000,21936702090.000000,-7936107613.000000,-7936107613.000000,-7936107613.000000,14000594477.000000,-6359146342.000000,,-6216158014.000000,-142988328.000000,-6359146342.000000,7641448135.000000,-1725589487.000000,-1771861520.000000,46272033.000000,-1725589487.000000,5915858648.000000,6510785.000000,6510785.000000,6510785.000000,5922369433.000000,5915858648.000000,5915858648.000000,,5915858648.000000,5922369433.000000,5922369433.000000,,5922369433.000000
12M 2021,117975503191.000000,-90624233949.000000,27351269242.000000,-9662786539.000000,-9662786539.000000,-9662786539.000000,17688482703.000000,-6925943447.000000,,-7067893804.000000,141950357.000000,-6925943447.000000,10762539256.000000,-2414997094.000000,-2508804540.000000,93807446.000000,-2414997094.000000,8347542162.000000,45589333.000000,45589333.000000,45589333.000000,8393131495.000000,8347542162.000000,8347542162.000000,,8347542162.000000,8393131495.000000,8393131495.000000,,8393131495.000000
12M 2022,147917868234.000000,-111034103153.000000,36883765081.000000,-13143736409.000000,-13143736409.000000,-13143736409.000000,23740028672.000000,-8188992376.000000,-755624687.000000,-7759160952.000000,325793263.000000,-8188992376.000000,15551036296.000000,-3327213449.000000,-3366188100.000000,38974651.000000,-3327213449.000000,12223822847.000000,343565433.000000,343565433.000000,343565433.000000,12567388280.000000,12223822847.000000,12223822847.000000,,12223822847.000000,12567388280.000000,12567388280.000000,,12567388280.000000
12M 2023,166785011983.000000,-127613154799.000000,39171857184.000000,-17966775846.000000,-17966775846.000000,-17966775846.000000,21205081338.000000,-5191102804.000000,-54135629.000000,-6355862583.000000,1218895408.000000,-5191102804.000000,16013978534.000000,-3232112233.000000,-3276018020.000000,43905787.000000,-3232112233.000000,12781866301.000000,25573952.000000,25573952.000000,25573952.000000,12807440253.000000,12781866301.000000,12781866301.000000,,12781866301.000000,12807440253.000000,12807440253.000000,,12807440253.000000
12M 2024,187914914020.000000,-159604971800.000000,28309942220.000000,-21316930989.000000,-21316930989.000000,-21316930989.000000,6993011231.000000,-4920845024.000000,,,-4920845024.000000,-4920845024.000000,2072166207.000000,-171842039.000000,-171842039.000000,,-171842039.000000,1900324168.000000,410883026.000000,410883026.000000,410883026.000000,2311207194.000000,1900324168.000000,1900324168.000000,,1900324168.000000,2311207194.000000,2311207194.000000,,2311207194.000000
