Period,Total Pendapatan,Penjualan,Pendapatan Sewa Pembiayaan,Pendapatan Syariah,Pendapatan Anjak Piutang,Pendapatan Pembiayaan Konsumen,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,105830145086.000000,,85232880271.000000,20089674399.000000,479212771.000000,28377645.000000,,105830145086.000000,,105830145086.000000,-221047309061.000000,-47031737501.000000,-118400806078.000000,-55614765482.000000,-221047309061.000000,-115217163975.000000,-201957684176.000000,-120582635170.000000,,-81375049006.000000,-201957684176.000000,-317174848151.000000,78214042714.000000,-238960805437.000000,1265272088.000000,-237695533349.000000,-238960805437.000000,-238960805437.000000,,-238960805437.000000,-237695533349.000000,-237695533349.000000,,-237695533349.000000
12M 2017,-53159583848.000000,,32422139413.000000,-85699579167.000000,117855906.000000,,,-53159583848.000000,,-53159583848.000000,-132508898316.000000,-39972595246.000000,-40755423343.000000,-51780879727.000000,-132508898316.000000,-185668482164.000000,-101075830047.000000,-106725474789.000000,,5649644742.000000,-101075830047.000000,-286744312211.000000,71148250700.000000,-215596061511.000000,-436310171.000000,-216032371682.000000,-215596061511.000000,-215596061511.000000,,-215596061511.000000,-216032371682.000000,-216032371682.000000,,-216032371682.000000
12M 2018,-79701136581.000000,,22037275029.000000,-103577799092.000000,,,1839387482.000000,-79701136581.000000,,-79701136581.000000,-109708564628.000000,-51923660317.000000,-57582087542.000000,-202816769.000000,-109708564628.000000,-189409701209.000000,10189876572.000000,-4592109462.000000,,14781986034.000000,10189876572.000000,-179219824637.000000,13146063011.000000,-166073761626.000000,981365548.000000,-165092396078.000000,-166073761626.000000,-166073761626.000000,,-166073761626.000000,-165092396078.000000,-165092396078.000000,,-165092396078.000000
12M 2019,170867370445.000000,,31401998361.000000,135434089771.000000,,,4031282313.000000,170867370445.000000,,170867370445.000000,-260219354068.000000,-54564450198.000000,-250307376130.000000,44652472260.000000,-260219354068.000000,-89351983623.000000,-58055852782.000000,-24329443319.000000,,-33726409463.000000,-58055852782.000000,-147407836405.000000,29475721329.000000,-117932115076.000000,-44205158.000000,-117976320234.000000,-117932115076.000000,-117932115076.000000,,-117932115076.000000,-117976320234.000000,-117976320234.000000,,-117976320234.000000
12M 2020,-37127413725.000000,,15428417836.000000,-53374007859.000000,,,818176298.000000,-37127413725.000000,,-37127413725.000000,-531141327464.000000,-32176392260.000000,-488723889979.000000,-10241045225.000000,-531141327464.000000,-568268741189.000000,-16270806767.000000,-13250771595.000000,,-3020035172.000000,-16270806767.000000,-584539547956.000000,-13557693457.000000,-598097241413.000000,424321030.000000,-597672920383.000000,-598097241413.000000,-598097241413.000000,,-598097241413.000000,-597672920383.000000,-597672920383.000000,,-597672920383.000000
12M 2021,12205045524.000000,,13836695778.000000,-2213126089.000000,,,581475835.000000,12205045524.000000,,12205045524.000000,-153938152042.000000,-17496296940.000000,-133503854754.000000,-2938000348.000000,-153938152042.000000,-141733106518.000000,-10035749990.000000,-9085694142.000000,,-950055848.000000,-10035749990.000000,-151768856508.000000,-49023052377.000000,-200791908885.000000,1257956710.000000,-199533952175.000000,-200791908885.000000,-200791908885.000000,,-200791908885.000000,-199533952175.000000,-199533952175.000000,,-199533952175.000000
12M 2022,32420957432.000000,,14610642635.000000,1173055021.000000,,,16637259776.000000,32420957432.000000,,32420957432.000000,-32701727576.000000,-12591876829.000000,-17380712548.000000,-2729138199.000000,-32701727576.000000,-280770144.000000,-5731279609.000000,-5731279609.000000,,,-5731279609.000000,-6012049753.000000,-35494329761.000000,-41506379514.000000,,-41506379514.000000,-41506379514.000000,-41506379514.000000,,-41506379514.000000,-41506379514.000000,-41506379514.000000,,-41506379514.000000
12M 2023,4176800357.000000,3905762875.000000,,,,,271037482.000000,4176800357.000000,-4933725797.000000,-756925440.000000,-16939111956.000000,-12009102686.000000,9892424193.000000,-14822433463.000000,-16939111956.000000,-17696037396.000000,-9942108008.000000,-28868530277.000000,2693345345.000000,16233076924.000000,-9942108008.000000,-27638145404.000000,-40156263069.000000,-67794408473.000000,3153702.000000,-67791254771.000000,-67794408473.000000,-67794408473.000000,,-67794408473.000000,-67791254771.000000,-67791254771.000000,,-67791254771.000000
12M 2024,27384290290.000000,4384424907.000000,,,,,22999865383.000000,27384290290.000000,-23416421588.000000,3967868702.000000,-30245173904.000000,-11398633957.000000,-79884501.000000,-18766655446.000000,-30245173904.000000,-26277305202.000000,-34777439344.000000,-40240381246.000000,888197840.000000,4574744062.000000,-34777439344.000000,-61054744546.000000,-40260049343.000000,-101314793889.000000,14936116.000000,-101299857773.000000,-101314793889.000000,-101314793889.000000,,-101314793889.000000,-101299857773.000000,-101299857773.000000,,-101299857773.000000
