Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Sewa Pembiayaan,Sewa Ijarah,Total Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pengeluaran Kas Untuk,"Kegiatan Sewa Pembiayaan, Anjak Piutang Dan Pembiayaan Konsumen",Pembayaran Beban Usaha,Total Pengeluaran Kas Untuk,Pembayaran Beban Keuangan,Bagi Hasil,Beban Bunga Dan Administrasi Bank,Total Pembayaran Beban Keuangan,Pendapatan Bunga,Penerimaan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Ijarah Muntahiyah Bittamlik,Penempatan Aset Program,Penjualan Aset Tetap,Peningkatan (Penurunan) Titipan Uang Muka Sewa Ijarah Muntahiyah Bittamlik,Penjualan Agunan Yang Diambil Alih,Penempatan Rekening Bank Yang Dibatasi Penggunaannya,Kas Bersih Digunakan Untuk Aktivitas Pendanaan,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Pembayaran Mtn,Penerimaan Dari Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Lembaga Keuangan,Put I,Pembayaran Atas Utang Sewa,Pembayaran Emisi Saham,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,367439507396.000000,,435449280605.000000,419264501975.000000,854713782580.000000,,,-198107041581.000000,-108335470430.000000,-306442512011.000000,,-55319694326.000000,-118941387102.000000,-174261081428.000000,340154084.000000,,-6910835829.000000,,367439507396.000000,-41312213590.000000,-75550452097.000000,,,-12513164064.000000,48229545460.000000,-1415528843.000000,,-62614046.000000,-41312213590.000000,-317409541349.000000,-306049604741.000000,-12802164815.000000,1442228207.000000,,,,,,,-317409541349.000000,8717752457.000000,7134981542.000000,-157237051.000000,15695496948.000000
12M 2017,190576457291.000000,,247682707759.000000,150058534509.000000,397741242268.000000,,,-47384538366.000000,-10349487207.000000,-57734025573.000000,,-41505779475.000000,-103644696537.000000,-145150476012.000000,207624956.000000,,-4487908348.000000,,190576457291.000000,-24602855094.000000,-12546605300.000000,,,-8546972824.000000,1483636363.000000,-2311414333.000000,,-2681499000.000000,-24602855094.000000,-150112859779.000000,-130310271895.000000,-4862746789.000000,-1689841095.000000,,-13250000000.000000,,,,,-150112859779.000000,15860742418.000000,15695496948.000000,-37940979.000000,31518298387.000000
12M 2018,59790683268.000000,,131938551332.000000,84406481760.000000,216345033092.000000,,,-128039790321.000000,-2806939887.000000,-130846730208.000000,,-11803481881.000000,-18887445689.000000,-30690927570.000000,1014683234.000000,3968624720.000000,,,59790683268.000000,-1591966648.000000,-4547614068.000000,,,,,2978142420.000000,,-22495000.000000,-1591966648.000000,-17098816922.000000,-79545924757.000000,-382215272.000000,-2187450237.000000,,-11222013856.000000,50135492000.000000,,-1530000000.000000,27633295200.000000,-17098816922.000000,41099899698.000000,31518298387.000000,186659245.000000,72804857330.000000
12M 2019,58949278180.000000,,87760066062.000000,30012405060.000000,117772471122.000000,,,-9907526840.000000,-18681704761.000000,-28589231601.000000,,-16990323642.000000,-13623389982.000000,-30613713624.000000,379752283.000000,,,,58949278180.000000,-513346917.000000,,,,,3046305083.000000,,,-3559652000.000000,-513346917.000000,-108699608379.000000,-97003425760.000000,-556554240.000000,713396297.000000,,-11853024676.000000,,,,,-108699608379.000000,-50263677116.000000,72804857330.000000,1451153213.000000,23992333427.000000
12M 2020,11824935883.000000,,52592502343.000000,12922042514.000000,65514544857.000000,,,-3945790614.000000,-30742561846.000000,-34688352460.000000,,-10228662644.000000,-8975947812.000000,-19204610456.000000,203353942.000000,,,,11824935883.000000,730581818.000000,,,,,845454545.000000,,,-114872727.000000,730581818.000000,-28411217498.000000,-19768212197.000000,-357506441.000000,,,-8285498860.000000,,,,,-28411217498.000000,-15855699797.000000,23992333426.000000,74204898.000000,8210838527.000000
12M 2021,34405632574.000000,,56875676015.000000,901402622.000000,57777078637.000000,,,-1860364897.000000,-16198278024.000000,-18058642921.000000,,-2942270072.000000,-2485951933.000000,-5428222005.000000,115418863.000000,,,,34405632574.000000,145090909.000000,,,9090909.000000,,180000000.000000,,,-44000000.000000,145090909.000000,-30958574965.000000,-25326917268.000000,-140632556.000000,,-149277145.000000,-5341747996.000000,,,,,-30958574965.000000,3592148518.000000,8210838527.000000,-39856838.000000,11763130207.000000
12M 2022,45374509425.000000,,60864034534.000000,1608650269.000000,62472684803.000000,,,-1139363180.000000,-12543423972.000000,-13682787152.000000,,-1870797536.000000,-1671859354.000000,-3542656890.000000,127268664.000000,,,,45374509425.000000,,,,,,,,,,,-21853047276.000000,-25127161415.000000,-77745240.000000,,-443278778.000000,3795138157.000000,,,,,-21853047276.000000,23521462149.000000,11763130207.000000,-1643236099.000000,33641356257.000000
12M 2023,-22408387032.000000,3483957944.000000,104379047108.000000,3362024801.000000,3483957944.000000,,,,-26025252111.000000,-26025252111.000000,,-1094092064.000000,-653223862.000000,-1747315926.000000,1880223061.000000,,,,-22408387032.000000,-12209900000.000000,,,-12209900000.000000,,,,,,-12209900000.000000,-18337805484.000000,-13689145134.000000,-822268963.000000,,-455838395.000000,-3370552992.000000,,,,,-18337805484.000000,54784979393.000000,33641356257.000000,309210773.000000,88735546423.000000
12M 2024,-15330937655.000000,23667225177.000000,31532671931.000000,385687618.000000,23667225177.000000,,,,-38319258313.000000,-38319258313.000000,,-364822947.000000,-737338799.000000,-1102161746.000000,829723754.000000,,-406466527.000000,,-15330937655.000000,-37950000.000000,,,-37950000.000000,,,,,,-37950000.000000,-46732603920.000000,-13480123897.000000,-4138440429.000000,,-21949393789.000000,-7119645805.000000,,-45000000.000000,,,-46732603920.000000,-30183132026.000000,88735546423.000000,1738468468.000000,60290882865.000000
