Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,88464453282.000000,-70791495783.000000,17672957499.000000,-6006898720.000000,-6006898720.000000,-6006898720.000000,11666058779.000000,-4919469246.000000,,-4935658789.000000,16189543.000000,-4919469246.000000,6746589533.000000,-1682599998.000000,5063989535.000000,-4316071.000000,5059673464.000000,5063989535.000000,5063989535.000000,,5063989535.000000,5059673464.000000,5059673464.000000,,5059673464.000000
12M 2020,95955756721.000000,-76630110927.000000,19325645794.000000,-7267353423.000000,-7267353423.000000,-7267353423.000000,12058292371.000000,-3238084221.000000,,-4914600188.000000,1676515967.000000,-3238084221.000000,8820208150.000000,-2051622747.000000,6768585403.000000,-6436785.000000,6762148618.000000,6768585403.000000,6768585403.000000,,6768585403.000000,6762148618.000000,6762148618.000000,,6762148618.000000
12M 2021,118252970540.000000,-95333615835.000000,22919354705.000000,-7592887761.000000,-7592887761.000000,-7592887761.000000,15326466944.000000,-5049702989.000000,,-5626191443.000000,576488454.000000,-5049702989.000000,10276763955.000000,-2047300879.000000,8229463076.000000,-4591346.000000,8224871730.000000,8229463076.000000,8229463076.000000,,8229463076.000000,8224871730.000000,8224871730.000000,,8224871730.000000
12M 2022,119023798846.000000,-100844452492.000000,18179346354.000000,-7462908676.000000,-7462908676.000000,-7462908676.000000,10716437678.000000,-3021620044.000000,,-6706188591.000000,3684568547.000000,-3021620044.000000,7694817634.000000,-1547105029.000000,6147712605.000000,40263876.000000,6187976481.000000,6147712605.000000,6147712605.000000,,6147712605.000000,6187976481.000000,6187976481.000000,,6187976481.000000
12M 2023,193097121715.000000,-168887709085.000000,24209412630.000000,-9626038939.000000,-9626038939.000000,-9626038939.000000,14583373691.000000,-9247428665.000000,,-9254222828.000000,6794163.000000,-9247428665.000000,5335945026.000000,-1137053306.000000,4198891720.000000,8399871.000000,4207291591.000000,4198891720.000000,4198891720.000000,,4198891720.000000,4207291591.000000,4207291591.000000,,4207291591.000000
12M 2024,280301443290.000000,-246669043930.000000,33632399360.000000,-8891900280.000000,-8891900280.000000,-8891900280.000000,24740499080.000000,-17640745962.000000,,-17645453703.000000,4707741.000000,-17640745962.000000,7099753118.000000,-1349639682.000000,5750113436.000000,36902004.000000,5787015440.000000,5750113436.000000,5750113436.000000,,5750113436.000000,5787015440.000000,5787015440.000000,,5787015440.000000
