Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,12941197964.000000,35251084360.000000,,,35251084360.000000,,,,691969606.000000,2390818880.000000,51275070810.000000,,7282000000.000000,833559566.000000,162554323518.000000,,,170669883084.000000,221944953894.000000,,,25170407099.000000,18400000000.000000,,915111015.000000,915111015.000000,12982544.000000,1574140604.000000,,4223283750.000000,,44889186.000000,4268172936.000000,25170407099.000000,15268706539.000000,,14809716250.000000,,14809716250.000000,458990289.000000,15268706539.000000,40439113638.000000,,175073164000.000000,200000000.000000,6245354171.000000,-12677915.000000,181505840256.000000,221944953894.000000,3501463280.000000
12M 2020,,,27409758127.000000,52763350549.000000,,,52763350549.000000,1388210743.000000,1388210743.000000,1388210743.000000,76614777.000000,365424917.000000,82003359113.000000,,,1132102407.000000,192432563408.000000,14384000000.000000,163560444913.000000,371509110728.000000,453512469841.000000,,,25431224871.000000,18400000000.000000,,957732586.000000,957732586.000000,1466732500.000000,2896759785.000000,,1710000000.000000,,,1710000000.000000,25431224871.000000,16901946485.000000,,16308000000.000000,,16308000000.000000,593946485.000000,16901946485.000000,42333171356.000000,,282816423250.000000,115368050360.000000,13013939575.000000,-19114700.000000,411179298485.000000,453512469841.000000,5656328465.000000
12M 2021,,,5095557635.000000,72993779526.000000,14798677206.000000,58195102320.000000,72993779526.000000,,,,58114908.000000,396855918.000000,78544307987.000000,,,1377777833.000000,234863813448.000000,13425066667.000000,153286744913.000000,402953402861.000000,481497710848.000000,,,25697834879.000000,18400000000.000000,,13454660.000000,13454660.000000,492271540.000000,2350108679.000000,,2442000000.000000,2000000000.000000,,4442000000.000000,25697834879.000000,14511800790.000000,,13866000000.000000,,13866000000.000000,645800790.000000,14511800790.000000,40209635669.000000,,293139020450.000000,126929358124.000000,21243402651.000000,-23706046.000000,441288075179.000000,481497710848.000000,5862780409.000000
12M 2022,,,14314219188.000000,80000159706.000000,22714103502.000000,57286056204.000000,80000159706.000000,,,,67647998.000000,452208589.000000,94834235481.000000,,,1071766386.000000,409668226281.000000,32894133333.000000,,443634126000.000000,538468361481.000000,,,59875723067.000000,53493622713.000000,,16818000.000000,16818000.000000,,717202182.000000,,3648080172.000000,2000000000.000000,,5648080172.000000,59875723067.000000,10505344210.000000,,9863787864.000000,,9863787864.000000,641556346.000000,10505344210.000000,70381067277.000000,,302861304150.000000,137818316968.000000,27391115256.000000,16557830.000000,468087294204.000000,538468361481.000000,6057226083.000000
12M 2023,,,4104186666.000000,110790591824.000000,65580530209.000000,45210061615.000000,110790591824.000000,,,,91039000.000000,561556105.000000,115547373595.000000,,,742841741.000000,433023423278.000000,30573333333.000000,,464339598352.000000,579886971947.000000,,,75329748654.000000,58985296259.000000,,21089000.000000,21089000.000000,,274767048.000000,,4048596347.000000,12000000000.000000,,16048596347.000000,75329748654.000000,6323926684.000000,,5597293780.000000,,5597293780.000000,726632904.000000,6323926684.000000,81653675338.000000,,315096545100.000000,151521786832.000000,31590006976.000000,24957701.000000,498233296609.000000,579886971947.000000,6301930902.000000
12M 2024,,,3717267968.000000,123720970722.000000,96206550408.000000,27514420314.000000,123720970722.000000,,,,96500000.000000,17203750.000000,127551942440.000000,,,206758880.000000,459835267474.000000,28252533333.000000,255517267.000000,488550076954.000000,616102019394.000000,,,100846393666.000000,70998160495.000000,,612097369.000000,612097369.000000,,471296657.000000,,4155804625.000000,21800000000.000000,2809034520.000000,28764839145.000000,100846393666.000000,11235313679.000000,,1216325841.000000,9253438957.000000,10469764798.000000,765548881.000000,11235313679.000000,112081707345.000000,,315096545100.000000,151521786832.000000,37340120412.000000,61859705.000000,504020312049.000000,616102019394.000000,6301930902.000000
