Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,(10 B),(52 B),(62 B),-17.71
12M 2020,9 B,(62 B),(53 B),-9.39
12M 2021,5 B,(40 B),(34 B),-5.87
12M 2022,22 B,(66 B),(44 B),-7.21
12M 2023,11 B,(58 B),(48 B),-7.58
12M 2024,35 B,(65 B),(30 B),-4.71
