Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,3.50 B,1.45,0.00,0.00,23.52 B,2.28%,2.79%,11.86%,2.36
12M 2020,5.66 B,1.20,102.50,7.25,29.45 B,1.49%,1.65%,3.86%,2.45
12M 2021,5.86 B,1.40,45.71,3.17,34.67 B,1.71%,1.86%,3.47%,2.72
12M 2022,6.06 B,1.01,49.50,2.54,35.26 B,1.14%,1.31%,2.29%,1.60
12M 2023,6.30 B,0.67,74.63,1.63,52.05 B,0.72%,0.84%,2.97%,1.58
12M 2024,6.30 B,0.91,13.19,0.27,65.25 B,0.93%,1.14%,4.85%,1.40
