Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Pengeluaran Kas Untuk Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Uang Muka Pembelian Aset,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Uang Muka Pembelian,Pengembalian Uang Muka Pembelian,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pembiayaan Konsumen,Penerimaan Dari Pinjaman Pihak Berelasi,Penerimaan Dari Utang Lembaga Keuangan,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Total Penerimaan (Pembayaran) Utang Bank,Kenaikan (Penurunan) Pinjaman Pihak Berelasi,Pembayaran Biaya Emisi Saham,Pembayaran Biaya Profesi Penunjang,Penambahan Tambahan Modal Disetor,Penambahan Setoran Modal Saham,Selisih Lebih Dari Pelaksanaan Waran,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-10125324790.000000,61392466698.000000,16189543.000000,-59951288180.000000,-6038195624.000000,-4643433922.000000,-602393915.000000,-298669390.000000,-10125324790.000000,-42538701660.000000,-7282000000.000000,-51872220048.000000,,,16615518388.000000,,,-42538701660.000000,58305347054.000000,-83831694.000000,,,,3032787045.000000,8799766250.000000,11832553295.000000,,,-2020088052.000000,,48576713505.000000,,58305347054.000000,5641320604.000000,7299877360.000000,12941197964.000000
12M 2020,8524464370.000000,78443490532.000000,1676515967.000000,-58595438043.000000,-7124662058.000000,-3136137334.000000,-1026381053.000000,-1712923641.000000,8524464370.000000,-217927412683.000000,-156278444913.000000,-47264967770.000000,,-14384000000.000000,,,,-217927412683.000000,223871508476.000000,-44889186.000000,,,,-2513283750.000000,1498283750.000000,-1015000000.000000,,,-1684311948.000000,,107743259250.000000,118872450360.000000,223871508476.000000,14468560163.000000,12941197964.000000,27409758127.000000
12M 2021,5083609640.000000,98022541563.000000,,-76933031167.000000,-6602495968.000000,-5590393400.000000,-2838550428.000000,-974460960.000000,5083609640.000000,-51500616250.000000,-12000000000.000000,-39500616250.000000,,,,,,-51500616250.000000,24102806118.000000,,1928901154.000000,2000000000.000000,,-1710000000.000000,,-1710000000.000000,,,,,10322597200.000000,11561307764.000000,24102806118.000000,-22314200492.000000,27409758127.000000,5095557635.000000
12M 2022,21837463676.000000,112017418666.000000,,-77288187681.000000,-6494431034.000000,-6172750281.000000,-2883444691.000000,2658858697.000000,21837463676.000000,-65527535416.000000,,-65527535416.000000,,,,,,-65527535416.000000,52908733293.000000,,,,,32297490749.000000,,32297490749.000000,,,,10888958844.000000,9722283700.000000,,52908733293.000000,9218661553.000000,5095557635.000000,14314219188.000000
12M 2023,10725561028.000000,162306689597.000000,,-133780006418.000000,-7301159352.000000,-8909031425.000000,-1252534134.000000,-338397240.000000,10725561028.000000,-58500000000.000000,,-58500000000.000000,,,,,,-58500000000.000000,37564406451.000000,,,10000000000.000000,,1625695637.000000,,1625695637.000000,,,,13703469864.000000,12235240950.000000,,37564406451.000000,-10210032521.000000,14314219188.000000,4104186667.000000
12M 2024,35315123971.000000,267274369553.000000,,-207859260700.000000,-5840731212.000000,-17599409646.000000,-625683238.000000,-34160786.000000,35315123971.000000,-65303620720.000000,,-64997000000.000000,-306620720.000000,,,,,-65303620720.000000,29601578052.000000,,,33862473477.000000,,12864236.000000,-4273759661.000000,-4260895425.000000,,,,,,,29601578052.000000,-386918697.000000,4104186666.000000,3717267969.000000
