Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemsok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemsok Dan Karyawan,Pembayaran Untuk Beban Usaha,Penerimaaan Dari (Pembayaran Untuk) :,Penghasilan Bunga,Pajak Penghasilan,Beban Keuangan,Tagihan Pajak,Kegiatan Operasional Lainnya,Total Penerimaaan Dari (Pembayaran Untuk) :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Setoran Saham,Penambahan Properti Investasi,Perolehan Saham Asosiasi,Perolehan Tambahan Saham Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Utang Bank - Jangka Pendek,Pihak Berelasi,Utang Bank - Jangka Panjang,Utang Jangka Panjang Lain-Lain,Pinjaman Jangka Panjang,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank - Jangka Pendek,Pihak Berelasi,Utang Bank - Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Lain-Lain,Liabilitas Sewa,Pinjaman Jangka Panjang,Total Pembayaran Untuk:,Pembayaran Dividen Kas,Konversi Waran,Pembayaran Cosent Fee,Penempatan Deposito Yang Dibatasi Penggunaannya,Tambahan Modal Bersih,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-39026000000.000000,7818356000000.000000,-7530235000000.000000,,,-7530235000000.000000,,,13509000000.000000,-84373000000.000000,-393586000000.000000,,137303000000.000000,-327147000000.000000,-39026000000.000000,-1073949000000.000000,792060000000.000000,-1866009000000.000000,,,,,-1073949000000.000000,999022000000.000000,,534126000000.000000,,,53668000000.000000,,587794000000.000000,,-5783000000.000000,-93375000000.000000,-136843000000.000000,-6046000000.000000,,,,-242047000000.000000,,,,154725000000.000000,498550000000.000000,999022000000.000000,-113953000000.000000,28322000000.000000,334502000000.000000,248871000000.000000
12M 2009,171218000000.000000,6985358000000.000000,-6437803000000.000000,,,-6437803000000.000000,,,10623000000.000000,-59177000000.000000,-275575000000.000000,,-52208000000.000000,-376337000000.000000,171218000000.000000,-337723000000.000000,20467000000.000000,-350153000000.000000,,,,-8037000000.000000,-337723000000.000000,163828000000.000000,,491121000000.000000,37694000000.000000,,20418000000.000000,,549233000000.000000,,-402652000000.000000,-29512000000.000000,,-6185000000.000000,,,,-438349000000.000000,,,,-30431000000.000000,83375000000.000000,163828000000.000000,-2677000000.000000,-18969000000.000000,248871000000.000000,227225000000.000000
12M 2010,118663000000.000000,6345822000000.000000,-5970042000000.000000,,,-5970042000000.000000,,,3860000000.000000,-48535000000.000000,-70382000000.000000,,-142060000000.000000,-257117000000.000000,118663000000.000000,-30373000000.000000,104374000000.000000,-135027000000.000000,,,280000000.000000,,-30373000000.000000,-68583000000.000000,,354816000000.000000,65950000000.000000,,,,420766000000.000000,,-399497000000.000000,-72466000000.000000,-10488000000.000000,-6951000000.000000,,,,-489402000000.000000,2622000000.000000,,,-2569000000.000000,,-68583000000.000000,19707000000.000000,-4851000000.000000,227225000000.000000,242081000000.000000
12M 2011,-45689000000.000000,7172961000000.000000,-7123788000000.000000,,,-7123788000000.000000,,,3157000000.000000,-41039000000.000000,-72815000000.000000,,15835000000.000000,-94862000000.000000,-45689000000.000000,-29099000000.000000,10837000000.000000,-106113000000.000000,,,,66177000000.000000,-29099000000.000000,1470000000.000000,,193555000000.000000,6288000000.000000,,,,199843000000.000000,,-174641000000.000000,-13235000000.000000,,,-7866000000.000000,,,-195742000000.000000,,,,-2631000000.000000,,1470000000.000000,-73318000000.000000,-286000000.000000,242081000000.000000,168477000000.000000
12M 2012,77586000000.000000,6582502000000.000000,-6487737000000.000000,,,-6487737000000.000000,,,2985000000.000000,-56310000000.000000,-125643000000.000000,,161789000000.000000,-17179000000.000000,77586000000.000000,-84468000000.000000,8416000000.000000,-92884000000.000000,,,,,-84468000000.000000,-44349000000.000000,,146303000000.000000,6968000000.000000,,,,153271000000.000000,,-187780000000.000000,-6587000000.000000,,-7544000000.000000,-551000000.000000,,,-202462000000.000000,,,,4842000000.000000,,-44349000000.000000,-51231000000.000000,3303000000.000000,168477000000.000000,120549000000.000000
12M 2013,54079000000.000000,7379721000000.000000,,-6123554000000.000000,-491938000000.000000,-6615492000000.000000,-547328000000.000000,,2273000000.000000,-55721000000.000000,-153885000000.000000,,44511000000.000000,-162822000000.000000,54079000000.000000,-193721000000.000000,7826000000.000000,-199561000000.000000,,,,-1986000000.000000,-193721000000.000000,198403000000.000000,,523781000000.000000,15096000000.000000,,,,538877000000.000000,,-336179000000.000000,-15160000000.000000,,,-753000000.000000,,,-352092000000.000000,,,,11618000000.000000,,198403000000.000000,58761000000.000000,7452000000.000000,120549000000.000000,186762000000.000000
12M 2014,22363000000.000000,9464530000000.000000,,-8025041000000.000000,-564514000000.000000,-8589555000000.000000,-637854000000.000000,,2201000000.000000,-29971000000.000000,-218192000000.000000,17070000000.000000,14134000000.000000,-214758000000.000000,22363000000.000000,-149443000000.000000,2130000000.000000,-151573000000.000000,,,,,-149443000000.000000,102747000000.000000,,888405000000.000000,34837000000.000000,50000000000.000000,,,973242000000.000000,,-864140000000.000000,-7059000000.000000,-9185000000.000000,,-665000000.000000,,,-881049000000.000000,,,,10554000000.000000,,102747000000.000000,-24333000000.000000,2405000000.000000,186762000000.000000,164834000000.000000
12M 2015,10877000000.000000,8817349000000.000000,,-7323615000000.000000,-668598000000.000000,-7992213000000.000000,-681136000000.000000,,2473000000.000000,-24731000000.000000,-311425000000.000000,96423000000.000000,104137000000.000000,-133123000000.000000,10877000000.000000,-242182000000.000000,1180000000.000000,-240186000000.000000,,-3176000000.000000,,,-242182000000.000000,209140000000.000000,,668976000000.000000,16254000000.000000,24364000000.000000,,,709594000000.000000,,-453080000000.000000,-12286000000.000000,-38375000000.000000,,,,,-503741000000.000000,,,,3287000000.000000,,209140000000.000000,-22165000000.000000,6193000000.000000,164832000000.000000,148860000000.000000
12M 2016,307083000000.000000,8447552000000.000000,,-6640077000000.000000,-555322000000.000000,-7195399000000.000000,-667780000000.000000,,2893000000.000000,-25600000000.000000,-354865000000.000000,23483000000.000000,76799000000.000000,-277290000000.000000,307083000000.000000,-73105000000.000000,3897000000.000000,-74733000000.000000,,-2269000000.000000,,,-73105000000.000000,-279888000000.000000,,255748000000.000000,44927000000.000000,75169000000.000000,,,375844000000.000000,,-609407000000.000000,-22016000000.000000,-16619000000.000000,,-98000000.000000,,,-648140000000.000000,,,,-7592000000.000000,,-279888000000.000000,-45910000000.000000,-1499000000.000000,148862000000.000000,101453000000.000000
12M 2017,-145816000000.000000,6364591000000.000000,,-5293912000000.000000,-452450000000.000000,-5746362000000.000000,-550840000000.000000,,2727000000.000000,-72982000000.000000,-210919000000.000000,73893000000.000000,-5924000000.000000,-213205000000.000000,-145816000000.000000,258426000000.000000,17624000000.000000,-30778000000.000000,271580000000.000000,,,,258426000000.000000,328179000000.000000,,589787000000.000000,95276000000.000000,37072000000.000000,,,722135000000.000000,,-301427000000.000000,-8018000000.000000,-74802000000.000000,,-85000000.000000,,,-384332000000.000000,,,,-9624000000.000000,,328179000000.000000,440789000000.000000,491000000.000000,101453000000.000000,542733000000.000000
12M 2018,109828000000.000000,7456778000000.000000,,-6107016000000.000000,-471549000000.000000,-6578565000000.000000,-458425000000.000000,,4011000000.000000,-56180000000.000000,-328407000000.000000,37304000000.000000,33312000000.000000,-309960000000.000000,109828000000.000000,-54600000000.000000,5441000000.000000,-59478000000.000000,,-563000000.000000,,,-54600000000.000000,-505794000000.000000,,479895000000.000000,7592000000.000000,10000000000.000000,,,497487000000.000000,,-414455000000.000000,-81589000000.000000,-173147000000.000000,,-79000000.000000,,,-669270000000.000000,,,-290300000000.000000,-43711000000.000000,,-505794000000.000000,-450566000000.000000,23130000000.000000,542733000000.000000,115297000000.000000
12M 2019,358866000000.000000,7338522000000.000000,,-6016600000000.000000,-439792000000.000000,-6456392000000.000000,-414324000000.000000,,2139000000.000000,-37205000000.000000,-201185000000.000000,111827000000.000000,15484000000.000000,-108940000000.000000,358866000000.000000,-41810000000.000000,1566000000.000000,-43376000000.000000,,,,,-41810000000.000000,-300624000000.000000,,277998000000.000000,20761000000.000000,,150000000.000000,,298909000000.000000,,-362362000000.000000,-14390000000.000000,-224418000000.000000,,,,,-601170000000.000000,,,,1637000000.000000,,-300624000000.000000,16432000000.000000,-2286000000.000000,115297000000.000000,129443000000.000000
12M 2020,756892000000.000000,7604192000000.000000,,-5980355000000.000000,-529125000000.000000,-6509480000000.000000,-265743000000.000000,,2054000000.000000,-24459000000.000000,-153699000000.000000,25950000000.000000,78077000000.000000,-72077000000.000000,756892000000.000000,-121795000000.000000,29000000.000000,-121824000000.000000,,,,,-121795000000.000000,-463441000000.000000,,,16003000000.000000,,,,16003000000.000000,,-171817000000.000000,-23258000000.000000,-279786000000.000000,,-10000000000.000000,-45728000000.000000,,-530589000000.000000,,,,51145000000.000000,,-463441000000.000000,171656000000.000000,708000000.000000,129243000000.000000,301607000000.000000
12M 2021,99209000000.000000,7992415000000.000000,,-6799315000000.000000,-559209000000.000000,-7358524000000.000000,-388716000000.000000,,1286000000.000000,-79459000000.000000,-190651000000.000000,27824000000.000000,95034000000.000000,-145966000000.000000,99209000000.000000,-166873000000.000000,5420000000.000000,-172293000000.000000,,,,,-166873000000.000000,-136414000000.000000,,,37720000000.000000,,,78414000000.000000,116134000000.000000,,-50883000000.000000,-18344000000.000000,-38065000000.000000,,-22447000000.000000,-51503000000.000000,-89891000000.000000,-271133000000.000000,-670000000.000000,,,19255000000.000000,,-136414000000.000000,-204078000000.000000,596000000.000000,301607000000.000000,98125000000.000000
