Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Obligasi,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Obligasi,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,248871000000.000000,1753923000000.000000,1752713000000.000000,1210000000.000000,1753923000000.000000,546842000000.000000,546842000000.000000,546842000000.000000,1605439000000.000000,373976000000.000000,4529051000000.000000,,73808000000.000000,,,,149255000000.000000,4248285000000.000000,37473000000.000000,,332666000000.000000,4841487000000.000000,9370538000000.000000,,,2170943000000.000000,,1161540000000.000000,,699529000000.000000,71643000000.000000,771172000000.000000,,89865000000.000000,,89865000000.000000,15045000000.000000,106032000000.000000,,,,5406000000.000000,21883000000.000000,,27289000000.000000,,2170943000000.000000,3846737000000.000000,3508681000000.000000,173490000000.000000,4588000000.000000,,,26462000000.000000,,,,26462000000.000000,133516000000.000000,3846737000000.000000,6017680000000.000000,,3959863000000.000000,100757000000.000000,225662000000.000000,100000000.000000,225562000000.000000,225662000000.000000,9623000000.000000,-943047000000.000000,3352858000000.000000,9370538000000.000000,39598628654.000000
12M 2009,,,227225000000.000000,1601944000000.000000,1600465000000.000000,1479000000.000000,1601944000000.000000,487692000000.000000,487692000000.000000,487692000000.000000,1440128000000.000000,237320000000.000000,3994309000000.000000,,41479000000.000000,,,,152076000000.000000,4005372000000.000000,37542000000.000000,,471227000000.000000,4707696000000.000000,8702005000000.000000,,,2101798000000.000000,,1154409000000.000000,,460555000000.000000,48060000000.000000,508615000000.000000,,150936000000.000000,,150936000000.000000,17087000000.000000,255434000000.000000,,,,6871000000.000000,8446000000.000000,,15317000000.000000,,2101798000000.000000,3380017000000.000000,3019237000000.000000,165637000000.000000,2819000000.000000,,,14934000000.000000,,16450000000.000000,,31384000000.000000,160940000000.000000,3380017000000.000000,5481815000000.000000,,4047073000000.000000,96922000000.000000,8491000000.000000,100000000.000000,8391000000.000000,8491000000.000000,9639000000.000000,-941935000000.000000,3220190000000.000000,8702005000000.000000,40470734746.000000
12M 2010,,,242081000000.000000,1500049000000.000000,1498691000000.000000,1358000000.000000,1500049000000.000000,628615000000.000000,628615000000.000000,628615000000.000000,1401367000000.000000,190483000000.000000,3962595000000.000000,,39511000000.000000,,,,262108000000.000000,3655030000000.000000,35818000000.000000,,478382000000.000000,4470849000000.000000,8433444000000.000000,,,5456023000000.000000,2896408000000.000000,1091451000000.000000,,536640000000.000000,33858000000.000000,570498000000.000000,,293377000000.000000,,293377000000.000000,27169000000.000000,568828000000.000000,,,,8292000000.000000,,,8292000000.000000,,5456023000000.000000,393284000000.000000,,188231000000.000000,1334000000.000000,,,5422000000.000000,,13487000000.000000,,18909000000.000000,184810000000.000000,393284000000.000000,5849307000000.000000,,4047073000000.000000,96922000000.000000,-626991000000.000000,100000000.000000,-627091000000.000000,-626991000000.000000,9507000000.000000,-942374000000.000000,2584137000000.000000,8433444000000.000000,40470734746.000000
12M 2011,,,168477000000.000000,1602434000000.000000,1601674000000.000000,760000000.000000,1602434000000.000000,365950000000.000000,365950000000.000000,365950000000.000000,1108037000000.000000,178052000000.000000,3422950000000.000000,,41851000000.000000,,,,469239000000.000000,2707797000000.000000,637000000.000000,,420124000000.000000,3639648000000.000000,7062598000000.000000,,,6095011000000.000000,2937978000000.000000,1288604000000.000000,,432737000000.000000,39893000000.000000,472630000000.000000,,351244000000.000000,,351244000000.000000,25871000000.000000,1011137000000.000000,,,,6996000000.000000,551000000.000000,,7547000000.000000,,6095011000000.000000,421673000000.000000,,187407000000.000000,1929000000.000000,,,549000000.000000,,1417000000.000000,,1966000000.000000,230371000000.000000,421673000000.000000,6516684000000.000000,,4047073000000.000000,96922000000.000000,-2663116000000.000000,100000000.000000,-2663216000000.000000,-2663116000000.000000,9429000000.000000,-944394000000.000000,545914000000.000000,7062598000000.000000,40470734746.000000
12M 2012,,,120549000000.000000,2003452000000.000000,2002783000000.000000,669000000.000000,2003452000000.000000,404256000000.000000,404256000000.000000,404256000000.000000,1163969000000.000000,105437000000.000000,3797663000000.000000,,42474000000.000000,,,,431656000000.000000,2513198000000.000000,583000000.000000,,343296000000.000000,3331207000000.000000,7128870000000.000000,,,6572424000000.000000,3142750000000.000000,1291712000000.000000,,441847000000.000000,53796000000.000000,495643000000.000000,,392604000000.000000,,392604000000.000000,43078000000.000000,1205785000000.000000,,,,,852000000.000000,,852000000.000000,,6572424000000.000000,446861000000.000000,,188410000000.000000,2851000000.000000,,,,,566000000.000000,,566000000.000000,255034000000.000000,446861000000.000000,7019285000000.000000,,4047073000000.000000,96922000000.000000,-3099010000000.000000,100000000.000000,-3099110000000.000000,-3099010000000.000000,9342000000.000000,-944742000000.000000,109585000000.000000,7128870000000.000000,40470734746.000000
12M 2013,,,186762000000.000000,2186456000000.000000,2185107000000.000000,1349000000.000000,2186456000000.000000,40762000000.000000,40762000000.000000,40762000000.000000,1218884000000.000000,126887000000.000000,3759751000000.000000,,42091000000.000000,,,,672107000000.000000,2415055000000.000000,,,290383000000.000000,3419636000000.000000,7179387000000.000000,,,3111016000000.000000,,1634558000000.000000,,803748000000.000000,67476000000.000000,871224000000.000000,,443973000000.000000,,443973000000.000000,27136000000.000000,129427000000.000000,665000000.000000,,,,,,665000000.000000,4033000000.000000,3111016000000.000000,2760749000000.000000,2276168000000.000000,187964000000.000000,18000000.000000,,,,,,,,296599000000.000000,2760749000000.000000,5871765000000.000000,,4047073000000.000000,-1104136000000.000000,-1898695000000.000000,100000000.000000,-1898795000000.000000,-1898695000000.000000,7064000000.000000,256316000000.000000,1307622000000.000000,7179387000000.000000,40470734746.000000
12M 2014,,,164834000000.000000,1689284000000.000000,1676554000000.000000,12730000000.000000,1689284000000.000000,44341000000.000000,44341000000.000000,44341000000.000000,1354574000000.000000,150630000000.000000,3403663000000.000000,,14354000000.000000,295863000000.000000,295863000000.000000,295863000000.000000,658586000000.000000,2372953000000.000000,,,340698000000.000000,3682454000000.000000,7086117000000.000000,,,3004126000000.000000,,1467708000000.000000,,880664000000.000000,26479000000.000000,907143000000.000000,,483118000000.000000,,483118000000.000000,22145000000.000000,107178000000.000000,,10020000000.000000,,,,,10020000000.000000,6814000000.000000,3004126000000.000000,3164276000000.000000,2599415000000.000000,187983000000.000000,3233000000.000000,,30795000000.000000,,,,,30795000000.000000,342850000000.000000,3164276000000.000000,6168402000000.000000,,4047073000000.000000,-1104136000000.000000,-2288105000000.000000,100000000.000000,-2288205000000.000000,-2288105000000.000000,6567000000.000000,256316000000.000000,917715000000.000000,7086117000000.000000,40470734746.000000
12M 2015,,,148862000000.000000,1525703000000.000000,1515771000000.000000,9932000000.000000,1525703000000.000000,57802000000.000000,57802000000.000000,57802000000.000000,1421793000000.000000,109979000000.000000,3264139000000.000000,,36199000000.000000,452231000000.000000,452231000000.000000,452231000000.000000,336653000000.000000,4616515000000.000000,,167054000000.000000,213795000000.000000,5822447000000.000000,9086586000000.000000,,,3263474000000.000000,,1792449000000.000000,,969866000000.000000,26667000000.000000,996533000000.000000,,342285000000.000000,,342285000000.000000,13882000000.000000,93851000000.000000,,16730000000.000000,,,104000000.000000,,16834000000.000000,7640000000.000000,3263474000000.000000,3840729000000.000000,3182235000000.000000,187418000000.000000,3764000000.000000,,42772000000.000000,,,334000000.000000,,43106000000.000000,424206000000.000000,3840729000000.000000,7104203000000.000000,,4047073000000.000000,-1104136000000.000000,-3488374000000.000000,100000000.000000,-3488474000000.000000,-3488374000000.000000,6060000000.000000,2521760000000.000000,1982383000000.000000,9086586000000.000000,40470734746.000000
12M 2016,,,101453000000.000000,735458000000.000000,724095000000.000000,11363000000.000000,735458000000.000000,50519000000.000000,50519000000.000000,50519000000.000000,941038000000.000000,139851000000.000000,1968319000000.000000,,8170000000.000000,269774000000.000000,269774000000.000000,269774000000.000000,99583000000.000000,4582457000000.000000,,176847000000.000000,218123000000.000000,5354954000000.000000,7323273000000.000000,,,3117632000000.000000,,1406344000000.000000,,724371000000.000000,27169000000.000000,751540000000.000000,,670850000000.000000,,670850000000.000000,50792000000.000000,108210000000.000000,,21240000000.000000,,,102000000.000000,,21342000000.000000,108554000000.000000,3117632000000.000000,4024756000000.000000,3393977000000.000000,181793000000.000000,1306000000.000000,,97082000000.000000,,,238000000.000000,,97320000000.000000,350360000000.000000,4024756000000.000000,7142388000000.000000,,4047073000000.000000,-1104136000000.000000,-5478761000000.000000,100000000.000000,-5478861000000.000000,-5478761000000.000000,-2910000000.000000,2719619000000.000000,180885000000.000000,7323273000000.000000,40470734746.000000
12M 2017,,,542733000000.000000,763796000000.000000,748145000000.000000,15651000000.000000,763796000000.000000,78526000000.000000,78526000000.000000,78526000000.000000,800699000000.000000,125421000000.000000,2311175000000.000000,,5661000000.000000,,,,38771000000.000000,4287247000000.000000,,176614000000.000000,187207000000.000000,4695500000000.000000,7006675000000.000000,,,8254627000000.000000,4491589000000.000000,1366571000000.000000,,840464000000.000000,21403000000.000000,861867000000.000000,,508199000000.000000,67740000000.000000,575939000000.000000,12706000000.000000,247115000000.000000,,618500000000.000000,,,102000000.000000,,618602000000.000000,80238000000.000000,8254627000000.000000,532504000000.000000,,188505000000.000000,29877000000.000000,,,,,153000000.000000,,153000000.000000,313969000000.000000,532504000000.000000,8787131000000.000000,,4047073000000.000000,-1104136000000.000000,-8138246000000.000000,100000000.000000,-8138346000000.000000,-8138246000000.000000,-5785000000.000000,3420638000000.000000,-1780456000000.000000,7006675000000.000000,40470734746.000000
